學年別,縣市別,總計校數計,總計校數公立,總計校數私立,總計班級數計,總計班級數公立,總計班級數私立,總計學生數計,總計學生數公立,總計學生數私立,總計上學年畢業生數計,總計上學年畢業生數公立,總計上學年畢業生數私立,國小補校校數計,國小補校校數公立,國小補校校數私立,國小補校班級數計,國小補校班級數公立,國小補校班級數私立,國小補校學生數計,國小補校學生數公立,國小補校學生數私立,國小補校上學年畢業生數計,國小補校上學年畢業生數公立,國小補校上學年畢業生數私立,國中補校校數計,國中補校校數公立,國中補校校數私立,國中補校班級數計,國中補校班級數公立,國中補校班級數私立,國中補校學生數計,國中補校學生數公立,國中補校學生數私立,國中補校上學年畢業生數計,國中補校上學年畢業生數公立,國中補校上學年畢業生數私立
106學年,彰化縣,17,17,-,31,31,-,448,448,-,102,102,-,8,8,-,9,9,-,187,187,-,37,37,-,9,9,-,22,22,-,261,261,-,65,65,-
106學年,南投縣,7,7,-,17,17,-,225,225,-,45,45,-,3,3,-,7,7,-,147,147,-,21,21,-,4,4,-,10,10,-,78,78,-,24,24,-
106學年,雲林縣,16,16,-,27,27,-,329,329,-,53,53,-,7,7,-,17,17,-,239,239,-,26,26,-,9,9,-,10,10,-,90,90,-,27,27,-
106學年,嘉義縣,8,8,-,10,10,-,90,90,-,34,34,-,4,4,-,6,6,-,66,66,-,21,21,-,4,4,-,4,4,-,24,24,-,13,13,-
106學年,屏東縣,25,25,-,40,40,-,430,430,-,95,95,-,12,12,-,21,21,-,266,266,-,44,44,-,13,13,-,19,19,-,164,164,-,51,51,-
106學年,臺東縣,4,4,-,5,5,-,28,28,-,6,6,-,2,2,-,2,2,-,10,10,-,-,-,-,2,2,-,3,3,-,18,18,-,6,6,-
106學年,花蓮縣,8,7,1,19,16,3,200,149,51,51,33,18,3,3,-,7,7,-,86,86,-,19,19,-,5,4,1,12,9,3,114,63,51,32,14,18
106學年,澎湖縣,2,2,-,2,2,-,18,18,-,5,5,-,1,1,-,1,1,-,15,15,-,-,-,-,1,1,-,1,1,-,3,3,-,5,5,-
106學年,基隆市,11,11,-,31,31,-,283,283,-,77,77,-,6,6,-,18,18,-,197,197,-,34,34,-,5,5,-,13,13,-,86,86,-,43,43,-
106學年,新竹市,5,5,-,11,11,-,136,136,-,42,42,-,4,4,-,7,7,-,119,119,-,31,31,-,1,1,-,4,4,-,17,17,-,11,11,-
106學年,嘉義市,4,4,-,12,12,-,104,104,-,24,24,-,1,1,-,3,3,-,37,37,-,10,10,-,3,3,-,9,9,-,67,67,-,14,14,-
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,416,413,3,1048,1039,9,15390,15180,210,3256,3182,74,231,231,-,585,585,-,9594,9594,-,1560,1560,-,185,182,3,463,454,9,5796,5586,210,1696,1622,74
105學年,新北市,79,79,-,243,243,-,4451,4451,-,875,875,-,49,49,-,160,160,-,3165,3165,-,461,461,-,30,30,-,83,83,-,1286,1286,-,414,414,-
105學年,臺北市,28,28,-,109,109,-,1729,1729,-,382,382,-,16,16,-,72,72,-,1233,1233,-,271,271,-,12,12,-,37,37,-,496,496,-,111,111,-
105學年,桃園市,36,35,1,94,91,3,1534,1448,86,338,309,29,19,19,-,49,49,-,916,916,-,164,164,-,17,16,1,45,42,3,618,532,86,174,145,29
105學年,臺中市,57,57,-,176,176,-,2762,2762,-,458,458,-,33,33,-,83,83,-,1437,1437,-,165,165,-,24,24,-,93,93,-,1325,1325,-,293,293,-
105學年,臺南市,33,32,1,73,70,3,796,726,70,169,143,26,22,22,-,48,48,-,579,579,-,89,89,-,11,10,1,25,22,3,217,147,70,80,54,26
105學年,高雄市,43,43,-,69,69,-,1039,1039,-,334,334,-,18,18,-,25,25,-,413,413,-,124,124,-,25,25,-,44,44,-,626,626,-,210,210,-
105學年,宜蘭縣,14,14,-,36,36,-,416,416,-,56,56,-,10,10,-,24,24,-,223,223,-,22,22,-,4,4,-,12,12,-,193,193,-,34,34,-
105學年,新竹縣,5,5,-,13,13,-,181,181,-,35,35,-,3,3,-,8,8,-,150,150,-,24,24,-,2,2,-,5,5,-,31,31,-,11,11,-
105學年,苗栗縣,10,10,-,16,16,-,193,193,-,34,34,-,9,9,-,15,15,-,190,190,-,31,31,-,1,1,-,1,1,-,3,3,-,3,3,-
105學年,彰化縣,19,19,-,34,34,-,398,398,-,139,139,-,9,9,-,10,10,-,168,168,-,10,10,-,10,10,-,24,24,-,230,230,-,129,129,-
105學年,南投縣,7,7,-,17,17,-,206,206,-,37,37,-,3,3,-,7,7,-,116,116,-,8,8,-,4,4,-,10,10,-,90,90,-,29,29,-
105學年,雲林縣,17,17,-,29,29,-,261,261,-,59,59,-,8,8,-,16,16,-,162,162,-,21,21,-,9,9,-,13,13,-,99,99,-,38,38,-
105學年,嘉義縣,8,8,-,10,10,-,136,136,-,38,38,-,4,4,-,6,6,-,93,93,-,12,12,-,4,4,-,4,4,-,43,43,-,26,26,-
105學年,屏東縣,26,26,-,45,45,-,465,465,-,110,110,-,12,12,-,22,22,-,262,262,-,59,59,-,14,14,-,23,23,-,203,203,-,51,51,-
105學年,臺東縣,4,4,-,6,6,-,37,37,-,8,8,-,2,2,-,3,3,-,18,18,-,8,8,-,2,2,-,3,3,-,19,19,-,-,-,-
105學年,花蓮縣,8,7,1,21,18,3,197,143,54,38,19,19,3,3,-,9,9,-,94,94,-,9,9,-,5,4,1,12,9,3,103,49,54,29,10,19
105學年,澎湖縣,2,2,-,3,3,-,29,29,-,11,11,-,1,1,-,1,1,-,15,15,-,7,7,-,1,1,-,2,2,-,14,14,-,4,4,-
105學年,基隆市,12,12,-,32,32,-,319,319,-,76,76,-,6,6,-,18,18,-,209,209,-,40,40,-,6,6,-,14,14,-,110,110,-,36,36,-
105學年,新竹市,4,4,-,10,10,-,128,128,-,30,30,-,3,3,-,6,6,-,105,105,-,30,30,-,1,1,-,4,4,-,23,23,-,-,-,-
105學年,嘉義市,4,4,-,12,12,-,113,113,-,29,29,-,1,1,-,3,3,-,46,46,-,5,5,-,3,3,-,9,9,-,67,67,-,24,24,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,432,429,3,1077,1068,9,15548,15315,233,3390,3318,72,239,239,-,598,598,-,9536,9536,-,1747,1747,-,193,190,3,479,470,9,6012,5779,233,1643,1571,72
104學年,新北市,81,81,-,251,251,-,4576,4576,-,910,910,-,51,51,-,164,164,-,3181,3181,-,496,496,-,30,30,-,87,87,-,1395,1395,-,414,414,-
104學年,臺北市,28,28,-,109,109,-,1749,1749,-,463,463,-,16,16,-,72,72,-,1267,1267,-,338,338,-,12,12,-,37,37,-,482,482,-,125,125,-
104學年,桃園市,36,35,1,93,90,3,1484,1395,89,340,314,26,19,19,-,49,49,-,892,892,-,182,182,-,17,16,1,44,41,3,592,503,89,158,132,26
104學年,臺中市,55,55,-,171,171,-,2565,2565,-,455,455,-,31,31,-,79,79,-,1282,1282,-,191,191,-,24,24,-,92,92,-,1283,1283,-,264,264,-
104學年,臺南市,34,33,1,79,76,3,796,719,77,154,129,25,22,22,-,52,52,-,560,560,-,79,79,-,12,11,1,27,24,3,236,159,77,75,50,25
104學年,高雄市,49,49,-,77,77,-,1155,1155,-,297,297,-,22,22,-,31,31,-,501,501,-,129,129,-,27,27,-,46,46,-,654,654,-,168,168,-
104學年,宜蘭縣,14,14,-,40,40,-,458,458,-,95,95,-,10,10,-,25,25,-,208,208,-,30,30,-,4,4,-,15,15,-,250,250,-,65,65,-
104學年,新竹縣,5,5,-,12,12,-,178,178,-,49,49,-,3,3,-,7,7,-,146,146,-,35,35,-,2,2,-,5,5,-,32,32,-,14,14,-
104學年,苗栗縣,11,11,-,19,19,-,212,212,-,30,30,-,10,10,-,17,17,-,206,206,-,27,27,-,1,1,-,2,2,-,6,6,-,3,3,-
104學年,彰化縣,18,18,-,33,33,-,419,419,-,139,139,-,7,7,-,7,7,-,152,152,-,39,39,-,11,11,-,26,26,-,267,267,-,100,100,-
104學年,南投縣,7,7,-,17,17,-,199,199,-,32,32,-,3,3,-,7,7,-,111,111,-,14,14,-,4,4,-,10,10,-,88,88,-,18,18,-
104學年,雲林縣,19,19,-,30,30,-,298,298,-,70,70,-,9,9,-,16,16,-,191,191,-,41,41,-,10,10,-,14,14,-,107,107,-,29,29,-
104學年,嘉義縣,8,8,-,10,10,-,106,106,-,9,9,-,4,4,-,6,6,-,67,67,-,9,9,-,4,4,-,4,4,-,39,39,-,-,-,-
104學年,屏東縣,30,30,-,50,50,-,492,492,-,105,105,-,14,14,-,24,24,-,273,273,-,36,36,-,16,16,-,26,26,-,219,219,-,69,69,-
104學年,臺東縣,5,5,-,7,7,-,54,54,-,12,12,-,3,3,-,4,4,-,31,31,-,6,6,-,2,2,-,3,3,-,23,23,-,6,6,-
104學年,花蓮縣,8,7,1,21,18,3,212,145,67,56,35,21,3,3,-,9,9,-,92,92,-,7,7,-,5,4,1,12,9,3,120,53,67,49,28,21
104學年,澎湖縣,2,2,-,3,3,-,33,33,-,14,14,-,1,1,-,1,1,-,25,25,-,-,-,-,1,1,-,2,2,-,8,8,-,14,14,-
104學年,基隆市,14,14,-,34,34,-,317,317,-,77,77,-,7,7,-,18,18,-,194,194,-,36,36,-,7,7,-,16,16,-,123,123,-,41,41,-
104學年,新竹市,4,4,-,9,9,-,134,134,-,46,46,-,3,3,-,7,7,-,113,113,-,37,37,-,1,1,-,2,2,-,21,21,-,9,9,-
104學年,嘉義市,4,4,-,12,12,-,111,111,-,37,37,-,1,1,-,3,3,-,44,44,-,15,15,-,3,3,-,9,9,-,67,67,-,22,22,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,442,439,3,1108,1099,9,15773,15525,248,3631,3563,68,247,247,-,617,617,-,9568,9568,-,1783,1783,-,195,192,3,491,482,9,6205,5957,248,1848,1780,68
103學年,新北市,82,82,-,255,255,-,4599,4599,-,994,994,-,52,52,-,169,169,-,3108,3108,-,537,537,-,30,30,-,86,86,-,1491,1491,-,457,457,-
103學年,臺北市,28,28,-,111,111,-,1784,1784,-,373,373,-,16,16,-,73,73,-,1258,1258,-,244,244,-,12,12,-,38,38,-,526,526,-,129,129,-
103學年,臺中市,55,55,-,170,170,-,2531,2531,-,414,414,-,31,31,-,78,78,-,1292,1292,-,161,161,-,24,24,-,92,92,-,1239,1239,-,253,253,-
103學年,臺南市,35,34,1,79,76,3,762,678,84,201,177,24,22,22,-,50,50,-,524,524,-,101,101,-,13,12,1,29,26,3,238,154,84,100,76,24
103學年,高雄市,50,50,-,88,88,-,1218,1218,-,446,446,-,24,24,-,39,39,-,583,583,-,226,226,-,26,26,-,49,49,-,635,635,-,220,220,-
103學年,宜蘭縣,14,14,-,40,40,-,477,477,-,95,95,-,10,10,-,25,25,-,235,235,-,34,34,-,4,4,-,15,15,-,242,242,-,61,61,-
103學年,桃園縣,37,36,1,97,94,3,1532,1437,95,345,322,23,20,20,-,53,53,-,925,925,-,161,161,-,17,16,1,44,41,3,607,512,95,184,161,23
103學年,新竹縣,5,5,-,14,14,-,180,180,-,24,24,-,3,3,-,8,8,-,146,146,-,14,14,-,2,2,-,6,6,-,34,34,-,10,10,-
103學年,苗栗縣,12,12,-,20,20,-,208,208,-,23,23,-,11,11,-,17,17,-,198,198,-,21,21,-,1,1,-,3,3,-,10,10,-,2,2,-
103學年,彰化縣,21,21,-,35,35,-,412,412,-,144,144,-,9,9,-,10,10,-,155,155,-,19,19,-,12,12,-,25,25,-,257,257,-,125,125,-
103學年,南投縣,7,7,-,17,17,-,207,207,-,50,50,-,3,3,-,7,7,-,113,113,-,25,25,-,4,4,-,10,10,-,94,94,-,25,25,-
103學年,雲林縣,19,19,-,31,31,-,287,287,-,102,102,-,9,9,-,16,16,-,165,165,-,53,53,-,10,10,-,15,15,-,122,122,-,49,49,-
103學年,嘉義縣,8,8,-,10,10,-,116,116,-,35,35,-,4,4,-,6,6,-,75,75,-,25,25,-,4,4,-,4,4,-,41,41,-,10,10,-
103學年,屏東縣,31,31,-,51,51,-,544,544,-,133,133,-,14,14,-,24,24,-,296,296,-,53,53,-,17,17,-,27,27,-,248,248,-,80,80,-
103學年,臺東縣,4,4,-,5,5,-,55,55,-,4,4,-,3,3,-,3,3,-,35,35,-,4,4,-,1,1,-,2,2,-,20,20,-,-,-,-
103學年,花蓮縣,9,8,1,22,19,3,197,128,69,64,43,21,3,3,-,9,9,-,67,67,-,19,19,-,6,5,1,13,10,3,130,61,69,45,24,21
103學年,澎湖縣,2,2,-,4,4,-,58,58,-,31,31,-,1,1,-,1,1,-,25,25,-,-,-,-,1,1,-,3,3,-,33,33,-,31,31,-
103學年,基隆市,14,14,-,38,38,-,334,334,-,94,94,-,7,7,-,19,19,-,186,186,-,54,54,-,7,7,-,19,19,-,148,148,-,40,40,-
103學年,新竹市,5,5,-,9,9,-,160,160,-,35,35,-,4,4,-,7,7,-,135,135,-,27,27,-,1,1,-,2,2,-,25,25,-,8,8,-
103學年,嘉義市,4,4,-,12,12,-,112,112,-,24,24,-,1,1,-,3,3,-,47,47,-,5,5,-,3,3,-,9,9,-,65,65,-,19,19,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,468,465,3,1173,1164,9,17149,16908,241,4107,4013,94,265,265,-,657,657,-,10329,10329,-,2097,2097,-,203,200,3,516,507,9,6820,6579,241,2010,1916,94
102學年,新北市,84,84,-,263,263,-,5086,5086,-,1095,1095,-,54,54,-,175,175,-,3357,3357,-,651,651,-,30,30,-,88,88,-,1729,1729,-,444,444,-
102學年,臺北市,28,28,-,114,114,-,1859,1859,-,417,417,-,16,16,-,75,75,-,1255,1255,-,302,302,-,12,12,-,39,39,-,604,604,-,115,115,-
102學年,臺中市,55,55,-,172,172,-,2555,2555,-,433,433,-,31,31,-,79,79,-,1321,1321,-,174,174,-,24,24,-,93,93,-,1234,1234,-,259,259,-
102學年,臺南市,34,33,1,80,77,3,775,694,81,224,192,32,21,21,-,48,48,-,493,493,-,108,108,-,13,12,1,32,29,3,282,201,81,116,84,32
102學年,高雄市,57,57,-,115,115,-,1487,1487,-,460,460,-,28,28,-,56,56,-,749,749,-,192,192,-,29,29,-,59,59,-,738,738,-,268,268,-
102學年,宜蘭縣,14,14,-,40,40,-,509,509,-,86,86,-,10,10,-,25,25,-,266,266,-,35,35,-,4,4,-,15,15,-,243,243,-,51,51,-
102學年,桃園縣,38,37,1,101,98,3,1632,1541,91,413,380,33,21,21,-,55,55,-,1030,1030,-,194,194,-,17,16,1,46,43,3,602,511,91,219,186,33
102學年,新竹縣,6,6,-,14,14,-,173,173,-,32,32,-,4,4,-,8,8,-,126,126,-,17,17,-,2,2,-,6,6,-,47,47,-,15,15,-
102學年,苗栗縣,13,13,-,21,21,-,231,231,-,35,35,-,11,11,-,17,17,-,220,220,-,31,31,-,2,2,-,4,4,-,11,11,-,4,4,-
102學年,彰化縣,21,21,-,36,36,-,470,470,-,219,219,-,9,9,-,9,9,-,165,165,-,54,54,-,12,12,-,27,27,-,305,305,-,165,165,-
102學年,南投縣,8,8,-,18,18,-,216,216,-,51,51,-,3,3,-,7,7,-,112,112,-,23,23,-,5,5,-,11,11,-,104,104,-,28,28,-
102學年,雲林縣,22,22,-,35,35,-,342,342,-,83,83,-,11,11,-,20,20,-,205,205,-,35,35,-,11,11,-,15,15,-,137,137,-,48,48,-
102學年,嘉義縣,9,9,-,11,11,-,158,158,-,57,57,-,5,5,-,7,7,-,108,108,-,22,22,-,4,4,-,4,4,-,50,50,-,35,35,-
102學年,屏東縣,30,30,-,52,52,-,601,601,-,171,171,-,14,14,-,25,25,-,316,316,-,88,88,-,16,16,-,27,27,-,285,285,-,83,83,-
102學年,臺東縣,5,5,-,6,6,-,49,49,-,19,19,-,4,4,-,5,5,-,42,42,-,11,11,-,1,1,-,1,1,-,7,7,-,8,8,-
102學年,花蓮縣,9,8,1,22,19,3,237,168,69,72,43,29,3,3,-,9,9,-,87,87,-,21,21,-,6,5,1,13,10,3,150,81,69,51,22,29
102學年,澎湖縣,4,4,-,6,6,-,96,96,-,20,20,-,2,2,-,2,2,-,36,36,-,10,10,-,2,2,-,4,4,-,60,60,-,10,10,-
102學年,基隆市,20,20,-,44,44,-,365,365,-,152,152,-,11,11,-,23,23,-,217,217,-,93,93,-,9,9,-,21,21,-,148,148,-,59,59,-
102學年,新竹市,7,7,-,11,11,-,192,192,-,33,33,-,6,6,-,9,9,-,180,180,-,26,26,-,1,1,-,2,2,-,12,12,-,7,7,-
102學年,嘉義市,4,4,-,12,12,-,116,116,-,35,35,-,1,1,-,3,3,-,44,44,-,10,10,-,3,3,-,9,9,-,72,72,-,25,25,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,481,478,3,1230,1221,9,18200,17934,266,4731,4654,77,277,277,-,698,698,-,10981,10981,-,2523,2523,-,204,201,3,532,523,9,7219,6953,266,2208,2131,77
101學年,新北市,87,87,-,272,272,-,5347,5347,-,1338,1338,-,56,56,-,184,184,-,3620,3620,-,779,779,-,31,31,-,88,88,-,1727,1727,-,559,559,-
101學年,臺北市,28,28,-,114,114,-,1885,1885,-,440,440,-,16,16,-,75,75,-,1291,1291,-,320,320,-,12,12,-,39,39,-,594,594,-,120,120,-
101學年,臺中市,56,56,-,173,173,-,2595,2595,-,594,594,-,31,31,-,80,80,-,1288,1288,-,262,262,-,25,25,-,93,93,-,1307,1307,-,332,332,-
101學年,臺南市,35,34,1,87,84,3,859,768,91,252,221,31,22,22,-,51,51,-,517,517,-,131,131,-,13,12,1,36,33,3,342,251,91,121,90,31
101學年,高雄市,58,58,-,126,126,-,1682,1682,-,474,474,-,29,29,-,64,64,-,840,840,-,227,227,-,29,29,-,62,62,-,842,842,-,247,247,-
101學年,宜蘭縣,14,14,-,40,40,-,505,505,-,117,117,-,10,10,-,25,25,-,267,267,-,42,42,-,4,4,-,15,15,-,238,238,-,75,75,-
101學年,桃園縣,37,36,1,104,101,3,1637,1544,93,490,466,24,20,20,-,57,57,-,999,999,-,273,273,-,17,16,1,47,44,3,638,545,93,217,193,24
101學年,新竹縣,6,6,-,15,15,-,177,177,-,47,47,-,4,4,-,9,9,-,132,132,-,28,28,-,2,2,-,6,6,-,45,45,-,19,19,-
101學年,苗栗縣,14,14,-,23,23,-,234,234,-,56,56,-,12,12,-,19,19,-,224,224,-,51,51,-,2,2,-,4,4,-,10,10,-,5,5,-
101學年,彰化縣,21,21,-,39,39,-,529,529,-,184,184,-,9,9,-,10,10,-,186,186,-,26,26,-,12,12,-,29,29,-,343,343,-,158,158,-
101學年,南投縣,8,8,-,19,19,-,208,208,-,68,68,-,3,3,-,8,8,-,115,115,-,28,28,-,5,5,-,11,11,-,93,93,-,40,40,-
101學年,雲林縣,22,22,-,37,37,-,404,404,-,128,128,-,12,12,-,22,22,-,256,256,-,71,71,-,10,10,-,15,15,-,148,148,-,57,57,-
101學年,嘉義縣,10,10,-,12,12,-,177,177,-,17,17,-,6,6,-,8,8,-,133,133,-,17,17,-,4,4,-,4,4,-,44,44,-,-,-,-
101學年,屏東縣,33,33,-,56,56,-,694,694,-,148,148,-,17,17,-,28,28,-,375,375,-,61,61,-,16,16,-,28,28,-,319,319,-,87,87,-
101學年,臺東縣,6,6,-,7,7,-,69,69,-,19,19,-,5,5,-,5,5,-,50,50,-,12,12,-,1,1,-,2,2,-,19,19,-,7,7,-
101學年,花蓮縣,9,8,1,23,20,3,274,192,82,69,47,22,3,3,-,9,9,-,102,102,-,21,21,-,6,5,1,14,11,3,172,90,82,48,26,22
101學年,澎湖縣,5,5,-,7,7,-,105,105,-,34,34,-,3,3,-,3,3,-,41,41,-,14,14,-,2,2,-,4,4,-,64,64,-,20,20,-
101學年,基隆市,21,21,-,52,52,-,493,493,-,151,151,-,12,12,-,29,29,-,314,314,-,97,97,-,9,9,-,23,23,-,179,179,-,54,54,-
101學年,新竹市,7,7,-,12,12,-,209,209,-,65,65,-,6,6,-,9,9,-,184,184,-,50,50,-,1,1,-,3,3,-,25,25,-,15,15,-
101學年,嘉義市,4,4,-,12,12,-,117,117,-,40,40,-,1,1,-,3,3,-,47,47,-,13,13,-,3,3,-,9,9,-,70,70,-,27,27,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,500,497,3,1296,1287,9,19811,19541,270,4798,4733,65,287,287,-,747,747,-,12081,12081,-,2575,2575,-,213,210,3,549,540,9,7730,7460,270,2223,2158,65
100學年,新北市,88,88,-,287,287,-,5851,5851,-,1192,1192,-,57,57,-,198,198,-,3970,3970,-,685,685,-,31,31,-,89,89,-,1881,1881,-,507,507,-
100學年,臺北市,28,28,-,114,114,-,1959,1959,-,461,461,-,16,16,-,75,75,-,1347,1347,-,311,311,-,12,12,-,39,39,-,612,612,-,150,150,-
100學年,臺中市,56,56,-,175,175,-,2684,2684,-,495,495,-,31,31,-,82,82,-,1373,1373,-,223,223,-,25,25,-,93,93,-,1311,1311,-,272,272,-
100學年,臺南市,38,37,1,91,88,3,955,865,90,236,221,15,23,23,-,53,53,-,589,589,-,124,124,-,15,14,1,38,35,3,366,276,90,112,97,15
100學年,高雄市,63,63,-,136,136,-,1882,1882,-,647,647,-,33,33,-,74,74,-,984,984,-,348,348,-,30,30,-,62,62,-,898,898,-,299,299,-
100學年,宜蘭縣,14,14,-,41,41,-,558,558,-,159,159,-,10,10,-,25,25,-,289,289,-,36,36,-,4,4,-,16,16,-,269,269,-,123,123,-
100學年,桃園縣,39,38,1,113,110,3,1868,1769,99,550,521,29,21,21,-,64,64,-,1154,1154,-,277,277,-,18,17,1,49,46,3,714,615,99,273,244,29
100學年,新竹縣,6,6,-,14,14,-,156,156,-,38,38,-,4,4,-,8,8,-,110,110,-,22,22,-,2,2,-,6,6,-,46,46,-,16,16,-
100學年,苗栗縣,15,15,-,25,25,-,283,283,-,67,67,-,13,13,-,21,21,-,271,271,-,53,53,-,2,2,-,4,4,-,12,12,-,14,14,-
100學年,彰化縣,22,22,-,42,42,-,558,558,-,180,180,-,9,9,-,10,10,-,176,176,-,57,57,-,13,13,-,32,32,-,382,382,-,123,123,-
100學年,南投縣,9,9,-,22,22,-,270,270,-,87,87,-,3,3,-,9,9,-,147,147,-,55,55,-,6,6,-,13,13,-,123,123,-,32,32,-
100學年,雲林縣,22,22,-,40,40,-,462,462,-,128,128,-,12,12,-,23,23,-,292,292,-,71,71,-,10,10,-,17,17,-,170,170,-,57,57,-
100學年,嘉義縣,10,10,-,12,12,-,188,188,-,26,26,-,6,6,-,8,8,-,139,139,-,15,15,-,4,4,-,4,4,-,49,49,-,11,11,-
100學年,屏東縣,33,33,-,57,57,-,742,742,-,173,173,-,17,17,-,29,29,-,393,393,-,93,93,-,16,16,-,28,28,-,349,349,-,80,80,-
100學年,臺東縣,7,7,-,9,9,-,85,85,-,10,10,-,5,5,-,6,6,-,65,65,-,-,-,-,2,2,-,3,3,-,20,20,-,10,10,-
100學年,花蓮縣,9,8,1,23,20,3,295,214,81,74,53,21,3,3,-,10,10,-,126,126,-,25,25,-,6,5,1,13,10,3,169,88,81,49,28,21
100學年,澎湖縣,8,8,-,10,10,-,128,128,-,44,44,-,5,5,-,5,5,-,59,59,-,25,25,-,3,3,-,5,5,-,69,69,-,19,19,-
100學年,基隆市,22,22,-,60,60,-,550,550,-,123,123,-,12,12,-,34,34,-,363,363,-,82,82,-,10,10,-,26,26,-,187,187,-,41,41,-
100學年,新竹市,7,7,-,13,13,-,231,231,-,73,73,-,6,6,-,10,10,-,195,195,-,64,64,-,1,1,-,3,3,-,36,36,-,9,9,-
100學年,嘉義市,4,4,-,12,12,-,106,106,-,35,35,-,1,1,-,3,3,-,39,39,-,9,9,-,3,3,-,9,9,-,67,67,-,26,26,-
