學年別,縣市別,國小總計,國小國立,國小直轄市立,國小縣市立,國小私立,國中總計,國中國立,國中直轄市立,國中縣市立,國中私立
104學年,嘉義縣,16.91,-,-,16.91,-,27.40,-,-,26.49,40.23
104學年,屏東縣,19.40,27.46,-,19.30,-,27.89,-,-,27.04,40.91
104學年,臺東縣,14.27,25.68,-,13.64,15.40,23.93,18.75,-,24.04,27.44
104學年,花蓮縣,16.67,28.10,-,15.92,25.95,25.86,-,-,25.06,35.24
104學年,澎湖縣,12.61,-,-,12.61,-,21.71,-,-,21.71,-
104學年,基隆市,22.58,-,-,22.07,35.03,28.11,-,-,25.96,47.95
104學年,新竹市,25.42,24.52,-,25.29,30.90,28.63,32.00,-,27.78,36.40
104學年,嘉義市,25.01,28.23,-,24.85,-,30.96,-,-,28.80,41.87
104學年,金門縣,18.77,-,-,18.77,-,26.47,-,-,26.47,-
104學年,連江縣,8.69,-,-,8.69,-,14.39,-,-,14.39,-
103學年,總計,23.40,26.76,24.63,21.49,32.93,29.48,27.99,28.70,27.92,41.89
103學年,新北市,25.91,-,25.62,-,36.69,30.75,23.00,29.45,-,43.41
103學年,臺北市,25.49,27.22,24.70,-,37.71,29.30,27.24,27.99,-,41.84
103學年,臺中市,24.89,27.67,24.71,-,31.40,30.72,-,28.90,-,49.52
103學年,臺南市,23.12,26.51,22.94,-,30.30,29.24,27.71,27.51,-,40.74
103學年,高雄市,24.28,33.33,24.29,-,20.86,29.15,30.30,28.88,-,35.27
103學年,宜蘭縣,20.04,-,-,20.02,21.90,27.25,-,-,26.13,39.92
103學年,桃園縣,25.45,-,-,25.41,29.91,30.31,-,-,29.46,43.30
103學年,新竹縣,23.43,-,-,23.30,27.63,28.08,-,-,27.17,37.84
103學年,苗栗縣,20.15,-,-,20.15,-,27.26,27.17,-,26.43,38.64
103學年,彰化縣,23.40,-,-,23.40,-,29.80,-,-,29.01,52.19
103學年,南投縣,17.71,-,-,17.46,26.66,27.52,-,-,27.21,31.50
103學年,雲林縣,20.18,-,-,19.98,31.81,29.72,-,-,27.97,36.13
103學年,嘉義縣,17.34,-,-,17.34,-,28.38,-,-,27.33,42.73
103學年,屏東縣,19.83,27.25,-,19.75,-,28.56,-,-,27.70,41.88
103學年,臺東縣,14.73,26.13,-,14.12,14.40,24.60,21.50,-,24.67,26.20
103學年,花蓮縣,17.01,27.93,-,16.26,27.61,26.44,-,-,25.70,35.84
103學年,澎湖縣,13.10,-,-,13.10,-,22.56,-,-,22.56,-
103學年,基隆市,22.89,-,-,22.48,33.07,29.07,-,-,27.19,46.47
103學年,新竹市,25.54,24.98,-,25.40,30.33,29.10,32.00,-,28.30,36.77
103學年,嘉義市,25.80,28.57,-,25.66,-,32.03,-,-,30.28,41.27
103學年,金門縣,18.97,-,-,18.97,-,26.90,-,-,26.90,-
103學年,連江縣,9.20,-,-,9.20,-,15.17,-,-,15.17,-
102學年,總計,23.74,27.15,24.83,22.02,32.81,30.10,28.12,29.46,28.52,42.08
102學年,新北市,26.12,-,25.89,-,35.72,31.57,17.00,30.39,-,43.40
102學年,臺北市,25.00,27.00,24.23,-,37.53,30.03,27.65,28.87,-,41.75
102學年,臺中市,25.33,28.13,25.12,-,33.35,31.36,-,29.65,-,50.25
102學年,臺南市,23.47,26.79,23.28,-,30.98,29.98,28.08,28.28,-,41.35
102學年,高雄市,24.60,33.00,24.61,-,20.82,29.64,31.10,29.35,-,36.28
102學年,宜蘭縣,20.52,-,-,20.52,19.80,27.98,-,-,26.88,40.98
102學年,桃園縣,25.96,-,-,25.94,28.22,30.94,-,-,30.15,43.45
102學年,新竹縣,23.65,-,-,23.56,26.50,28.43,-,-,27.61,37.67
102學年,苗栗縣,20.45,-,-,20.45,-,27.61,27.16,-,26.73,39.77
102學年,彰化縣,24.02,-,-,24.02,-,30.42,-,-,29.71,50.77
102學年,南投縣,18.28,-,-,18.13,23.63,27.84,-,-,27.66,30.24
102學年,雲林縣,20.85,-,-,20.68,30.90,30.13,-,-,28.40,36.56
102學年,嘉義縣,18.22,-,-,18.22,-,29.27,-,-,28.13,44.57
102學年,屏東縣,20.40,27.25,-,20.32,-,29.04,-,-,28.30,40.44
102學年,臺東縣,15.33,26.43,-,14.77,11.20,25.05,20.67,-,25.32,21.63
102學年,花蓮縣,17.56,28.20,-,16.81,29.15,26.78,-,-,26.07,35.76
102學年,澎湖縣,13.57,-,-,13.57,-,22.56,-,-,22.56,-
102學年,基隆市,23.30,-,-,22.96,32.38,29.99,-,-,28.29,46.67
102學年,新竹市,26.04,25.99,-,25.88,30.36,29.47,31.81,-,28.71,37.31
102學年,嘉義市,26.37,29.37,-,26.23,-,32.88,-,-,31.42,41.17
102學年,金門縣,19.42,-,-,19.42,-,27.36,-,-,27.36,-
102學年,連江縣,9.31,-,-,9.31,-,15.72,-,-,15.72,-
101學年,總計,24.35,27.50,25.32,22.80,33.27,30.76,28.60,30.15,29.31,42.04
101學年,新北市,26.66,-,26.46,-,35.39,32.24,18.33,31.10,-,44.06
101學年,臺北市,24.89,26.76,24.14,-,37.87,30.42,28.16,29.37,-,41.41
101學年,臺中市,25.85,28.83,25.65,-,34.60,32.01,-,30.43,-,49.75
101學年,臺南市,24.24,26.88,24.08,-,30.97,30.85,29.23,29.32,-,41.02
101學年,高雄市,25.21,32.67,25.23,-,20.61,30.10,31.20,29.86,-,35.49
101學年,宜蘭縣,21.14,-,-,21.14,21.44,28.90,-,-,28.06,39.17
101學年,桃園縣,26.65,-,-,26.64,28.11,31.65,-,-,30.93,43.06
101學年,新竹縣,24.40,-,-,24.33,27.00,29.26,-,-,28.55,37.59
101學年,苗栗縣,20.78,-,-,20.78,-,28.15,28.00,-,27.18,40.96
101學年,彰化縣,24.88,-,-,24.88,-,31.41,-,-,30.70,51.96
101學年,南投縣,19.15,-,-,18.96,26.74,28.72,-,-,28.55,30.96
101學年,雲林縣,21.80,-,-,21.65,30.81,30.74,-,-,29.21,36.30
101學年,嘉義縣,19.40,-,-,19.40,-,29.64,-,-,28.53,44.49
101學年,屏東縣,21.32,27.08,-,21.26,-,29.89,-,-,29.03,43.88
101學年,臺東縣,15.87,27.20,-,15.32,12.40,25.85,19.75,-,26.24,21.00
101學年,花蓮縣,18.27,28.93,-,17.55,29.31,27.33,-,-,26.63,36.27
101學年,澎湖縣,14.28,-,-,14.28,-,22.89,-,-,22.89,-
101學年,基隆市,24.19,-,-,23.92,31.96,30.73,-,-,28.98,48.41
101學年,新竹市,26.71,26.57,-,26.57,31.05,29.96,32.29,-,29.26,37.02
101學年,嘉義市,27.33,30.10,-,27.21,-,33.52,-,-,32.39,40.32
101學年,金門縣,20.16,-,-,20.16,-,28.30,-,-,28.30,-
101學年,連江縣,9.06,-,-,9.06,-,16.00,-,-,16.00,-
100學年,總計,25.13,28.35,26.00,23.70,33.55,31.59,29.15,31.10,30.24,41.80
100學年,新北市,27.12,-,26.93,-,35.84,32.97,20.00,32.04,-,42.59
100學年,臺北市,24.94,27.39,24.22,-,38.06,31.09,28.96,30.15,-,41.13
100學年,臺中市,26.73,30.20,26.57,-,33.99,32.99,-,31.52,-,50.10
100學年,臺南市,25.35,27.71,25.22,-,31.23,32.02,29.78,30.61,-,41.61
100學年,高雄市,26.09,32.67,26.13,-,19.53,30.80,31.70,30.63,-,34.69
100學年,宜蘭縣,22.15,-,-,22.15,22.50,30.29,-,-,29.48,40.40
100學年,桃園縣,27.58,-,-,27.58,26.67,32.59,-,-,31.90,43.65
100學年,新竹縣,25.07,-,-,25.03,26.71,30.16,-,-,29.60,37.04
100學年,苗栗縣,21.65,-,-,21.65,-,28.82,28.42,-,27.87,40.94
100學年,彰化縣,25.88,-,-,25.88,-,32.25,-,-,31.63,49.42
100學年,南投縣,19.87,-,-,19.67,28.55,29.50,-,-,29.45,30.20
100學年,雲林縣,22.67,-,-,22.55,31.50,31.38,-,-,29.92,36.82
100學年,嘉義縣,20.33,-,-,20.33,-,30.09,-,-,29.16,43.06
100學年,屏東縣,22.21,28.08,-,22.15,-,30.78,-,-,30.00,43.85
100學年,臺東縣,16.82,28.43,-,16.26,13.60,27.04,20.17,-,27.32,27.00
100學年,花蓮縣,19.26,29.50,-,18.58,29.58,28.51,-,-,27.92,36.15
100學年,澎湖縣,14.80,-,-,14.80,-,23.23,-,-,23.23,-
100學年,基隆市,25.23,-,-,24.96,34.56,31.12,-,-,29.47,48.12
100學年,新竹市,27.46,27.42,-,27.30,32.08,30.68,32.29,-,30.15,36.31
100學年,嘉義市,28.46,30.77,-,28.36,-,34.61,-,-,33.92,39.20
100學年,金門縣,20.92,-,-,20.92,-,28.89,-,-,28.89,-
100學年,連江縣,9.38,-,-,9.38,-,15.17,-,-,15.17,-
99學年,總計,25.91,29.02,26.12,25.70,33.65,32.68,29.80,32.01,31.91,41.73
99學年,臺北市,25.35,28.19,24.67,-,38.26,32.53,30.00,31.75,-,41.28
99學年,高雄市,28.41,32.50,28.45,-,21.75,32.66,32.66,32.41,-,36.80
99學年,臺北縣,28.02,-,-,27.87,35.84,34.04,22.33,-,33.27,42.08
99學年,宜蘭縣,23.10,-,-,23.08,27.17,31.42,-,-,30.67,41.70
99學年,桃園縣,28.43,-,-,28.45,23.92,33.52,-,-,32.91,43.56
99學年,新竹縣,25.71,-,-,25.74,24.28,31.06,-,-,30.57,37.79
99學年,苗栗縣,22.42,-,-,22.42,-,30.04,29.50,-,29.31,38.41
99學年,臺中縣,27.21,-,-,27.18,31.74,33.08,-,-,31.71,50.79
99學年,彰化縣,26.70,-,-,26.70,-,33.33,-,-,32.80,48.69
99學年,南投縣,20.54,-,-,20.40,26.62,30.63,-,-,30.64,30.48
99學年,雲林縣,23.43,-,-,23.31,31.96,32.48,-,-,31.03,37.95
99學年,嘉義縣,21.02,-,-,21.02,-,31.14,-,-,30.32,43.38
99學年,臺南縣,24.82,26.08,-,24.80,-,33.44,29.52,-,31.81,44.04
99學年,高雄縣,25.08,-,-,25.10,17.91,30.87,-,-,30.92,28.63
99學年,屏東縣,22.95,28.29,-,22.89,-,31.68,-,-,31.02,42.69
99學年,臺東縣,17.44,29.35,-,16.85,16.50,28.02,20.92,-,28.37,25.50
99學年,花蓮縣,20.19,30.33,-,19.52,31.45,29.45,-,-,28.88,37.00
99學年,澎湖縣,15.34,-,-,15.34,-,24.59,-,-,24.59,-
99學年,基隆市,25.92,-,-,25.66,35.38,32.18,-,-,30.62,48.26
99學年,新竹市,28.26,28.12,-,28.11,33.06,32.17,32.14,-,31.93,35.10
99學年,臺中市,28.39,31.57,-,28.10,34.78,35.32,-,-,33.95,48.82
99學年,嘉義市,29.18,31.53,-,29.08,-,35.52,-,-,35.15,38.00
99學年,臺南市,28.46,30.53,-,28.32,30.98,32.64,-,-,31.82,38.47
99學年,金門縣,21.60,-,-,21.60,-,29.60,-,-,29.60,-
99學年,連江縣,10.22,-,-,10.22,-,15.56,-,-,15.56,-
98學年,總計,26.79,29.84,26.91,26.61,34.17,33.48,30.66,32.91,32.75,42.05
98學年,臺北市,26.06,29.70,25.43,-,38.51,33.42,31.43,32.73,-,41.37
98學年,高雄市,29.29,33.17,29.34,-,22.00,33.36,33.72,33.17,-,36.32
98學年,臺北縣,28.87,-,-,28.70,38.79,34.75,21.33,-,33.91,44.29
98學年,宜蘭縣,24.09,-,-,24.10,23.83,31.80,-,-,31.16,40.75
98學年,桃園縣,29.34,-,-,29.36,24.71,34.36,-,-,33.82,43.30
98學年,新竹縣,26.52,-,-,26.61,22.77,31.91,-,-,31.47,38.42
98學年,苗栗縣,23.27,-,-,23.27,-,30.95,27.39,-,30.27,39.71
98學年,臺中縣,28.06,-,-,28.04,30.22,34.08,-,-,32.84,49.46
98學年,彰化縣,27.63,-,-,27.63,-,33.64,-,-,33.17,47.94
98學年,南投縣,21.43,-,-,21.30,26.68,31.36,-,-,31.45,30.33
98學年,雲林縣,24.21,-,-,24.10,32.21,33.19,-,-,31.58,39.29
98學年,嘉義縣,21.91,-,-,21.91,-,31.59,-,-,30.86,43.19
98學年,臺南縣,25.84,26.96,-,25.82,-,34.16,32.48,-,32.40,45.22
98學年,高雄縣,26.15,-,-,26.18,18.00,32.29,-,-,32.45,26.14
98學年,屏東縣,23.77,28.38,-,23.72,-,32.57,-,-,32.01,42.15
98學年,臺東縣,18.26,30.75,-,17.62,29.00,29.29,21.83,-,29.52,33.00
98學年,花蓮縣,20.89,30.63,-,20.28,31.47,30.21,-,-,29.65,37.70
98學年,澎湖縣,15.80,-,-,15.80,-,24.97,-,-,24.97,-
98學年,基隆市,27.15,-,-,26.85,38.46,33.11,-,-,31.67,47.42
98學年,新竹市,29.06,30.12,-,28.86,32.56,32.97,31.76,-,32.93,34.02
98學年,臺中市,29.42,29.00,-,29.26,33.63,36.12,-,-,34.86,48.47
98學年,嘉義市,30.07,32.13,-,29.98,-,35.82,-,-,35.57,37.45
98學年,臺南市,29.47,30.92,-,29.37,31.69,33.62,-,-,32.89,38.65
98學年,金門縣,21.74,-,-,21.74,-,29.40,-,-,29.40,-
98學年,連江縣,10.35,-,-,10.35,-,16.28,-,-,16.28,-
97學年,總計,27.67,30.27,27.66,27.53,34.83,33.85,30.49,33.12,33.12,42.80
97學年,臺北市,26.74,30.31,26.18,-,37.97,33.61,31.55,32.97,-,41.11
97學年,高雄市,30.03,34.50,30.09,-,20.92,33.62,34.45,33.33,-,38.39
97學年,臺北縣,29.67,-,-,29.49,40.40,35.15,19.00,-,34.31,44.57
97學年,宜蘭縣,25.20,-,-,25.21,21.83,32.25,-,-,31.59,42.28
97學年,桃園縣,30.25,-,-,30.27,23.63,34.70,-,-,34.11,45.27
97學年,新竹縣,27.20,-,-,27.30,22.16,32.66,-,-,32.27,38.78
97學年,苗栗縣,24.01,-,-,24.01,-,31.83,28.76,-,30.96,43.33
97學年,臺中縣,29.18,-,-,29.17,31.64,34.35,-,-,33.12,49.15
97學年,彰化縣,28.54,-,-,28.54,-,33.85,-,-,33.46,46.48
97學年,南投縣,22.22,-,-,22.08,28.23,31.82,-,-,31.81,31.98
97學年,雲林縣,24.92,-,-,24.83,32.56,33.66,-,-,31.87,40.26
97學年,嘉義縣,22.92,-,-,22.92,-,32.66,-,-,32.03,41.94
97學年,臺南縣,26.55,28.02,-,26.52,-,34.30,29.19,-,32.47,46.33
97學年,高雄縣,27.28,-,-,27.32,18.15,32.63,-,-,32.76,27.69
97學年,屏東縣,24.79,30.25,-,24.74,-,33.29,-,-,32.71,43.10
97學年,臺東縣,18.86,31.95,-,18.22,-,29.61,22.33,-,29.87,33.67
97學年,花蓮縣,21.69,31.73,-,21.01,35.06,30.38,-,-,29.81,38.12
97學年,澎湖縣,16.62,-,-,16.62,-,24.62,-,-,24.62,-
97學年,基隆市,28.06,-,-,27.67,43.08,34.18,-,-,32.79,48.41
97學年,新竹市,29.75,27.74,-,29.85,32.18,33.79,31.76,-,33.70,35.74
97學年,臺中市,30.64,33.27,-,30.47,34.19,36.30,-,-,35.04,48.13
97學年,嘉義市,30.93,32.57,-,30.86,-,36.02,-,-,35.44,39.47
97學年,臺南市,30.49,31.50,-,30.39,33.12,33.71,-,-,32.90,39.41
97學年,金門縣,21.65,-,-,21.65,-,30.55,-,-,30.55,-
97學年,連江縣,10.25,-,-,10.25,-,15.47,-,-,15.47,-
""
