學年別,縣市別,高級中等學校總計,高級中等學校國立,高級中等學校直轄市立,高級中等學校縣市立,高級中等學校私立,高級中學總計,高級中學國立,高級中學直轄市立,高級中學縣市立,高級中學私立,職業學校總計,職業學校國立,職業學校直轄市立,職業學校縣市立,職業學校私立,高級中等進修學校總計,高級中等進修學校國立,高級中等進修學校直轄市立,高級中等進修學校縣市立,高級中等進修學校私立
99學年,臺中市,-,-,-,-,-,15,4,-,4,7,4,3,-,-,1,8,4,-,-,4
99學年,嘉義市,-,-,-,-,-,8,2,-,-,6,6,4,-,-,2,6,4,-,-,2
99學年,臺南市,-,-,-,-,-,15,4,-,2,9,5,2,-,-,3,10,4,-,-,6
99學年,金門縣,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,-,-,-,-,-,330,86,39,60,145,156,79,12,1,64,223,85,6,13,119
98學年,臺北市,-,-,-,-,-,50,2,26,-,22,17,-,7,-,10,19,1,1,-,17
98學年,高雄市,-,-,-,-,-,20,2,13,-,5,10,-,5,-,5,11,-,5,-,6
98學年,臺北縣,-,-,-,-,-,39,8,-,14,17,16,4,-,1,11,30,5,-,10,15
98學年,宜蘭縣,-,-,-,-,-,6,3,-,1,2,5,5,-,-,-,6,6,-,-,-
98學年,桃園縣,-,-,-,-,-,24,6,-,5,13,7,4,-,-,3,19,5,-,-,14
98學年,新竹縣,-,-,-,-,-,8,3,-,1,4,1,-,-,-,1,6,1,-,-,5
98學年,苗栗縣,-,-,-,-,-,10,4,-,2,4,7,3,-,-,4,7,2,-,-,5
98學年,臺中縣,-,-,-,-,-,22,4,-,5,13,5,5,-,-,-,15,6,-,-,9
98學年,彰化縣,-,-,-,-,-,10,5,-,2,3,11,9,-,-,2,15,12,-,-,3
98學年,南投縣,-,-,-,-,-,9,4,-,1,4,6,5,-,-,1,7,6,-,-,1
98學年,雲林縣,-,-,-,-,-,13,3,-,2,8,7,5,-,-,2,7,3,-,1,3
98學年,嘉義縣,-,-,-,-,-,6,2,-,2,2,4,1,-,-,3,3,1,-,-,2
98學年,臺南縣,-,-,-,-,-,18,8,-,2,8,11,8,-,-,3,16,9,-,-,7
98學年,高雄縣,-,-,-,-,-,14,4,-,6,4,8,3,-,-,5,8,2,-,-,6
98學年,屏東縣,-,-,-,-,-,11,4,-,3,4,8,5,-,-,3,8,3,-,-,5
98學年,臺東縣,-,-,-,-,-,5,3,-,1,1,4,3,-,-,1,3,2,-,1,-
98學年,花蓮縣,-,-,-,-,-,7,3,-,1,3,6,4,-,-,2,7,4,-,-,3
98學年,澎湖縣,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-
98學年,基隆市,-,-,-,-,-,7,2,-,3,2,4,2,-,-,2,5,3,-,-,2
98學年,新竹市,-,-,-,-,-,10,3,-,3,4,2,2,-,-,-,6,2,-,1,3
98學年,臺中市,-,-,-,-,-,15,4,-,4,7,4,3,-,-,1,8,4,-,-,4
98學年,嘉義市,-,-,-,-,-,8,2,-,-,6,6,4,-,-,2,6,4,-,-,2
98學年,臺南市,-,-,-,-,-,15,4,-,2,9,5,2,-,-,3,11,4,-,-,7
98學年,金門縣,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,-,-,-,-,-,321,86,39,55,141,156,79,12,1,64,224,85,6,13,120
97學年,臺北市,-,-,-,-,-,50,2,26,-,22,17,-,7,-,10,20,1,1,-,18
97學年,高雄市,-,-,-,-,-,20,2,13,-,5,10,-,5,-,5,11,-,5,-,6
97學年,臺北縣,-,-,-,-,-,37,8,-,13,16,16,4,-,1,11,30,5,-,10,15
97學年,宜蘭縣,-,-,-,-,-,6,3,-,1,2,5,5,-,-,-,6,6,-,-,-
97學年,桃園縣,-,-,-,-,-,22,6,-,3,13,7,4,-,-,3,19,5,-,-,14
97學年,新竹縣,-,-,-,-,-,8,3,-,1,4,1,-,-,-,1,6,1,-,-,5
97學年,苗栗縣,-,-,-,-,-,9,4,-,2,3,7,3,-,-,4,7,2,-,-,5
97學年,臺中縣,-,-,-,-,-,22,4,-,5,13,5,5,-,-,-,15,6,-,-,9
97學年,彰化縣,-,-,-,-,-,10,5,-,2,3,11,9,-,-,2,15,12,-,-,3
97學年,南投縣,-,-,-,-,-,8,4,-,1,3,6,5,-,-,1,7,6,-,-,1
97學年,雲林縣,-,-,-,-,-,12,3,-,2,7,7,5,-,-,2,7,3,-,1,3
97學年,嘉義縣,-,-,-,-,-,5,2,-,1,2,4,1,-,-,3,3,1,-,-,2
97學年,臺南縣,-,-,-,-,-,18,8,-,2,8,11,8,-,-,3,16,9,-,-,7
97學年,高雄縣,-,-,-,-,-,14,4,-,6,4,8,3,-,-,5,8,2,-,-,6
97學年,屏東縣,-,-,-,-,-,11,4,-,3,4,8,5,-,-,3,8,3,-,-,5
97學年,臺東縣,-,-,-,-,-,5,3,-,1,1,4,3,-,-,1,3,2,-,1,-
97學年,花蓮縣,-,-,-,-,-,7,3,-,1,3,6,4,-,-,2,7,4,-,-,3
97學年,澎湖縣,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-
97學年,基隆市,-,-,-,-,-,7,2,-,3,2,4,2,-,-,2,5,3,-,-,2
97學年,新竹市,-,-,-,-,-,10,3,-,3,4,2,2,-,-,-,6,2,-,1,3
97學年,臺中市,-,-,-,-,-,14,4,-,3,7,4,3,-,-,1,8,4,-,-,4
97學年,嘉義市,-,-,-,-,-,8,2,-,-,6,6,4,-,-,2,6,4,-,-,2
97學年,臺南市,-,-,-,-,-,15,4,-,2,9,5,2,-,-,3,11,4,-,-,7
97學年,金門縣,-,-,-,-,-,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
""
