學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,彰化縣,12119,6101,6018,3994,2016,1978,4072,2033,2039,4044,2043,2001,9,9,-,3790,1897,1893,7354,3626,3728,2497,1247,1250,2443,1200,1243,2405,1170,1235,9,9,-,2358,1136,1222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2859,1370,1489,946,461,485,969,460,509,944,449,495,-,-,-,838,406,432,1906,1105,801,551,308,243,660,373,287,695,424,271,-,-,-,594,355,239
106學年,南投縣,4525,2267,2258,1480,731,749,1500,761,739,1538,768,770,7,7,-,1307,691,616,2955,1462,1493,973,485,488,988,497,491,987,473,514,7,7,-,821,427,394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,699,302,397,232,93,139,229,103,126,238,106,132,-,-,-,226,109,117,871,503,368,275,153,122,283,161,122,313,189,124,-,-,-,260,155,105
106學年,雲林縣,7949,4057,3892,2497,1236,1261,2706,1415,1291,2743,1403,1340,3,3,-,2585,1327,1258,3750,1743,2007,1219,554,665,1264,595,669,1267,594,673,-,-,-,1255,602,653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1213,668,545,389,204,185,402,232,170,419,229,190,3,3,-,363,172,191,2986,1646,1340,889,478,411,1040,588,452,1057,580,477,-,-,-,967,553,414
106學年,嘉義縣,2732,1359,1373,902,409,493,919,481,438,911,469,442,-,-,-,842,409,433,997,480,517,279,121,158,363,185,178,355,174,181,-,-,-,319,136,183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,758,361,397,279,127,152,244,118,126,235,116,119,-,-,-,205,89,116,977,518,459,344,161,183,312,178,134,321,179,142,-,-,-,318,184,134
106學年,屏東縣,9068,4447,4621,2818,1367,1451,3095,1507,1588,3155,1573,1582,-,-,-,2717,1336,1381,5456,2682,2774,1791,883,908,1841,908,933,1824,891,933,-,-,-,1721,859,862,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022,906,1116,653,284,369,664,294,370,705,328,377,-,-,-,543,240,303,1590,859,731,374,200,174,590,305,285,626,354,272,-,-,-,453,237,216
106學年,臺東縣,563,329,234,181,105,76,192,110,82,190,114,76,-,-,-,109,60,49,434,258,176,149,86,63,138,86,52,147,86,61,-,-,-,91,56,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,71,58,32,19,13,54,24,30,43,28,15,-,-,-,18,4,14
106學年,花蓮縣,4047,2103,1944,1300,666,634,1377,718,659,1370,719,651,-,-,-,1254,622,632,2588,1395,1193,874,473,401,866,467,399,848,455,393,-,-,-,755,371,384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,82,31,34,23,11,34,27,7,45,32,13,-,-,-,41,26,15,1346,626,720,392,170,222,477,224,253,477,232,245,-,-,-,458,225,233
106學年,澎湖縣,970,478,492,300,144,156,333,173,160,337,161,176,-,-,-,298,143,155,970,478,492,300,144,156,333,173,160,337,161,176,-,-,-,298,143,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,4696,2242,2454,1380,594,786,1613,804,809,1703,844,859,-,-,-,1500,700,800,2521,971,1550,706,212,494,872,341,531,943,418,525,-,-,-,838,292,546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1277,766,511,421,250,171,444,278,166,412,238,174,-,-,-,377,233,144,898,505,393,253,132,121,297,185,112,348,188,160,-,-,-,285,175,110
106學年,新竹市,9300,4681,4619,3144,1579,1565,3114,1601,1513,3042,1501,1541,-,-,-,2715,1315,1400,5053,2595,2458,1710,871,839,1687,880,807,1656,844,812,-,-,-,1602,800,802,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2368,1308,1060,805,437,368,802,456,346,761,415,346,-,-,-,710,380,330,1879,778,1101,629,271,358,625,265,360,625,242,383,-,-,-,403,135,268
106學年,嘉義市,6407,3312,3095,2028,1052,976,2241,1140,1101,2138,1120,1018,-,-,-,2082,1066,1016,4269,2205,2064,1461,753,708,1480,753,727,1328,699,629,-,-,-,1334,696,638,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2138,1107,1031,567,299,268,761,387,374,810,421,389,-,-,-,748,370,378
106學年,金門縣,1007,469,538,325,155,170,341,173,168,341,141,200,-,-,-,248,110,138,1007,469,538,325,155,170,341,173,168,341,141,200,-,-,-,248,110,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,311077,156265,154812,106486,53278,53208,106085,53269,52816,98375,49624,48751,131,94,37,98624,48771,49853,103023,52217,50806,35166,17835,17331,34568,17434,17134,33237,16910,16327,52,38,14,34072,16969,17103,113972,56122,57850,38863,18840,20023,38551,19050,19501,36513,18207,18306,45,25,20,36795,17506,19289,12995,6714,6281,4742,2461,2281,4429,2274,2155,3814,1969,1845,10,10,-,3472,1744,1728,81087,41212,39875,27715,14142,13573,28537,14511,14026,24811,12538,12273,24,21,3,24285,12552,11733
105學年,新北市,41342,20623,20719,14132,7038,7094,14217,7158,7059,12949,6403,6546,44,24,20,12118,6067,6051,61,34,27,24,11,13,20,13,7,17,10,7,-,-,-,20,14,6,28834,14464,14370,10021,5042,4979,9806,4936,4870,8963,4462,4501,44,24,20,8460,4235,4225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12447,6125,6322,4087,1985,2102,4391,2209,2182,3969,1931,2038,-,-,-,3638,1818,1820
105學年,臺北市,59008,29009,29999,19854,9652,10202,20167,9921,10246,18987,9436,9551,-,-,-,20066,9573,10493,3753,2360,1393,1289,803,486,1257,805,452,1207,752,455,-,-,-,1233,801,432,43209,21223,21986,14575,6945,7630,14672,7301,7371,13962,6977,6985,-,-,-,14874,6916,7958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12046,5426,6620,3990,1904,2086,4238,1815,2423,3818,1707,2111,-,-,-,3959,1856,2103
105學年,桃園市,29658,14984,14674,10124,5107,5017,10056,5078,4978,9468,4789,4679,10,10,-,9374,4647,4727,12473,6395,6078,4266,2206,2060,4251,2184,2067,3952,2001,1951,4,4,-,4247,2077,2170,9455,4522,4933,3196,1513,1683,3134,1481,1653,3124,1527,1597,1,1,-,2844,1266,1578,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7730,4067,3663,2662,1388,1274,2671,1413,1258,2392,1261,1131,5,5,-,2283,1304,979
105學年,臺中市,37764,19043,18721,12971,6473,6498,12738,6378,6360,12018,6159,5859,37,33,4,12522,6164,6358,15498,8159,7339,5307,2796,2511,5221,2743,2478,4950,2601,2349,20,19,1,5383,2701,2682,8322,3934,4388,2910,1319,1591,2783,1271,1512,2629,1344,1285,-,-,-,2804,1256,1548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13944,6950,6994,4754,2358,2396,4734,2364,2370,4439,2214,2225,17,14,3,4335,2207,2128
105學年,臺南市,26098,13294,12804,8981,4578,4403,8921,4475,4446,8191,4237,3954,5,4,1,8287,4291,3996,13021,6503,6518,4474,2225,2249,4344,2078,2266,4198,2196,2002,5,4,1,4325,2244,2081,1854,895,959,628,309,319,620,299,321,606,287,319,-,-,-,614,296,318,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11223,5896,5327,3879,2044,1835,3957,2098,1859,3387,1754,1633,-,-,-,3348,1751,1597
105學年,高雄市,35688,18156,17532,12195,6159,6036,12309,6289,6020,11182,5706,5476,2,2,-,11431,5713,5718,7985,4258,3727,2731,1451,1280,2697,1449,1248,2555,1356,1199,2,2,-,2739,1387,1352,22298,11084,11214,7533,3712,3821,7536,3762,3774,7229,3610,3619,-,-,-,7199,3537,3662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5405,2814,2591,1931,996,935,2076,1078,998,1398,740,658,-,-,-,1493,789,704
105學年,宜蘭縣,6383,3210,3173,2156,1057,1099,2191,1127,1064,2033,1024,1009,3,2,1,2095,1065,1030,4825,2201,2624,1616,729,887,1611,748,863,1595,722,873,3,2,1,1658,773,885,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,96,52,52,30,22,50,34,16,46,32,14,-,-,-,49,33,16,1410,913,497,488,298,190,530,345,185,392,270,122,-,-,-,388,259,129
105學年,新竹縣,5089,2635,2454,1922,985,937,1762,921,841,1395,719,676,10,10,-,940,484,456,3363,1707,1656,1130,577,553,1130,579,551,1103,551,552,-,-,-,551,266,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,945,457,488,419,191,228,377,184,193,139,72,67,10,10,-,116,53,63,781,471,310,373,217,156,255,158,97,153,96,57,-,-,-,273,165,108
105學年,苗栗縣,6157,2864,3293,2178,1025,1153,2040,965,1075,1938,873,1065,1,1,-,1760,858,902,4495,1996,2499,1534,685,849,1513,680,833,1448,631,817,-,-,-,1367,637,730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,683,371,312,314,167,147,197,112,85,172,92,80,-,-,-,139,72,67,979,497,482,330,173,157,330,173,157,318,150,168,1,1,-,254,149,105
105學年,彰化縣,12079,6101,5978,4146,2075,2071,4057,2053,2004,3876,1973,1903,-,-,-,3877,1961,1916,7307,3590,3717,2479,1221,1258,2410,1174,1236,2418,1195,1223,-,-,-,2462,1229,1233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2808,1349,1459,997,475,522,950,453,497,861,421,440,-,-,-,746,352,394,1964,1162,802,670,379,291,697,426,271,597,357,240,-,-,-,669,380,289
105學年,南投縣,4461,2291,2170,1561,793,768,1551,775,776,1348,722,626,1,1,-,1467,728,739,2852,1440,1412,1003,506,497,995,478,517,854,456,398,-,-,-,1006,497,509,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,716,329,387,244,110,134,240,108,132,232,111,121,-,-,-,251,121,130,893,522,371,314,177,137,316,189,127,262,155,107,1,1,-,210,110,100
105學年,雲林縣,8080,4173,3907,2710,1410,1300,2757,1413,1344,2613,1350,1263,-,-,-,2569,1359,1210,3794,1801,1993,1253,588,665,1266,595,671,1275,618,657,-,-,-,1343,677,666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1207,643,564,405,230,175,430,234,196,372,179,193,-,-,-,322,171,151,3079,1729,1350,1052,592,460,1061,584,477,966,553,413,-,-,-,904,511,393
105學年,嘉義縣,2729,1387,1342,959,497,462,920,474,446,850,416,434,-,-,-,888,428,460,1067,510,557,381,191,190,357,176,181,329,143,186,-,-,-,360,156,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,701,332,369,259,126,133,239,117,122,203,89,114,-,-,-,204,98,106,961,545,416,319,180,139,324,181,143,318,184,134,-,-,-,324,174,150
105學年,屏東縣,9246,4626,4620,3172,1562,1610,3185,1596,1589,2889,1468,1421,-,-,-,2677,1308,1369,5504,2744,2760,1853,912,941,1839,900,939,1812,932,880,-,-,-,1816,897,919,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026,947,1079,701,319,382,716,338,378,609,290,319,-,-,-,525,215,310,1716,935,781,618,331,287,630,358,272,468,246,222,-,-,-,336,196,140
105學年,臺東縣,537,317,220,200,117,83,197,117,80,133,77,56,7,6,1,123,71,52,426,266,160,153,98,55,151,89,62,115,73,42,7,6,1,114,67,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,51,60,47,19,28,46,28,18,18,4,14,-,-,-,9,4,5
105學年,花蓮縣,4144,2165,1979,1401,734,667,1391,723,668,1352,708,644,-,-,-,1338,682,656,2572,1382,1190,872,473,399,861,460,401,839,449,390,-,-,-,819,415,404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,93,39,47,35,12,45,32,13,40,26,14,-,-,-,38,28,10,1440,690,750,482,226,256,485,231,254,473,233,240,-,-,-,481,239,242
105學年,澎湖縣,1000,497,503,340,176,164,339,162,177,320,158,162,1,1,-,338,166,172,1000,497,503,340,176,164,339,162,177,320,158,162,1,1,-,338,166,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,5082,2515,2567,1729,879,850,1728,856,872,1615,780,835,10,-,10,1539,615,924,2836,1151,1685,933,372,561,960,424,536,933,355,578,10,-,10,927,257,670,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1287,792,495,477,304,173,418,242,176,392,246,146,-,-,-,373,228,145,959,572,387,319,203,116,350,190,160,290,179,111,-,-,-,239,130,109
105學年,新竹市,9016,4531,4485,3152,1624,1528,3057,1511,1546,2807,1396,1411,-,-,-,2816,1381,1435,5011,2580,2431,1691,880,811,1665,850,815,1655,850,805,-,-,-,1665,839,826,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2342,1305,1037,827,474,353,767,420,347,748,411,337,-,-,-,709,373,336,1663,646,1017,634,270,364,625,241,384,404,135,269,-,-,-,442,169,273
105學年,嘉義市,6507,3366,3141,2262,1164,1098,2160,1136,1024,2085,1066,1019,-,-,-,2106,1077,1029,4171,2165,2006,1496,762,734,1339,706,633,1336,697,639,-,-,-,1406,736,670,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2336,1201,1135,766,402,364,821,430,391,749,369,380,-,-,-,700,341,359
105學年,金門縣,1009,478,531,341,173,168,342,141,201,326,164,162,-,-,-,293,133,160,1009,478,531,341,173,168,342,141,201,326,164,162,-,-,-,293,133,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,309410,155995,153415,107988,54357,53631,99074,50071,49003,102218,51467,50751,130,100,30,105132,52929,52203,103497,52506,50991,34829,17570,17259,33426,17038,16388,35195,17861,17334,47,37,10,34986,17951,17035,114670,56734,57936,39061,19358,19703,36746,18350,18396,38806,18986,19820,57,40,17,38162,18685,19477,12118,6231,5887,4636,2386,2250,3859,1999,1860,3620,1843,1777,3,3,-,3537,1810,1727,79125,40524,38601,29462,15043,14419,25043,12684,12359,24597,12777,11820,23,20,3,28447,14483,13964
104學年,新北市,40566,20557,20009,14573,7393,7180,13063,6482,6581,12873,6642,6231,57,40,17,12661,6345,6316,59,39,20,22,15,7,17,10,7,20,14,6,-,-,-,28,15,13,28192,14333,13859,9964,5039,4925,9036,4507,4529,9135,4747,4388,57,40,17,8447,4305,4142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12315,6185,6130,4587,2339,2248,4010,1965,2045,3718,1881,1837,-,-,-,4186,2025,2161
104學年,臺北市,60532,29794,30738,20460,10078,10382,19118,9508,9610,20950,10205,10745,4,3,1,21752,10551,11201,3746,2394,1352,1264,812,452,1213,754,459,1269,828,441,-,-,-,1234,833,401,44489,21869,22620,14813,7385,7428,14049,7028,7021,15627,7456,8171,-,-,-,15489,7416,8073,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12297,5531,6766,4383,1881,2502,3856,1726,2130,4054,1921,2133,4,3,1,5029,2302,2727
104學年,桃園市,29529,14959,14570,10199,5163,5036,9590,4872,4718,9731,4916,4815,9,8,1,9799,5009,4790,12673,6424,6249,4265,2182,2083,3982,2022,1960,4426,2220,2206,-,-,-,4431,2302,2129,9344,4440,4904,3197,1521,1676,3147,1544,1603,3000,1375,1625,-,-,-,3112,1516,1596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7512,4095,3417,2737,1460,1277,2461,1306,1155,2305,1321,984,9,8,1,2256,1191,1065
104學年,臺中市,37771,19015,18756,12925,6467,6458,12094,6204,5890,12734,6328,6406,18,16,2,12949,6626,6323,15723,8167,7556,5259,2763,2496,4970,2615,2355,5484,2780,2704,10,9,1,5456,2909,2547,8351,3951,4400,2832,1287,1545,2652,1357,1295,2867,1307,1560,-,-,-,2916,1384,1532,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13697,6897,6800,4834,2417,2417,4472,2232,2240,4383,2241,2142,8,7,1,4577,2333,2244
104學年,臺南市,25795,13279,12516,9043,4540,4503,8226,4265,3961,8514,4465,4049,12,9,3,9250,4854,4396,13139,6715,6424,4379,2096,2283,4221,2213,2008,4527,2397,2130,12,9,3,4580,2391,2189,1883,917,966,639,313,326,608,289,319,636,315,321,-,-,-,652,320,332,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10773,5647,5126,4025,2131,1894,3397,1763,1634,3351,1753,1598,-,-,-,4018,2143,1875
104學年,高雄市,35600,18186,17414,12525,6426,6099,11229,5741,5488,11846,6019,5827,-,-,-,12190,6266,5924,8074,4261,3813,2711,1461,1250,2559,1361,1198,2804,1439,1365,-,-,-,2571,1378,1193,22411,11224,11187,7616,3813,3803,7254,3625,3629,7541,3786,3755,-,-,-,7546,3744,3802,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5115,2701,2414,2198,1152,1046,1416,755,661,1501,794,707,-,-,-,2073,1144,929
104學年,宜蘭縣,6409,3277,3132,2221,1139,1082,2062,1045,1017,2126,1093,1033,-,-,-,2195,1117,1078,4910,2279,2631,1614,746,868,1615,738,877,1681,795,886,-,-,-,1686,797,889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,101,53,51,33,18,50,32,18,53,36,17,-,-,-,58,35,23,1345,897,448,556,360,196,397,275,122,392,262,130,-,-,-,451,285,166
104學年,新竹縣,4230,2223,2007,1814,956,858,1406,727,679,1007,537,470,3,3,-,1004,526,478,2852,1445,1407,1134,580,554,1110,556,554,608,309,299,-,-,-,560,267,293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,649,319,330,385,186,199,140,72,68,121,58,63,3,3,-,133,67,66,729,459,270,295,190,105,156,99,57,278,170,108,-,-,-,311,192,119
104學年,苗栗縣,5922,2818,3104,2075,974,1101,1952,882,1070,1893,960,933,2,2,-,1853,843,1010,4475,2045,2430,1536,684,852,1457,637,820,1482,724,758,-,-,-,1447,629,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,529,294,235,207,119,88,172,92,80,150,83,67,-,-,-,32,20,12,918,479,439,332,171,161,323,153,170,261,153,108,2,2,-,374,194,180
