學年別,縣市別,國小總計計,國小總計男,國小總計女,國小國立計,國小國立男,國小國立女,國小直轄市立計,國小直轄市立男,國小直轄市立女,國小縣市立計,國小縣市立男,國小縣市立女,國小私立計,國小私立男,國小私立女,國中總計計,國中總計男,國中總計女,國中國立計,國中國立男,國中國立女,國中直轄市立計,國中直轄市立男,國中直轄市立女,國中縣市立計,國中縣市立男,國中縣市立女,國中私立計,國中私立男,國中私立女
103學年,雲林縣,7274,3841,3433,-,-,-,-,-,-,7094,3745,3349,180,96,84,9046,4737,4309,-,-,-,-,-,-,6780,3691,3089,2266,1046,1220
103學年,嘉義縣,4868,2524,2344,-,-,-,-,-,-,4868,2524,2344,-,-,-,5220,2813,2407,-,-,-,-,-,-,4674,2491,2183,546,322,224
103學年,屏東縣,8240,4259,3981,107,59,48,-,-,-,8133,4200,3933,-,-,-,10078,5248,4830,-,-,-,-,-,-,9215,4784,4431,863,464,399
103學年,臺東縣,2247,1165,1082,181,90,91,-,-,-,2054,1067,987,12,8,4,2616,1377,1239,85,56,29,-,-,-,2451,1272,1179,80,49,31
103學年,花蓮縣,3250,1731,1519,133,78,55,-,-,-,2951,1567,1384,166,86,80,3983,2015,1968,-,-,-,-,-,-,3614,1839,1775,369,176,193
103學年,澎湖縣,847,465,382,-,-,-,-,-,-,847,465,382,-,-,-,990,522,468,-,-,-,-,-,-,990,522,468,-,-,-
103學年,基隆市,3386,1795,1591,-,-,-,-,-,-,3235,1716,1519,151,79,72,4569,2305,2264,-,-,-,-,-,-,3888,1923,1965,681,382,299
103學年,新竹市,5186,2726,2460,374,198,176,-,-,-,4626,2416,2210,186,112,74,5795,3034,2761,226,111,115,-,-,-,5011,2634,2377,558,289,269
103學年,嘉義市,3153,1636,1517,148,74,74,-,-,-,3005,1562,1443,-,-,-,4506,2298,2208,-,-,-,-,-,-,3675,1831,1844,831,467,364
103學年,金門縣,662,358,304,-,-,-,-,-,-,662,358,304,-,-,-,730,351,379,-,-,-,-,-,-,730,351,379,-,-,-
103學年,連江縣,100,50,50,-,-,-,-,-,-,100,50,50,-,-,-,115,69,46,-,-,-,-,-,-,115,69,46,-,-,-
102學年,總計,242831,126857,115974,1855,938,917,133906,69946,63960,101814,53162,48652,5256,2811,2445,267798,138973,128825,1462,753,709,137048,70668,66380,99939,51757,48182,29349,15795,13554
102學年,新北市,39088,20551,18537,-,-,-,38069,20003,18066,-,-,-,1019,548,471,41675,21457,20218,16,5,11,36592,18837,17755,-,-,-,5067,2615,2452
102學年,臺北市,22956,12048,10908,267,145,122,20934,10956,9978,-,-,-,1755,947,808,27826,14542,13284,460,213,247,23977,12615,11362,-,-,-,3389,1714,1675
102學年,臺中市,31198,16170,15028,151,84,67,30269,15670,14599,-,-,-,778,416,362,35263,18254,17009,-,-,-,30783,15792,14991,-,-,-,4480,2462,2018
102學年,臺南市,18227,9530,8697,392,184,208,17496,9172,8324,-,-,-,339,174,165,21452,11126,10326,251,125,126,17400,8963,8437,-,-,-,3801,2038,1763
102學年,高雄市,27284,14218,13066,31,17,14,27138,14145,12993,-,-,-,115,56,59,30077,15494,14583,309,173,136,28296,14461,13835,-,-,-,1472,860,612
102學年,宜蘭縣,4675,2395,2280,-,-,-,-,-,-,4647,2375,2272,28,20,8,5827,3089,2738,-,-,-,-,-,-,5217,2696,2521,610,393,217
102學年,桃園縣,25348,13262,12086,-,-,-,-,-,-,25203,13183,12020,145,79,66,26750,13890,12860,-,-,-,-,-,-,24502,12673,11829,2248,1217,1031
102學年,新竹縣,6531,3469,3062,-,-,-,-,-,-,6374,3395,2979,157,74,83,6412,3362,3050,-,-,-,-,-,-,5758,2992,2766,654,370,284
102學年,苗栗縣,6133,3282,2851,-,-,-,-,-,-,6133,3282,2851,-,-,-,6133,3177,2956,147,76,71,-,-,-,5390,2747,2643,596,354,242
102學年,彰化縣,14459,7561,6898,-,-,-,-,-,-,14459,7561,6898,-,-,-,15275,7935,7340,-,-,-,-,-,-,14423,7432,6991,852,503,349
102學年,南投縣,5740,3017,2723,-,-,-,-,-,-,5464,2851,2613,276,166,110,6271,3335,2936,-,-,-,-,-,-,5809,3046,2763,462,289,173
102學年,雲林縣,7564,3902,3662,-,-,-,-,-,-,7384,3808,3576,180,94,86,8375,4410,3965,-,-,-,-,-,-,6226,3395,2831,2149,1015,1134
102學年,嘉義縣,5339,2771,2568,-,-,-,-,-,-,5339,2771,2568,-,-,-,4974,2624,2350,-,-,-,-,-,-,4442,2305,2137,532,319,213
102學年,屏東縣,8694,4444,4250,108,59,49,-,-,-,8586,4385,4201,-,-,-,9402,4882,4520,-,-,-,-,-,-,8602,4421,4181,800,461,339
102學年,臺東縣,2407,1227,1180,195,95,100,-,-,-,2193,1118,1075,19,14,5,2498,1234,1264,50,37,13,-,-,-,2393,1162,1231,55,35,20
102學年,花蓮縣,3415,1762,1653,146,67,79,-,-,-,3123,1620,1503,146,75,71,3947,2077,1870,-,-,-,-,-,-,3589,1894,1695,358,183,175
102學年,澎湖縣,835,433,402,-,-,-,-,-,-,835,433,402,-,-,-,923,486,437,-,-,-,-,-,-,923,486,437,-,-,-
102學年,基隆市,3612,1874,1738,-,-,-,-,-,-,3493,1816,1677,119,58,61,4346,2255,2091,-,-,-,-,-,-,3746,1916,1830,600,339,261
102學年,新竹市,5282,2812,2470,413,211,202,-,-,-,4689,2511,2178,180,90,90,5493,2860,2633,229,124,105,-,-,-,4767,2477,2290,497,259,238
102學年,嘉義市,3299,1744,1555,152,76,76,-,-,-,3147,1668,1479,-,-,-,4123,2081,2042,-,-,-,-,-,-,3396,1712,1684,727,369,358
102學年,金門縣,657,338,319,-,-,-,-,-,-,657,338,319,-,-,-,662,352,310,-,-,-,-,-,-,662,352,310,-,-,-
102學年,連江縣,88,47,41,-,-,-,-,-,-,88,47,41,-,-,-,94,51,43,-,-,-,-,-,-,94,51,43,-,-,-
101學年,總計,275346,143475,131871,1927,1010,917,153781,79780,74001,114076,59713,54363,5562,2972,2590,284579,147527,137052,1580,804,776,146760,75835,70925,106819,55125,51694,29420,15763,13657
101學年,新北市,44638,23083,21555,-,-,-,43502,22496,21006,-,-,-,1136,587,549,44249,22708,21541,24,9,15,39199,20101,19098,-,-,-,5026,2598,2428
101學年,臺北市,26491,13741,12750,287,150,137,24419,12657,11762,-,-,-,1785,934,851,29615,15437,14178,471,214,257,25723,13444,12279,-,-,-,3421,1779,1642
101學年,臺中市,35417,18391,17026,160,78,82,34458,17883,16575,-,-,-,799,430,369,37067,19166,17901,-,-,-,32527,16744,15783,-,-,-,4540,2422,2118
101學年,臺南市,21098,11011,10087,381,216,165,20359,10590,9769,-,-,-,358,205,153,22714,11986,10728,278,149,129,18660,9803,8857,-,-,-,3776,2034,1742
101學年,高雄市,31208,16240,14968,31,16,15,31043,16154,14889,-,-,-,134,70,64,32448,16738,15710,315,170,145,30651,15743,14908,-,-,-,1482,825,657
101學年,宜蘭縣,5383,2803,2580,-,-,-,-,-,-,5342,2782,2560,41,21,20,6298,3349,2949,-,-,-,-,-,-,5735,2978,2757,563,371,192
101學年,桃園縣,28248,14772,13476,-,-,-,-,-,-,28098,14682,13416,150,90,60,28054,14491,13563,-,-,-,-,-,-,25880,13234,12646,2174,1257,917
101學年,新竹縣,7068,3665,3403,-,-,-,-,-,-,6909,3584,3325,159,81,78,6656,3522,3134,-,-,-,-,-,-,6034,3182,2852,622,340,282
101學年,苗栗縣,6707,3476,3231,-,-,-,-,-,-,6707,3476,3231,-,-,-,6610,3505,3105,189,100,89,-,-,-,5736,3004,2732,685,401,284
101學年,彰化縣,16120,8459,7661,-,-,-,-,-,-,16120,8459,7661,-,-,-,16041,8312,7729,-,-,-,-,-,-,15172,7792,7380,869,520,349
101學年,南投縣,6357,3341,3016,-,-,-,-,-,-,6057,3152,2905,300,189,111,6654,3487,3167,-,-,-,-,-,-,6194,3198,2996,460,289,171
101學年,雲林縣,8542,4507,4035,-,-,-,-,-,-,8397,4430,3967,145,77,68,8930,4597,4333,-,-,-,-,-,-,6727,3608,3119,2203,989,1214
101學年,嘉義縣,5948,3095,2853,-,-,-,-,-,-,5948,3095,2853,-,-,-,5397,2839,2558,-,-,-,-,-,-,4884,2560,2324,513,279,234
101學年,屏東縣,9807,5076,4731,108,47,61,-,-,-,9699,5029,4670,-,-,-,10355,5333,5022,-,-,-,-,-,-,9479,4861,4618,876,472,404
101學年,臺東縣,2608,1369,1239,204,99,105,-,-,-,2395,1265,1130,9,5,4,2777,1426,1351,74,42,32,-,-,-,2648,1352,1296,55,32,23
101學年,花蓮縣,3826,2006,1820,152,89,63,-,-,-,3477,1816,1661,197,101,96,4230,2202,2028,-,-,-,-,-,-,3852,2031,1821,378,171,207
101學年,澎湖縣,995,539,456,-,-,-,-,-,-,995,539,456,-,-,-,979,504,475,-,-,-,-,-,-,979,504,475,-,-,-
101學年,基隆市,4288,2268,2020,-,-,-,-,-,-,4132,2178,1954,156,90,66,4649,2366,2283,-,-,-,-,-,-,4005,1993,2012,644,373,271
101學年,新竹市,5887,3120,2767,447,235,212,-,-,-,5247,2793,2454,193,92,101,5624,2915,2709,229,120,109,-,-,-,4943,2552,2391,452,243,209
101學年,嘉義市,3880,2056,1824,157,80,77,-,-,-,3723,1976,1747,-,-,-,4478,2247,2231,-,-,-,-,-,-,3797,1879,1918,681,368,313
101學年,金門縣,758,420,338,-,-,-,-,-,-,758,420,338,-,-,-,672,351,321,-,-,-,-,-,-,672,351,321,-,-,-
101學年,連江縣,72,37,35,-,-,-,-,-,-,72,37,35,-,-,-,82,46,36,-,-,-,-,-,-,82,46,36,-,-,-
100學年,總計,285628,149370,136258,2058,1077,981,160542,83891,76651,117721,61512,56209,5307,2890,2417,309159,160281,148878,1616,856,760,161107,83339,77768,117106,60398,56708,29330,15688,13642
100學年,新北市,46300,24225,22075,-,-,-,45231,23661,21570,-,-,-,1069,564,505,47857,24746,23111,33,21,12,42852,22170,20682,-,-,-,4972,2555,2417
100學年,臺北市,27974,14652,13322,300,147,153,25901,13565,12336,-,-,-,1773,940,833,31764,16425,15339,482,236,246,27998,14521,13477,-,-,-,3284,1668,1616
100學年,臺中市,36365,18948,17417,173,81,92,35371,18423,16948,-,-,-,821,444,377,40448,21107,19341,-,-,-,36003,18626,17377,-,-,-,4445,2481,1964
100學年,臺南市,21851,11407,10444,427,246,181,21131,11003,10128,-,-,-,293,158,135,25003,12982,12021,281,141,140,20754,10759,9995,-,-,-,3968,2082,1886
100學年,高雄市,33071,17328,15743,34,11,23,32908,17239,15669,-,-,-,129,78,51,35290,18271,17019,323,173,150,33500,17263,16237,-,-,-,1467,835,632
100學年,宜蘭縣,5611,2959,2652,-,-,-,-,-,-,5585,2939,2646,26,20,6,6847,3602,3245,-,-,-,-,-,-,6259,3220,3039,588,382,206
100學年,桃園縣,28846,14995,13851,-,-,-,-,-,-,28789,14960,13829,57,35,22,30047,15505,14542,-,-,-,-,-,-,27873,14286,13587,2174,1219,955
100學年,新竹縣,7072,3676,3396,-,-,-,-,-,-,6954,3615,3339,118,61,57,7322,3809,3513,-,-,-,-,-,-,6756,3489,3267,566,320,246
100學年,苗栗縣,6809,3538,3271,-,-,-,-,-,-,6809,3538,3271,-,-,-,7351,3756,3595,180,90,90,-,-,-,6436,3248,3188,735,418,317
100學年,彰化縣,16689,8755,7934,-,-,-,-,-,-,16689,8755,7934,-,-,-,17667,9137,8530,-,-,-,-,-,-,16835,8682,8153,832,455,377
100學年,南投縣,6583,3481,3102,-,-,-,-,-,-,6247,3268,2979,336,213,123,7112,3689,3423,-,-,-,-,-,-,6627,3397,3230,485,292,193
100學年,雲林縣,8755,4644,4111,-,-,-,-,-,-,8618,4567,4051,137,77,60,9648,5090,4558,-,-,-,-,-,-,7388,4072,3316,2260,1018,1242
100學年,嘉義縣,5968,3180,2788,-,-,-,-,-,-,5968,3180,2788,-,-,-,5654,2978,2676,-,-,-,-,-,-,5193,2701,2492,461,277,184
100學年,屏東縣,10430,5460,4970,121,61,60,-,-,-,10309,5399,4910,-,-,-,11684,6104,5580,-,-,-,-,-,-,10828,5633,5195,856,471,385
100學年,臺東縣,2819,1509,1310,218,123,95,-,-,-,2580,1371,1209,21,15,6,2939,1514,1425,91,75,16,-,-,-,2748,1390,1358,100,49,51
100學年,花蓮縣,4037,2071,1966,161,84,77,-,-,-,3697,1896,1801,179,91,88,4656,2406,2250,-,-,-,-,-,-,4262,2201,2061,394,205,189
100學年,澎湖縣,996,521,475,-,-,-,-,-,-,996,521,475,-,-,-,1081,559,522,-,-,-,-,-,-,1081,559,522,-,-,-
100學年,基隆市,4691,2429,2262,-,-,-,-,-,-,4535,2339,2196,156,90,66,5064,2615,2449,-,-,-,-,-,-,4380,2217,2163,684,398,286
100學年,新竹市,5812,3006,2806,454,236,218,-,-,-,5166,2666,2500,192,104,88,6259,3234,3025,226,120,106,-,-,-,5534,2861,2673,499,253,246
100學年,嘉義市,4118,2173,1945,170,88,82,-,-,-,3948,2085,1863,-,-,-,4649,2319,2330,-,-,-,-,-,-,4089,2009,2080,560,310,250
100學年,金門縣,718,350,368,-,-,-,-,-,-,718,350,368,-,-,-,713,379,334,-,-,-,-,-,-,713,379,334,-,-,-
100學年,連江縣,113,63,50,-,-,-,-,-,-,113,63,50,-,-,-,104,54,50,-,-,-,-,-,-,104,54,50,-,-,-
99學年,總計,271625,141453,130172,2032,1087,945,153156,79413,73743,111537,58273,53264,4900,2680,2220,316906,164847,152059,1522,768,754,166205,86051,80154,119155,61971,57184,30024,16057,13967
99學年,新北市,43651,22523,21128,-,-,-,42658,22007,20651,-,-,-,993,516,477,50086,25764,24322,27,15,12,44930,23093,21837,-,-,-,5129,2656,2473
99學年,臺北市,27151,14269,12882,315,164,151,25173,13190,11983,-,-,-,1663,915,748,32861,17034,15827,519,231,288,29004,15075,13929,-,-,-,3338,1728,1610
99學年,臺中市,35234,18352,16882,168,99,69,34309,17827,16482,-,-,-,757,426,331,41363,21467,19896,-,-,-,36656,18931,17725,-,-,-,4707,2536,2171
99學年,臺南市,20979,10931,10048,414,229,185,20299,10566,9733,-,-,-,266,136,130,25373,13216,12157,236,116,120,21012,10919,10093,-,-,-,4125,2181,1944
99學年,高雄市,30884,15924,14960,32,17,15,30717,15823,14894,-,-,-,135,84,51,36403,19046,17357,296,146,150,34603,18033,16570,-,-,-,1504,867,637
99學年,宜蘭縣,5482,2867,2615,-,-,-,-,-,-,5456,2852,2604,26,15,11,6908,3724,3184,-,-,-,-,-,-,6338,3348,2990,570,376,194
99學年,桃園縣,27403,14360,13043,-,-,-,-,-,-,27367,14339,13028,36,21,15,30711,16015,14696,-,-,-,-,-,-,28540,14792,13748,2171,1223,948
99學年,新竹縣,6662,3491,3171,-,-,-,-,-,-,6570,3438,3132,92,53,39,7225,3783,3442,-,-,-,-,-,-,6690,3474,3216,535,309,226
99學年,苗栗縣,6353,3332,3021,-,-,-,-,-,-,6353,3332,3021,-,-,-,7488,3896,3592,153,92,61,-,-,-,6574,3352,3222,761,452,309
99學年,彰化縣,15942,8277,7665,-,-,-,-,-,-,15942,8277,7665,-,-,-,17441,9154,8287,-,-,-,-,-,-,16654,8720,7934,787,434,353
99學年,南投縣,6272,3276,2996,-,-,-,-,-,-,6011,3120,2891,261,156,105,7427,3839,3588,-,-,-,-,-,-,6908,3508,3400,519,331,188
99學年,雲林縣,8272,4364,3908,-,-,-,-,-,-,8100,4275,3825,172,89,83,9673,5079,4594,-,-,-,-,-,-,7344,4014,3330,2329,1065,1264
99學年,嘉義縣,5664,2958,2706,-,-,-,-,-,-,5664,2958,2706,-,-,-,5671,2994,2677,-,-,-,-,-,-,5230,2732,2498,441,262,179
99學年,屏東縣,9794,5127,4667,116,61,55,-,-,-,9678,5066,4612,-,-,-,11964,6297,5667,-,-,-,-,-,-,11112,5816,5296,852,481,371
99學年,臺東縣,2655,1334,1321,211,110,101,-,-,-,2409,1202,1207,35,22,13,3036,1526,1510,62,45,17,-,-,-,2940,1457,1483,34,24,10
99學年,花蓮縣,3973,2114,1859,163,85,78,-,-,-,3653,1954,1699,157,75,82,4767,2482,2285,-,-,-,-,-,-,4380,2298,2082,387,184,203
99學年,澎湖縣,935,484,451,-,-,-,-,-,-,935,484,451,-,-,-,1004,524,480,-,-,-,-,-,-,1004,524,480,-,-,-
99學年,基隆市,4368,2238,2130,-,-,-,-,-,-,4227,2162,2065,141,76,65,5622,2939,2683,-,-,-,-,-,-,4901,2536,2365,721,403,318
99學年,新竹市,5417,2828,2589,443,218,225,-,-,-,4808,2514,2294,166,96,70,6194,3201,2993,229,123,106,-,-,-,5505,2844,2661,460,234,226
99學年,嘉義市,3782,1988,1794,170,104,66,-,-,-,3612,1884,1728,-,-,-,4838,2422,2416,-,-,-,-,-,-,4184,2111,2073,654,311,343
99學年,金門縣,663,371,292,-,-,-,-,-,-,663,371,292,-,-,-,753,393,360,-,-,-,-,-,-,753,393,360,-,-,-
99學年,連江縣,89,45,44,-,-,-,-,-,-,89,45,44,-,-,-,98,52,46,-,-,-,-,-,-,98,52,46,-,-,-
98學年,總計,288408,150173,138235,2063,1052,1011,45435,23660,21775,236076,122829,113247,4834,2632,2202,315798,163519,152279,1561,795,766,48590,25199,23391,235847,121601,114246,29800,15924,13876
98學年,臺北市,29098,15317,13781,318,158,160,27118,14249,12869,-,-,-,1662,910,752,32716,17005,15711,519,232,287,28981,15124,13857,-,-,-,3216,1649,1567
98學年,高雄市,18448,9477,8971,35,17,18,18317,9411,8906,-,-,-,96,49,47,21179,10881,10298,342,169,173,19609,10075,9534,-,-,-,1228,637,591
98學年,臺北縣,46172,23860,22312,-,-,-,-,-,-,45219,23362,21857,953,498,455,50009,25778,24231,21,7,14,-,-,-,45025,23215,21810,4963,2556,2407
98學年,宜蘭縣,5972,3123,2849,-,-,-,-,-,-,5948,3106,2842,24,17,7,6887,3601,3286,-,-,-,-,-,-,6401,3291,3110,486,310,176
