學年別,三分類,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
100學年,人文類,241155,76821,164334,11736,2600,9136,449,212,237,91,36,55,4436,1098,3338,178524,56550,121974,40112,13515,26597,5807,2810,2997
100學年,社會類,496127,192523,303604,20901,5014,15887,8101,2939,5162,155,80,75,15979,5146,10833,386945,147942,239003,58814,28221,30593,5232,3181,2051
100學年,科技類,614802,414023,200779,55433,14036,41397,4680,3226,1454,226,180,46,25160,8167,16993,421469,308257,113212,85187,62452,22735,22647,17705,4942
99學年,總計,1343603,681054,662549,86971,21975,64996,15818,7580,8238,423,262,161,50669,17346,33323,970544,504699,465845,185000,104894,80106,34178,24298,9880
99學年,人文類,235906,74140,161766,11860,2371,9489,731,321,410,79,31,48,4993,1343,3650,171367,53441,117926,41225,13887,27338,5651,2746,2905
99學年,社會類,485704,186033,299671,18881,4612,14269,9558,3534,6024,156,82,74,17473,5583,11890,375681,140607,235074,58689,28414,30275,5266,3201,2065
99學年,科技類,621993,420881,201112,56230,14992,41238,5529,3725,1804,188,149,39,28203,10420,17783,423496,310651,112845,85086,62593,22493,23261,18351,4910
98學年,總計,1336659,680038,656621,85614,22302,63312,22941,11490,11451,-,-,-,62860,23788,39072,948092,493233,454859,183401,105084,78317,33751,24141,9610
98學年,人文類,232443,72598,159845,11888,2135,9753,1293,612,681,-,-,-,6115,1619,4496,165541,51284,114257,42080,14283,27797,5526,2665,2861
98學年,社會類,476729,181067,295662,16875,4195,12680,12708,4846,7862,-,-,-,22195,6901,15294,362512,133631,228881,57285,28347,28938,5154,3147,2007
98學年,科技類,627487,426373,201114,56851,15972,40879,8940,6032,2908,-,-,-,34550,15268,19282,420039,308318,111721,84036,62454,21582,23071,18329,4742
97學年,總計,1337455,683114,654341,84787,23124,61663,32866,17451,15415,-,-,-,83443,34718,48725,922659,478620,444039,180809,105470,75339,32891,23731,9160
97學年,人文類,227933,70989,156944,12280,2119,10161,2009,952,1057,-,-,-,7913,2138,5775,159040,48933,110107,41547,14367,27180,5144,2480,2664
97學年,社會類,473813,177587,296226,15440,3824,11616,16624,6351,10273,-,-,-,30466,9198,21268,350013,126540,223473,56125,28530,27595,5145,3144,2001
97學年,科技類,635709,434538,201171,57067,17181,39886,14233,10148,4085,-,-,-,45064,23382,21682,413606,303147,110459,83137,62573,20564,22602,18107,4495
""
