學年別,年齡別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
99學年,25歲至未滿30歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3899,1082,2817,846,247,599,485,134,351,859,237,622,1709,464,1245,1900,617,1283,977,337,640,211,82,129,14,1,13,698,197,501
99學年,30歲至未滿35歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7213,2516,4697,1708,604,1104,944,310,634,1765,532,1233,2796,1070,1726,3181,1221,1960,1729,674,1055,412,167,245,14,4,10,1026,376,650
99學年,35歲至未滿40歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6997,2617,4380,1932,759,1173,1089,346,743,1786,625,1161,2190,887,1303,3150,1359,1791,1855,814,1041,364,148,216,26,8,18,905,389,516
99學年,40歲至未滿45歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7266,3109,4157,2195,1010,1185,1232,462,770,1496,564,932,2343,1073,1270,3291,1842,1449,1986,1166,820,400,237,163,56,27,29,849,412,437
99學年,45歲至未滿50歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4991,2171,2820,1400,648,752,1111,390,721,860,333,527,1620,800,820,2408,1359,1049,1451,857,594,361,182,179,20,14,6,576,306,270
99學年,50歲至未滿55歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3112,1489,1623,766,379,387,500,184,316,472,183,289,1374,743,631,1758,1012,746,979,590,389,294,184,110,4,2,2,481,236,245
99學年,55歲至未滿60歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1573,884,689,301,202,99,160,81,79,148,71,77,964,530,434,731,427,304,328,212,116,82,41,41,3,1,2,318,173,145
99學年,60歲至未滿65歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,708,441,267,96,62,34,46,26,20,42,19,23,524,334,190,280,194,86,102,76,26,14,6,8,-,-,-,164,112,52
99學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,31,10,2,2,-,2,1,1,1,1,-,36,27,9,10,7,3,2,-,2,-,-,-,-,-,-,8,7,1
98學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35580,14109,21471,9341,3922,5419,5656,1952,3704,7154,2433,4721,13429,5802,7627,16585,7996,8589,9379,4735,4644,2113,1036,1077,135,51,84,4958,2174,2784
98學年,未滿25歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,480,72,408,85,14,71,63,11,52,102,25,77,230,22,208,226,30,196,119,17,102,15,1,14,6,-,6,86,12,74
98學年,25歲至未滿30歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4151,1140,3011,850,225,625,525,161,364,930,267,663,1846,487,1359,1946,625,1321,939,332,607,237,84,153,7,1,6,763,208,555
98學年,30歲至未滿35歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7257,2446,4811,1788,617,1171,984,297,687,1770,505,1265,2715,1027,1688,3083,1169,1914,1732,658,1074,375,144,231,16,2,14,960,365,595
98學年,35歲至未滿40歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6933,2648,4285,2012,806,1206,1098,368,730,1677,574,1103,2146,900,1246,3037,1405,1632,1774,846,928,359,176,183,38,10,28,866,373,493
98學年,40歲至未滿45歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6927,2994,3933,2077,978,1099,1288,471,817,1301,496,805,2261,1049,1212,3219,1840,1379,1953,1159,794,391,232,159,47,25,22,828,424,404
98學年,45歲至未滿50歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4670,2062,2608,1329,602,727,1053,368,685,785,336,449,1503,756,747,2377,1327,1050,1439,831,608,377,196,181,15,11,4,546,289,257
98學年,50歲至未滿55歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2992,1478,1514,795,415,380,455,182,273,416,147,269,1326,734,592,1725,996,729,1003,617,386,272,163,109,4,2,2,446,214,232
98學年,55歲至未滿60歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1555,856,699,306,194,112,161,79,82,143,64,79,945,519,426,714,413,301,328,205,123,72,32,40,2,-,2,312,176,136
98學年,60歲至未滿65歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,578,386,192,96,69,27,29,15,14,29,18,11,424,284,140,243,176,67,92,70,22,14,7,7,-,-,-,137,99,38
98學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,27,10,3,2,1,-,-,-,1,1,-,33,24,9,15,15,-,-,-,-,1,1,-,-,-,-,14,14,-
97學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34759,13901,20858,9312,3948,5364,5508,1896,3612,6610,2246,4364,13329,5811,7518,16470,8062,8408,9288,4760,4528,2111,1045,1066,136,52,84,4935,2205,2730
97學年,未滿25歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,494,72,422,91,13,78,54,4,50,99,20,79,250,35,215,295,61,234,152,41,111,19,3,16,6,-,6,118,17,101
97學年,25歲至未滿30歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4358,1170,3188,884,255,629,543,142,401,896,238,658,2035,535,1500,2056,658,1398,996,344,652,238,82,156,6,-,6,816,232,584
97學年,30歲至未滿35歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6993,2357,4636,1788,625,1163,965,282,683,1679,481,1198,2561,969,1592,3075,1227,1848,1754,695,1059,356,141,215,23,4,19,942,387,555
97學年,35歲至未滿40歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6973,2717,4256,2061,836,1225,1124,395,729,1544,534,1010,2244,952,1292,3122,1528,1594,1841,947,894,364,180,184,45,14,31,872,387,485
97學年,40歲至未滿45歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6576,2905,3671,2019,943,1076,1215,463,752,1181,463,718,2161,1036,1125,3048,1742,1306,1828,1074,754,382,222,160,42,25,17,796,421,375
97學年,45歲至未滿50歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4381,1936,2445,1277,581,696,960,318,642,684,282,402,1460,755,705,2351,1323,1028,1378,810,568,409,216,193,8,8,-,556,289,267
97學年,50歲至未滿55歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2925,1508,1417,789,425,364,451,203,248,378,152,226,1307,728,579,1611,918,693,939,564,375,252,158,94,5,1,4,415,195,220
97學年,55歲至未滿60歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1481,843,638,305,194,111,165,73,92,119,59,60,892,517,375,668,418,250,302,207,95,72,32,40,1,-,1,293,179,114
97學年,60歲至未滿65歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,534,358,176,92,72,20,31,16,15,30,17,13,381,253,128,229,175,54,93,73,20,18,10,8,-,-,-,118,92,26
97學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,35,9,6,4,2,-,-,-,-,-,-,38,31,7,15,12,3,5,5,-,1,1,-,-,-,-,9,6,3
""
