學年別,縣市別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
106學年,屏東縣,144,83,61,84,48,36,-,-,-,30,14,16,30,21,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺東縣,82,48,34,55,33,22,-,-,-,6,3,3,21,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,107,52,55,69,37,32,-,-,-,11,2,9,27,13,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,澎湖縣,19,11,8,19,11,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,94,53,41,37,20,17,-,-,-,31,17,14,26,16,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹市,106,49,57,48,23,25,-,-,-,22,7,15,36,19,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義市,101,61,40,59,35,24,-,-,-,-,-,-,42,26,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,金門縣,19,12,7,19,12,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,8,3,5,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,4115,2269,1846,1407,822,585,929,486,443,233,125,108,1546,836,710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新北市,477,238,239,9,4,5,247,133,114,-,-,-,221,101,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺北市,525,252,273,17,8,9,305,150,155,-,-,-,203,94,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,桃園市,280,155,125,89,43,46,59,31,28,-,-,-,132,81,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺中市,439,259,180,155,97,58,78,50,28,-,-,-,206,112,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺南市,391,215,176,202,118,84,30,18,12,-,-,-,159,79,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,高雄市,453,247,206,84,47,37,210,104,106,-,-,-,159,96,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,宜蘭縣,103,70,33,76,53,23,-,-,-,9,4,5,18,13,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,83,42,41,26,11,15,-,-,-,14,9,5,43,22,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,134,90,44,62,46,16,-,-,-,27,15,12,45,29,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,彰化縣,216,123,93,134,74,60,-,-,-,42,26,16,40,23,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,南投縣,122,72,50,80,50,30,-,-,-,9,6,3,33,16,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,154,95,59,71,45,26,-,-,-,18,13,5,65,37,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義縣,73,46,27,27,17,10,-,-,-,14,7,7,32,22,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,屏東縣,140,78,62,80,47,33,-,-,-,31,14,17,29,17,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺東縣,79,45,34,52,30,22,-,-,-,6,3,3,21,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,110,54,56,66,31,35,-,-,-,10,3,7,34,20,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,澎湖縣,17,12,5,17,12,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,91,53,38,32,19,13,-,-,-,31,16,15,28,18,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹市,104,49,55,46,22,24,-,-,-,22,9,13,36,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義市,98,58,40,56,32,24,-,-,-,-,-,-,42,26,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,金門縣,18,12,6,18,12,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,8,4,4,8,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,4135,2313,1822,1413,832,581,926,500,426,239,129,110,1557,852,705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新北市,467,243,224,5,2,3,238,137,101,-,-,-,224,104,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺北市,535,252,283,16,7,9,314,153,161,-,-,-,205,92,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,桃園市,287,162,125,91,46,45,59,32,27,-,-,-,137,84,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺中市,434,261,173,153,96,57,77,49,28,-,-,-,204,116,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺南市,391,212,179,203,114,89,32,19,13,-,-,-,156,79,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,高雄市,447,254,193,81,46,35,206,110,96,-,-,-,160,98,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,宜蘭縣,105,69,36,76,50,26,-,-,-,13,8,5,16,11,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,86,44,42,26,10,16,-,-,-,13,8,5,47,26,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,142,95,47,63,47,16,-,-,-,28,17,11,51,31,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,彰化縣,216,131,85,135,80,55,-,-,-,42,27,15,39,24,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,南投縣,127,80,47,88,60,28,-,-,-,8,5,3,31,15,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,158,99,59,76,48,28,-,-,-,18,11,7,64,40,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義縣,76,47,29,27,16,11,-,-,-,15,7,8,34,24,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,屏東縣,140,76,64,78,47,31,-,-,-,32,11,21,30,18,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺東縣,77,46,31,51,30,21,-,-,-,6,3,3,20,13,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,104,55,49,64,34,30,-,-,-,11,5,6,29,16,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,澎湖縣,18,12,6,18,12,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,92,51,41,33,18,15,-,-,-,31,17,14,28,16,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹市,104,50,54,46,22,24,-,-,-,22,10,12,36,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義市,103,59,44,57,32,25,-,-,-,-,-,-,46,27,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,金門縣,18,12,6,18,12,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,8,3,5,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,4084,2324,1760,1399,833,566,846,459,387,289,171,118,1550,861,689,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新北市,441,230,211,7,3,4,234,132,102,-,-,-,200,95,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺北市,525,253,272,17,8,9,302,153,149,-,-,-,206,92,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺中市,420,254,166,148,93,55,72,43,29,-,-,-,200,118,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺南市,395,214,181,201,115,86,30,16,14,-,-,-,164,83,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,高雄市,445,256,189,78,48,30,208,115,93,-,-,-,159,93,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,宜蘭縣,104,69,35,78,51,27,-,-,-,9,6,3,17,12,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,290,170,120,90,47,43,-,-,-,60,38,22,140,85,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹縣,77,42,35,26,10,16,-,-,-,7,3,4,44,29,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,143,95,48,61,43,18,-,-,-,29,16,13,53,36,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,彰化縣,219,137,82,136,83,53,-,-,-,41,29,12,42,25,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,南投縣,128,80,48,87,58,29,-,-,-,8,6,2,33,16,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,雲林縣,158,99,59,73,46,27,-,-,-,18,11,7,67,42,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義縣,77,50,27,24,15,9,-,-,-,15,6,9,38,29,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,屏東縣,147,86,61,81,49,32,-,-,-,33,18,15,33,19,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺東縣,73,42,31,50,30,20,-,-,-,6,3,3,17,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,103,56,47,65,36,29,-,-,-,9,3,6,29,17,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,澎湖縣,18,12,6,18,12,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,94,57,37,33,18,15,-,-,-,32,20,12,29,19,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹市,101,51,50,43,21,22,-,-,-,22,12,10,36,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義市,100,55,45,57,31,26,-,-,-,-,-,-,43,24,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,金門縣,18,12,6,18,12,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,8,4,4,8,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2635,1474,1161,669,391,278,665,358,307,281,168,113,1020,557,463,1316,785,531,705,436,269,158,99,59,-,-,-,453,250,203
102學年,新北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,156,144,7,3,4,178,97,81,-,-,-,115,56,59,122,70,52,-,-,-,47,32,15,-,-,-,75,38,37
102學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374,180,194,18,9,9,230,111,119,-,-,-,126,60,66,128,69,59,-,-,-,66,45,21,-,-,-,62,24,38
102學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,327,193,134,73,43,30,71,43,28,-,-,-,183,107,76,85,56,29,78,52,26,-,-,-,-,-,-,7,4,3
102學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257,129,128,106,60,46,30,15,15,-,-,-,121,54,67,128,83,45,85,56,29,-,-,-,-,-,-,43,27,16
102學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,157,112,50,29,21,156,92,64,-,-,-,63,36,27,148,85,63,26,17,9,45,22,23,-,-,-,77,46,31
102學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,37,13,25,18,7,-,-,-,8,6,2,17,13,4,51,31,20,51,31,20,-,-,-,-,-,-,-,-,-
102學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,127,83,48,26,22,-,-,-,59,36,23,103,65,38,69,35,34,40,21,19,-,-,-,-,-,-,29,14,15
102學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,34,30,25,11,14,-,-,-,7,4,3,32,19,13,7,3,4,-,-,-,-,-,-,-,-,-,7,3,4
102學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,52,31,32,21,11,-,-,-,27,14,13,24,17,7,54,35,19,28,19,9,-,-,-,-,-,-,26,16,10
102學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,72,36,44,28,16,-,-,-,40,30,10,24,14,10,108,63,45,90,51,39,-,-,-,-,-,-,18,12,6
102學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,44,23,35,26,9,-,-,-,8,6,2,24,12,12,55,29,26,47,27,20,-,-,-,-,-,-,8,2,6
102學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,50,37,25,16,9,-,-,-,14,10,4,48,24,24,67,47,20,48,31,17,-,-,-,-,-,-,19,16,3
102學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,26,19,17,11,6,-,-,-,15,7,8,13,8,5,30,21,9,9,6,3,-,-,-,-,-,-,21,15,6
102學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,51,39,34,21,13,-,-,-,33,16,17,23,14,9,60,38,22,47,32,15,-,-,-,-,-,-,13,6,7
102學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,18,13,22,13,9,-,-,-,6,3,3,3,2,1,40,20,20,28,13,15,-,-,-,-,-,-,12,7,5
102學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,29,28,26,13,13,-,-,-,11,5,6,20,11,9,43,26,17,34,22,12,-,-,-,-,-,-,9,4,5
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,2,9,7,2,-,-,-,-,-,-,-,-,-,9,7,2,9,7,2,-,-,-,-,-,-,-,-,-
102學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,35,24,15,6,9,-,-,-,32,20,12,12,9,3,34,20,14,18,11,7,-,-,-,-,-,-,16,9,7
102學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,40,41,25,12,13,-,-,-,21,11,10,35,17,18,18,10,8,18,10,8,-,-,-,-,-,-,-,-,-
102學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,29,22,17,10,7,-,-,-,-,-,-,34,19,15,50,29,21,39,22,17,-,-,-,-,-,-,11,7,4
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4,8,4,4,-,-,-,-,-,-,-,-,-,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4,8,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2607,1469,1138,729,427,302,603,338,265,256,144,112,1019,560,459,1319,812,507,736,478,258,131,81,50,-,-,-,452,253,199
101學年,新北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283,152,131,65,34,31,103,64,39,-,-,-,115,54,61,125,71,54,36,28,8,9,4,5,-,-,-,80,39,41
101學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,388,198,190,18,10,8,241,124,117,-,-,-,129,64,65,128,71,57,-,-,-,68,45,23,-,-,-,60,26,34
101學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317,181,136,70,39,31,73,44,29,-,-,-,174,98,76,82,58,24,75,54,21,-,-,-,-,-,-,7,4,3
101學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260,141,119,106,68,38,29,13,16,-,-,-,125,60,65,128,84,44,84,55,29,-,-,-,-,-,-,44,29,15
101學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,158,111,51,29,22,157,93,64,-,-,-,61,36,25,160,100,60,27,18,9,54,32,22,-,-,-,79,50,29
101學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,35,15,24,16,8,-,-,-,8,5,3,18,14,4,49,32,17,49,32,17,-,-,-,-,-,-,-,-,-
101學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,125,80,48,28,20,-,-,-,56,33,23,101,64,37,64,35,29,40,23,17,-,-,-,-,-,-,24,12,12
101學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,36,29,25,11,14,-,-,-,8,4,4,32,21,11,7,3,4,-,-,-,-,-,-,-,-,-,7,3,4
101學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,42,29,33,18,15,-,-,-,14,7,7,24,17,7,57,38,19,29,20,9,-,-,-,-,-,-,28,18,10
101學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,61,34,44,28,16,-,-,-,30,21,9,21,12,9,110,70,40,91,57,34,-,-,-,-,-,-,19,13,6
101學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,45,27,36,27,9,-,-,-,8,5,3,28,13,15,55,28,27,47,28,19,-,-,-,-,-,-,8,-,8
101學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,52,39,26,15,11,-,-,-,16,11,5,49,26,23,65,45,20,47,30,17,-,-,-,-,-,-,18,15,3
101學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,25,19,18,13,5,-,-,-,13,5,8,13,7,6,29,19,10,9,6,3,-,-,-,-,-,-,20,13,7
101學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,50,38,34,21,13,-,-,-,32,16,16,22,13,9,58,37,21,46,30,16,-,-,-,-,-,-,12,7,5
101學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,18,13,22,13,9,-,-,-,6,3,3,3,2,1,39,21,18,28,15,13,-,-,-,-,-,-,11,6,5
