學年別,縣市別,總計,幼兒(稚)園,國民小學,國民中學,高級中等學校,高級中學,職業學校,專科學校,獨立學院,大學,宗教研修學院,特殊教育學校,國小補校,國中補校,高級中等進修學校,空大及大專進修學校
105學年,臺東縣,69.13,33.28,25.03,5.97,2.84,-,-,0.28,-,0.28,-,0.28,0.57,0.57,-,-
105學年,花蓮縣,61.57,28.09,22.25,4.97,2.81,-,-,-,0.43,0.65,-,0.22,0.65,1.08,-,0.43
105學年,澎湖縣,622.71,181.30,291.65,110.35,15.76,-,-,-,-,7.88,-,-,7.88,7.88,-,-
105學年,基隆市,1416.10,768.31,323.90,82.86,90.39,-,-,-,15.06,7.53,-,7.53,45.19,45.19,-,30.13
105學年,新竹市,2198.70,1536.21,307.24,124.82,115.22,-,-,-,-,57.61,-,-,28.80,9.60,-,19.20
105學年,嘉義市,2015.81,1182.83,333.19,133.28,216.57,-,-,16.66,16.66,16.66,-,16.66,16.66,49.98,-,16.66
105學年,金門縣,336.29,158.25,125.28,32.97,13.19,-,-,-,-,6.59,-,-,-,-,-,-
105學年,連江縣,659.72,173.61,277.78,173.61,34.72,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,302.48,175.77,72.75,20.25,13.98,-,-,0.36,0.52,3.48,0.08,0.77,6.60,5.33,-,2.57
104學年,新北市,755.64,533.97,103.77,30.21,29.72,-,-,0.49,2.92,6.33,0.49,0.49,24.85,14.62,-,7.80
104學年,臺北市,3811.63,2527.60,551.88,224.43,253.86,-,-,3.68,3.68,84.62,3.68,14.72,58.87,44.15,-,40.47
104學年,桃園市,709.28,432.45,155.62,47.50,27.03,-,-,0.82,0.82,8.19,-,0.82,15.56,13.92,-,6.55
104學年,臺中市,496.64,297.53,106.10,32.51,21.67,-,-,-,-,7.68,-,1.81,14.00,10.84,-,4.51
104學年,臺南市,412.02,240.91,96.27,27.38,21.44,-,-,0.91,0.46,5.48,-,0.91,10.04,5.48,-,2.74
104學年,高雄市,384.84,229.35,81.98,26.76,17.95,-,-,1.02,0.68,4.74,0.34,1.36,7.45,9.15,-,4.07
104學年,宜蘭縣,112.89,50.85,35.45,11.20,5.60,-,-,0.47,0.47,0.93,-,0.47,4.66,1.87,-,0.93
104學年,新竹縣,244.48,151.31,59.54,19.61,7.01,-,-,-,-,1.40,-,0.70,2.10,1.40,-,1.40
104學年,苗栗縣,196.67,95.59,64.27,16.48,10.44,-,-,0.55,0.55,1.10,-,0.55,5.49,0.55,-,1.10
104學年,彰化縣,542.63,297.84,162.88,33.51,22.34,-,-,-,-,4.65,-,1.86,6.52,10.24,-,2.79
104學年,南投縣,91.56,43.10,34.09,7.79,3.65,-,-,-,-,0.49,-,0.24,0.73,0.97,-,0.49
104學年,雲林縣,291.28,108.46,120.08,25.56,16.27,-,-,-,-,2.32,-,0.77,6.97,7.75,-,3.10
104學年,嘉義縣,164.42,74.59,65.14,12.08,5.25,-,-,-,0.53,1.58,-,-,2.10,2.10,-,1.05
104學年,屏東縣,192.75,98.72,60.17,12.61,6.85,-,-,0.36,-,1.44,-,0.36,5.04,5.76,-,1.44
104學年,臺東縣,69.41,33.28,25.03,5.97,2.84,-,-,0.28,-,0.28,-,0.28,0.85,0.57,-,-
104學年,花蓮縣,61.79,28.30,22.25,4.97,2.81,-,-,-,0.43,0.65,-,0.22,0.65,1.08,-,0.43
104學年,澎湖縣,646.36,181.30,315.30,110.35,15.76,-,-,-,-,7.88,-,-,7.88,7.88,-,-
104學年,基隆市,1431.17,768.31,323.90,82.86,90.39,-,-,-,15.06,7.53,-,7.53,52.73,52.73,-,30.13
104學年,新竹市,2208.30,1545.81,307.24,124.82,115.22,-,-,-,-,57.61,-,-,28.80,9.60,-,19.20
104學年,嘉義市,2015.81,1182.83,333.19,133.28,216.57,-,-,16.66,16.66,16.66,-,16.66,16.66,49.98,-,16.66
104學年,金門縣,336.29,158.25,125.28,32.97,13.19,-,-,-,-,6.59,-,-,-,-,-,-
104學年,連江縣,694.44,208.33,277.78,173.61,34.72,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,306.11,178.72,73.06,20.39,13.90,-,-,0.39,0.58,3.43,0.06,0.77,6.83,5.39,-,2.60
103學年,新北市,772.20,550.53,104.26,30.69,29.23,-,-,0.49,2.92,5.85,0.49,0.49,25.33,14.62,-,7.31
103學年,臺北市,3877.86,2571.75,559.24,228.11,253.86,-,-,7.36,7.36,80.94,3.68,14.72,58.87,44.15,-,47.83
103學年,臺中市,503.41,304.75,105.65,32.51,21.67,-,-,-,-,7.68,-,1.81,14.00,10.84,-,4.51
103學年,臺南市,418.41,245.93,96.27,27.38,21.90,-,-,0.91,0.46,5.93,-,0.91,10.04,5.93,-,2.74
103學年,高雄市,388.79,233.07,82.10,27.14,17.64,-,-,1.02,0.68,4.75,-,1.36,8.14,8.82,-,4.07
103學年,宜蘭縣,112.43,49.92,35.92,11.66,5.13,-,-,0.47,0.47,0.93,-,0.47,4.66,1.87,-,0.93
103學年,桃園縣,706.01,428.35,155.62,47.50,27.03,-,-,0.82,0.82,8.19,-,0.82,16.38,13.92,-,6.55
103學年,新竹縣,242.38,149.21,59.54,20.31,6.30,-,-,-,-,1.40,-,0.70,2.10,1.40,-,1.40
103學年,苗栗縣,196.67,95.59,64.27,15.93,10.44,-,-,0.55,0.55,1.10,-,0.55,6.04,0.55,-,1.10
103學年,彰化縣,549.15,301.56,162.88,33.51,22.34,-,-,-,-,4.65,-,1.86,8.38,11.17,-,2.79
103學年,南投縣,93.02,43.59,35.07,7.79,3.65,-,-,-,-,0.49,-,0.24,0.73,0.97,-,0.49
103學年,雲林縣,293.61,110.01,120.85,25.56,16.27,-,-,-,-,2.32,-,0.77,6.97,7.75,-,3.10
103學年,嘉義縣,164.95,75.12,65.14,12.08,5.25,-,-,-,0.53,1.58,-,-,2.10,2.10,-,1.05
103學年,屏東縣,197.43,103.04,60.17,12.61,6.85,-,-,0.36,-,1.44,-,0.36,5.04,6.12,-,1.44
103學年,臺東縣,70.83,34.14,25.89,6.26,2.56,-,-,0.28,-,0.28,-,0.28,0.85,0.28,-,-
103學年,花蓮縣,62.22,28.52,22.25,4.97,2.81,-,-,-,0.65,0.43,-,0.22,0.65,1.30,-,0.43
103學年,澎湖縣,646.36,181.30,315.30,110.35,15.76,-,-,-,-,7.88,-,-,7.88,7.88,-,-
103學年,基隆市,1438.70,775.84,323.90,82.86,90.39,-,-,-,15.06,7.53,-,7.53,52.73,52.73,-,30.13
103學年,新竹市,2246.70,1574.61,307.24,124.82,115.22,-,-,-,-,57.61,-,-,38.41,9.60,-,19.20
103學年,嘉義市,2099.10,1249.47,333.19,133.28,233.23,-,-,16.66,16.66,16.66,-,16.66,16.66,49.98,-,16.66
103學年,金門縣,336.29,158.25,125.28,32.97,13.19,-,-,-,-,6.59,-,-,-,-,-,-
103學年,連江縣,694.44,208.33,277.78,173.61,34.72,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,315.72,181.27,73.22,20.39,-,9.51,4.28,0.39,0.69,3.37,0.08,0.77,7.32,5.61,6.16,2.65
102學年,新北市,796.08,558.81,104.26,31.18,-,20.46,7.80,0.49,2.92,5.36,0.97,0.49,26.31,14.62,15.10,7.31
102學年,臺北市,3991.91,2604.86,559.24,228.11,-,183.96,62.55,7.36,11.04,77.26,3.68,14.72,58.87,44.15,88.30,47.83
102學年,臺中市,514.25,305.66,105.65,32.51,-,17.61,4.06,-,-,7.68,-,1.81,14.00,10.84,9.93,4.51
102學年,臺南市,432.55,250.04,96.27,27.38,-,14.60,7.30,0.91,0.46,5.93,-,0.91,9.58,5.93,10.49,2.74
102學年,高雄市,406.77,242.57,81.76,27.14,-,11.53,6.11,1.02,0.68,4.75,-,1.36,9.50,9.84,6.45,4.07
102學年,宜蘭縣,117.56,51.78,35.92,11.66,-,2.80,2.33,0.47,0.47,0.93,-,0.47,4.66,1.87,3.27,0.93
102學年,桃園縣,715.83,424.26,155.62,46.68,-,21.29,5.73,0.82,0.82,8.19,-,0.82,17.20,13.92,13.92,6.55
102學年,新竹縣,247.28,149.21,59.54,20.31,-,5.60,0.70,-,-,1.40,-,0.70,2.80,1.40,4.20,1.40
102學年,苗栗縣,204.36,96.69,66.47,15.93,-,6.59,3.85,0.55,0.55,1.10,-,0.55,6.04,1.10,3.85,1.10
102學年,彰化縣,566.83,305.29,162.88,33.51,-,12.10,10.24,-,-,4.65,-,1.86,8.38,11.17,13.96,2.79
102學年,南投縣,95.46,43.83,35.31,7.79,-,2.19,1.46,-,-,0.49,-,0.24,0.73,1.22,1.70,0.49
102學年,雲林縣,299.03,109.23,120.85,25.56,-,10.07,5.42,-,-,2.32,-,0.77,8.52,8.52,4.65,3.10
102學年,嘉義縣,170.73,78.80,65.14,12.08,-,3.15,2.10,-,0.53,1.58,-,-,2.63,2.10,1.58,1.05
102學年,屏東縣,205.36,105.92,60.53,12.61,-,4.32,2.88,0.36,1.08,1.44,-,0.36,5.04,5.76,2.88,2.16
102學年,臺東縣,72.54,34.42,25.89,6.26,-,1.42,1.14,0.28,-,0.28,-,0.28,1.14,0.28,1.14,-
102學年,花蓮縣,63.95,28.73,22.47,4.97,-,1.73,1.08,-,0.65,0.43,-,0.22,0.65,1.30,1.30,0.43
102學年,澎湖縣,662.13,181.30,315.30,110.35,-,7.88,7.88,-,-,7.88,-,-,15.76,15.76,-,-
102學年,基隆市,1536.62,790.91,323.90,82.86,-,60.26,30.13,-,15.06,7.53,-,7.53,82.86,67.79,37.66,30.13
102學年,新竹市,2304.31,1555.41,307.24,124.82,-,96.01,19.20,-,-,57.61,-,-,57.61,9.60,57.61,19.20
102學年,嘉義市,2249.04,1299.45,333.19,133.28,-,133.28,99.96,16.66,16.66,16.66,-,16.66,16.66,49.98,99.96,16.66
102學年,金門縣,349.48,164.85,125.28,32.97,-,6.59,6.59,-,-,6.59,-,-,-,-,6.59,-
102學年,連江縣,729.17,243.06,277.78,173.61,-,34.72,-,-,-,-,-,-,-,-,-,-
101學年,總計,317.66,182.68,73.42,20.45,-,9.39,4.28,0.39,0.77,3.32,0.08,0.75,7.65,5.64,6.19,2.65
101學年,新北市,803.38,565.15,103.77,32.15,-,19.49,7.80,0.49,2.92,5.36,0.97,0.49,27.28,15.10,15.10,7.31
101學年,臺北市,4039.74,2660.05,562.91,228.11,-,183.96,62.55,7.36,14.72,77.26,3.68,14.72,58.87,44.15,73.58,47.83
101學年,臺中市,513.34,304.75,105.20,32.06,-,17.61,4.06,-,-,7.68,-,1.81,14.00,11.29,10.38,4.51
101學年,臺南市,437.57,253.69,96.27,27.38,-,15.06,7.30,0.91,0.91,5.48,-,0.91,10.04,5.93,10.95,2.74
101學年,高雄市,407.45,243.25,81.76,26.80,-,11.53,6.11,1.02,1.02,4.41,-,1.36,9.84,9.84,6.45,4.07
101學年,宜蘭縣,118.49,52.71,35.92,11.66,-,2.80,2.33,0.47,0.47,0.93,-,0.47,4.66,1.87,3.27,0.93
101學年,桃園縣,715.01,422.62,156.44,46.68,-,21.29,5.73,0.82,0.82,8.19,-,0.82,16.38,13.92,14.74,6.55
101學年,新竹縣,244.48,146.41,59.54,20.31,-,5.60,0.70,-,-,1.40,-,0.70,2.80,1.40,4.20,1.40
101學年,苗栗縣,207.66,99.43,66.47,17.03,-,5.49,3.85,0.55,0.55,1.10,-,0.55,6.59,1.10,3.85,1.10
101學年,彰化縣,569.62,308.08,162.88,34.44,-,11.17,10.24,-,-,4.65,-,1.86,8.38,11.17,13.96,2.79
101學年,南投縣,96.92,44.56,36.28,7.79,-,2.19,1.46,-,-,0.49,-,-,0.73,1.22,1.70,0.49
101學年,雲林縣,297.48,107.68,120.85,24.79,-,10.07,5.42,-,-,2.32,-,0.77,9.30,7.75,5.42,3.10
101學年,嘉義縣,172.83,80.37,65.14,12.08,-,3.15,2.10,-,0.53,1.58,-,-,3.15,2.10,1.58,1.05
101學年,屏東縣,206.80,106.28,60.53,12.61,-,4.32,2.88,0.36,1.08,1.44,-,0.36,6.12,5.76,2.88,2.16
101學年,臺東縣,73.96,35.27,26.17,6.26,-,1.42,1.14,0.28,-,0.28,-,0.28,1.42,0.28,1.14,-
101學年,花蓮縣,64.38,28.52,22.90,4.97,-,1.73,1.08,-,0.65,0.43,-,0.22,0.65,1.30,1.51,0.43
101學年,澎湖縣,670.01,181.30,315.30,110.35,-,7.88,7.88,-,-,7.88,-,-,23.65,15.76,-,-
101學年,基隆市,1536.62,783.37,323.90,82.86,-,60.26,30.13,-,15.06,7.53,-,7.53,90.39,67.79,37.66,30.13
101學年,新竹市,2333.12,1584.21,307.24,124.82,-,96.01,19.20,-,-,57.61,-,-,57.61,9.60,57.61,19.20
101學年,嘉義市,2282.36,1332.76,333.19,133.28,-,133.28,99.96,16.66,16.66,16.66,-,16.66,16.66,49.98,99.96,16.66
101學年,金門縣,349.48,164.85,125.28,32.97,-,6.59,6.59,-,-,6.59,-,-,-,-,6.59,-
101學年,連江縣,729.17,243.06,277.78,173.61,-,34.72,-,-,-,-,-,-,-,-,-,-
100學年,總計,223.82,88.28,73.47,20.50,-,9.28,4.28,0.41,0.88,3.21,0.06,0.75,7.93,5.89,6.22,2.65
100學年,新北市,414.60,177.34,103.29,32.15,-,19.00,7.80,0.49,3.41,4.87,0.49,0.49,27.77,15.10,15.10,7.31
100學年,臺北市,2483.45,1103.75,562.91,228.11,-,183.96,62.55,7.36,18.40,73.58,3.68,14.72,58.87,44.15,73.58,47.83
100學年,臺中市,331.39,121.90,105.65,32.51,-,17.16,4.06,0.45,0.45,7.22,-,1.81,14.00,11.29,10.38,4.51
100學年,臺南市,330.34,144.64,96.27,27.38,-,15.06,7.30,0.91,0.91,5.48,-,0.91,10.49,6.84,11.41,2.74
100學年,高雄市,294.48,128.58,81.76,26.80,-,11.53,6.11,1.02,1.02,4.41,-,1.36,11.20,10.18,6.45,4.07
100學年,宜蘭縣,91.43,26.12,35.92,11.66,-,2.80,2.33,0.47,0.47,0.93,-,0.47,4.66,1.87,2.80,0.93
100學年,桃園縣,546.29,253.08,155.62,46.68,-,20.48,5.73,0.82,0.82,8.19,-,0.82,17.20,14.74,15.56,6.55
100學年,新竹縣,171.62,72.85,60.24,20.31,-,5.60,0.70,-,0.70,0.70,-,0.70,2.80,1.40,4.20,1.40
100學年,苗栗縣,160.41,51.64,66.47,17.03,-,5.49,3.85,0.55,0.55,1.10,-,0.55,7.14,1.10,3.85,1.10
100學年,彰化縣,380.68,118.21,162.88,34.44,-,11.17,10.24,-,-,4.65,-,1.86,8.38,12.10,13.96,2.79
100學年,南投縣,79.14,26.54,36.28,7.79,-,2.19,1.46,-,-,0.49,-,-,0.73,1.46,1.70,0.49
100學年,雲林縣,265.72,75.92,120.85,24.79,-,10.07,5.42,-,-,2.32,-,0.77,9.30,7.75,5.42,3.10
100學年,嘉義縣,154.97,61.99,65.66,12.08,-,3.15,2.10,-,0.53,1.58,-,-,3.15,2.10,1.58,1.05
100學年,屏東縣,152.04,51.52,60.53,12.61,-,4.32,2.88,0.36,1.08,1.44,-,0.36,6.12,5.76,2.88,2.16
100學年,臺東縣,67.14,28.16,26.17,6.26,-,1.42,1.14,0.28,-,0.28,-,0.28,1.42,0.57,1.14,-
100學年,花蓮縣,56.60,20.74,22.90,4.97,-,1.73,1.08,-,0.65,0.43,-,0.22,0.65,1.30,1.51,0.43
100學年,澎湖縣,638.48,118.24,323.18,110.35,-,7.88,7.88,-,-,7.88,-,-,39.41,23.65,-,-
100學年,基隆市,1167.53,406.75,323.90,90.39,-,52.73,30.13,-,15.06,7.53,-,7.53,90.39,75.32,37.66,30.13
100學年,新竹市,1430.59,681.69,307.24,124.82,-,96.01,19.20,-,-,57.61,-,-,57.61,9.60,57.61,19.20
100學年,嘉義市,1749.25,799.66,333.19,133.28,-,133.28,99.96,16.66,16.66,16.66,-,16.66,16.66,49.98,99.96,16.66
100學年,金門縣,309.91,125.28,125.28,32.97,-,6.59,6.59,-,-,6.59,-,-,-,-,6.59,-
100學年,連江縣,659.72,173.61,277.78,173.61,-,34.72,-,-,-,-,-,-,-,-,-,-
99學年,總計,226.48,90.72,73.53,20.45,-,9.26,4.31,0.41,0.99,3.09,0.06,0.66,8.12,6.05,6.16,2.65
99學年,臺北市,2516.56,1136.87,562.91,228.11,-,183.96,62.55,7.36,18.40,73.58,3.68,14.72,58.87,44.15,73.58,47.83
99學年,高雄市,2480.59,1113.33,572.94,234.39,-,130.21,65.11,6.51,6.51,45.58,-,19.53,136.73,65.11,71.62,13.02
99學年,臺北縣,415.58,180.26,102.31,31.18,-,19.00,7.80,0.49,3.41,4.87,0.49,0.49,27.28,15.59,15.10,7.31
99學年,宜蘭縣,90.97,25.66,35.92,11.66,-,2.80,2.33,0.47,0.47,0.93,-,0.47,4.66,1.87,2.80,0.93
99學年,桃園縣,542.20,248.17,155.62,45.87,-,20.48,5.73,0.82,1.64,7.37,-,0.82,18.84,14.74,15.56,6.55
99學年,新竹縣,180.03,82.66,58.84,20.31,-,5.60,0.70,-,0.70,0.70,-,-,3.50,1.40,4.20,1.40
99學年,苗栗縣,164.81,56.58,66.47,16.48,-,5.49,3.85,0.55,0.55,1.10,-,0.55,7.14,1.10,3.85,1.10
99學年,臺中縣,217.89,69.71,80.92,22.91,-,11.21,2.44,-,0.49,2.44,-,0.97,10.72,7.31,6.82,1.95
99學年,彰化縣,384.40,121.93,162.88,35.37,-,10.24,10.24,-,0.93,3.72,-,1.86,7.45,13.03,13.96,2.79
99學年,南投縣,79.14,26.06,36.28,7.79,-,2.19,1.46,-,-,0.49,-,-,1.22,1.46,1.70,0.49
99學年,雲林縣,282.76,90.64,122.40,24.79,-,10.07,5.42,-,-,2.32,-,0.77,8.52,9.30,5.42,3.10
99學年,嘉義縣,160.74,66.71,66.71,12.08,-,3.15,2.10,-,0.53,1.58,-,-,3.15,2.10,1.58,1.05
99學年,臺南縣,258.43,112.60,80.85,20.83,-,8.93,5.46,0.50,0.50,4.46,-,0.50,8.43,4.46,7.94,2.98
99學年,高雄縣,177.97,76.99,54.79,15.40,-,5.01,2.86,0.72,0.72,2.15,-,0.36,5.37,7.52,2.51,3.58
99學年,屏東縣,151.32,51.16,60.17,12.61,-,4.32,2.88,0.36,1.08,1.44,-,-,6.49,5.76,2.88,2.16
99學年,臺東縣,67.14,28.45,26.17,6.26,-,1.42,1.14,0.28,-,0.28,-,-,1.42,0.57,1.14,-
99學年,花蓮縣,57.69,21.39,23.12,4.97,-,1.73,1.30,-,0.65,0.43,-,0.22,0.65,1.30,1.51,0.43
99學年,澎湖縣,654.24,126.12,323.18,110.35,-,7.88,7.88,-,-,7.88,-,-,47.29,23.65,-,-
99學年,基隆市,1197.66,429.35,323.90,97.92,-,52.73,30.13,-,15.06,7.53,-,7.53,90.39,75.32,37.66,30.13
99學年,新竹市,1488.20,729.70,307.24,124.82,-,96.01,19.20,-,-,57.61,-,-,57.61,19.20,57.61,19.20
99學年,臺中市,1786.75,807.71,422.21,152.97,-,91.78,24.48,6.12,12.24,55.07,-,12.24,55.07,61.19,48.95,36.71
99學年,嘉義市,1765.91,816.32,333.19,133.28,-,133.28,99.96,16.66,16.66,16.66,-,16.66,16.66,49.98,99.96,16.66
99學年,臺南市,1172.82,518.09,278.97,102.48,-,85.40,28.47,5.69,5.69,17.08,-,5.69,34.16,34.16,56.93,-
99學年,金門縣,303.32,125.28,125.28,32.97,-,6.59,6.59,-,-,6.59,-,-,-,-,-,-
99學年,連江縣,694.44,208.33,277.78,173.61,-,34.72,-,-,-,-,-,-,-,-,-,-
98學年,總計,222.72,87.15,73.45,20.45,-,9.12,4.31,0.41,1.22,2.90,-,0.66,8.21,6.27,6.16,2.40
98學年,臺北市,2527.60,1155.26,562.91,228.11,-,183.96,62.55,7.36,22.08,69.90,-,14.72,58.87,44.15,69.90,47.83
98學年,高雄市,2467.57,1093.80,572.94,234.39,-,130.21,65.11,6.51,13.02,39.06,-,19.53,136.73,71.62,71.62,13.02
98學年,臺北縣,402.42,169.06,101.82,31.18,-,19.00,7.80,0.49,3.90,4.87,-,0.49,27.77,15.59,14.62,5.85
98學年,宜蘭縣,91.43,26.12,35.92,11.66,-,2.80,2.33,0.47,0.47,0.93,-,0.47,4.66,1.87,2.80,0.93
98學年,桃園縣,525.00,235.06,154.80,45.87,-,19.66,5.73,0.82,1.64,7.37,-,0.82,18.84,14.74,15.56,4.10
98學年,新竹縣,168.82,71.45,58.84,20.31,-,5.60,0.70,-,0.70,0.70,-,-,3.50,1.40,4.20,1.40
98學年,苗栗縣,165.91,57.68,66.47,16.48,-,5.49,3.85,0.55,0.55,1.10,-,0.55,7.14,1.10,3.85,1.10
98學年,臺中縣,213.51,65.81,80.92,22.42,-,10.72,2.44,-,0.49,2.44,-,0.97,10.72,7.31,7.31,1.95
98學年,彰化縣,376.03,108.90,162.88,36.30,-,9.31,10.24,-,0.93,3.72,-,1.86,12.10,13.03,13.96,2.79
98學年,南投縣,78.66,25.33,36.28,7.79,-,2.19,1.46,-,-,0.49,-,-,1.22,1.70,1.70,0.49
98學年,雲林縣,272.69,80.57,122.40,24.79,-,10.07,5.42,-,0.77,1.55,-,0.77,8.52,10.07,5.42,2.32
98學年,嘉義縣,156.54,61.46,66.71,12.08,-,3.15,2.10,-,1.05,1.05,-,-,3.15,3.15,1.58,1.05
98學年,臺南縣,256.45,110.61,80.85,20.83,-,8.93,5.46,0.50,0.99,3.97,-,0.50,8.43,4.96,7.94,2.48
98學年,高雄縣,176.89,75.20,54.79,15.40,-,5.01,2.86,0.72,0.72,2.15,-,0.36,5.73,7.52,2.86,3.58
98學年,屏東縣,151.32,50.44,60.17,12.97,-,3.96,2.88,0.36,1.44,1.08,-,-,6.85,6.12,2.88,2.16
98學年,臺東縣,64.86,27.59,26.17,6.26,-,1.42,1.14,0.28,-,0.28,-,-,0.28,0.57,0.85,-
98學年,花蓮縣,57.25,21.17,23.12,4.97,-,1.51,1.30,-,0.65,0.43,-,0.22,0.65,1.30,1.51,0.43
98學年,澎湖縣,654.24,126.12,323.18,110.35,-,7.88,7.88,-,-,7.88,-,-,39.41,31.53,-,-
98學年,基隆市,1182.59,414.28,323.90,97.92,-,52.73,30.13,-,15.06,7.53,-,7.53,90.39,75.32,37.66,30.13
98學年,新竹市,1469.00,710.50,307.24,124.82,-,96.01,19.20,-,-,57.61,-,-,57.61,19.20,57.61,19.20
98學年,臺中市,1719.44,758.76,416.09,146.86,-,91.78,24.48,6.12,12.24,55.07,-,12.24,55.07,61.19,48.95,30.59
98學年,嘉義市,1749.25,799.66,333.19,133.28,-,133.28,99.96,16.66,16.66,16.66,-,16.66,16.66,49.98,99.96,16.66
