學年別,年齡別,二專總計,二專男,二專女,二技總計,二技男,二技女,學士班總計,學士班男,學士班女
100學年,22至未滿23歲,171,80,91,47,14,33,182,94,88
100學年,23至未滿24歲,170,67,103,63,12,51,209,86,123
100學年,24至未滿25歲,165,76,89,75,30,45,207,108,99
100學年,25至未滿26歲,197,84,113,89,39,50,204,91,113
100學年,26至未滿27歲,238,101,137,117,43,74,243,131,112
100學年,27至未滿28歲,299,140,159,218,77,141,224,110,114
100學年,28至未滿29歲,341,150,191,214,76,138,267,143,124
100學年,29至未滿30歲,424,181,243,250,89,161,289,150,139
100學年,30歲以上,3971,1329,2642,2948,949,1999,13003,4653,8350
99學年,總計,7449,2943,4506,4659,1326,3333,16726,6534,10192
99學年,未滿16歲,-,-,-,-,-,-,-,-,-
99學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
99學年,17至未滿18歲,1,-,1,-,-,-,-,-,-
99學年,18至未滿19歲,58,18,40,-,-,-,-,-,-
99學年,19至未滿20歲,114,61,53,-,-,-,-,-,-
99學年,20至未滿21歲,159,79,80,8,2,6,63,17,46
99學年,21至未滿22歲,203,93,110,28,4,24,149,56,93
99學年,22至未滿23歲,219,97,122,62,13,49,165,64,101
99學年,23至未滿24歲,198,90,108,99,23,76,178,79,99
99學年,24至未滿25歲,198,99,99,138,39,99,217,96,121
99學年,25至未滿26歲,235,111,124,157,36,121,256,124,132
99學年,26至未滿27歲,279,130,149,164,54,110,237,117,120
99學年,27至未滿28歲,324,157,167,205,59,146,288,127,161
99學年,28至未滿29歲,379,181,198,247,83,164,304,149,155
99學年,29至未滿30歲,420,183,237,288,94,194,323,155,168
99學年,30歲以上,4662,1644,3018,3263,919,2344,14546,5550,8996
98學年,總計,8727,3687,5040,5296,1442,3854,16029,5803,10226
98學年,未滿16歲,-,-,-,-,-,-,-,-,-
98學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
98學年,17至未滿18歲,1,-,1,-,-,-,-,-,-
98學年,18至未滿19歲,65,29,36,-,-,-,-,-,-
98學年,19至未滿20歲,186,89,97,-,-,-,-,-,-
98學年,20至未滿21歲,163,80,83,11,1,10,60,14,46
98學年,21至未滿22歲,204,85,119,32,5,27,100,33,67
98學年,22至未滿23歲,221,103,118,50,13,37,107,45,62
98學年,23至未滿24歲,208,91,117,96,22,74,143,56,87
98學年,24至未滿25歲,244,115,129,134,40,94,225,89,136
98學年,25至未滿26歲,307,146,161,162,42,120,196,86,110
98學年,26至未滿27歲,316,157,159,176,41,135,234,98,136
98學年,27至未滿28歲,339,182,157,217,67,150,270,107,163
98學年,28至未滿29歲,382,166,216,240,60,180,264,122,142
98學年,29至未滿30歲,376,164,212,251,65,186,289,138,151
98學年,30歲以上,5715,2280,3435,3927,1086,2841,14141,5015,9126
97學年,總計,10389,4947,5442,5831,1477,4354,16751,5521,11230
97學年,未滿16歲,-,-,-,-,-,-,-,-,-
97學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
97學年,17至未滿18歲,1,1,-,-,-,-,-,-,-
97學年,18至未滿19歲,93,43,50,-,-,-,-,-,-
97學年,19至未滿20歲,142,58,84,-,-,-,10,4,6
97學年,20至未滿21歲,163,75,88,6,2,4,66,15,51
97學年,21至未滿22歲,188,81,107,29,8,21,100,38,62
97學年,22至未滿23歲,203,87,116,40,14,26,158,50,108
97學年,23至未滿24歲,224,86,138,85,23,62,203,83,120
97學年,24至未滿25歲,263,127,136,157,44,113,190,79,111
97學年,25至未滿26歲,353,158,195,183,39,144,235,82,153
97學年,26至未滿27歲,386,176,210,252,61,191,234,82,152
97學年,27至未滿28歲,391,178,213,256,69,187,243,98,145
97學年,28至未滿29歲,414,174,240,316,90,226,252,112,140
97學年,29至未滿30歲,410,200,210,341,96,245,291,113,178
97學年,30歲以上,7158,3503,3655,4166,1031,3135,14769,4765,10004
""
