學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計4年級計,總計4年級男,總計4年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立4年級計,國立4年級男,國立4年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級計,直轄市立4年級男,直轄市立4年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立4年級計,縣市立4年級男,縣市立4年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立4年級計,私立4年級男,私立4年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,彰化縣,18398,10719,7679,5724,3403,2321,6331,3739,2592,6337,3573,2764,-,-,-,6,4,2,6143,3324,2819,11635,6985,4650,4089,2468,1621,3933,2414,1519,3607,2099,1508,-,-,-,6,4,2,3638,2048,1590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6763,3734,3029,1635,935,700,2398,1325,1073,2730,1474,1256,-,-,-,-,-,-,2505,1276,1229
106學年,南投縣,8302,4361,3941,2734,1462,1272,2737,1424,1313,2802,1457,1345,-,-,-,29,18,11,2367,1230,1137,6114,3251,2863,2023,1093,930,2022,1071,951,2040,1069,971,-,-,-,29,18,11,1767,915,852,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2188,1110,1078,711,369,342,715,353,362,762,388,374,-,-,-,-,-,-,600,315,285
106學年,雲林縣,8666,5205,3461,2623,1592,1031,3059,1847,1212,2973,1756,1217,-,-,-,11,10,1,2855,1672,1183,5218,3048,2170,1801,1062,739,1838,1071,767,1568,905,663,-,-,-,11,10,1,1619,956,663,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3448,2157,1291,822,530,292,1221,776,445,1405,851,554,-,-,-,-,-,-,1236,716,520
106學年,嘉義縣,4964,3324,1640,1672,1122,550,1657,1100,557,1630,1098,532,-,-,-,5,4,1,1423,916,507,1773,1478,295,603,506,97,569,478,91,601,494,107,-,-,-,-,-,-,528,443,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3191,1846,1345,1069,616,453,1088,622,466,1029,604,425,-,-,-,5,4,1,895,473,422
106學年,屏東縣,9114,5966,3148,2826,1879,947,3021,1946,1075,3252,2127,1125,-,-,-,15,14,1,2713,1712,1001,5287,3719,1568,1759,1280,479,1752,1208,544,1761,1217,544,-,-,-,15,14,1,1496,1058,438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3827,2247,1580,1067,599,468,1269,738,531,1491,910,581,-,-,-,-,-,-,1217,654,563
106學年,臺東縣,2543,1711,832,920,622,298,792,521,271,787,531,256,-,-,-,44,37,7,598,354,244,1560,952,608,563,354,209,481,283,198,473,279,194,-,-,-,43,36,7,308,172,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,983,759,224,357,268,89,311,238,73,314,252,62,-,-,-,1,1,-,290,182,108
106學年,花蓮縣,3875,2236,1639,1343,798,545,1263,699,564,1254,724,530,-,-,-,15,15,-,1145,692,453,3571,2042,1529,1241,727,514,1167,642,525,1148,658,490,-,-,-,15,15,-,1013,601,412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,19,5,-,5,7,-,7,7,-,7,-,-,-,-,-,-,3,-,3,285,194,91,97,71,26,89,57,32,99,66,33,-,-,-,-,-,-,129,91,38
106學年,澎湖縣,1588,909,679,496,281,215,569,325,244,514,296,218,-,-,-,9,7,2,425,236,189,1588,909,679,496,281,215,569,325,244,514,296,218,-,-,-,9,7,2,425,236,189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,5852,3356,2496,1722,1039,683,1973,1125,848,2157,1192,965,-,-,-,-,-,-,1845,1019,826,2361,1461,900,849,548,301,761,475,286,751,438,313,-,-,-,-,-,-,688,388,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3491,1895,1596,873,491,382,1212,650,562,1406,754,652,-,-,-,-,-,-,1157,631,526
106學年,新竹市,5680,3288,2392,1905,1125,780,1935,1109,826,1838,1053,785,-,-,-,2,1,1,1798,1007,791,1729,997,732,588,347,241,574,312,262,567,338,229,-,-,-,-,-,-,567,330,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,366,167,199,125,54,71,127,61,66,114,52,62,-,-,-,-,-,-,123,53,70,3585,2124,1461,1192,724,468,1234,736,498,1157,663,494,-,-,-,2,1,1,1108,624,484
106學年,嘉義市,8940,4037,4903,2918,1342,1576,3009,1351,1658,3004,1335,1669,-,-,-,9,9,-,2757,1206,1551,4840,2220,2620,1634,768,866,1609,731,878,1588,712,876,-,-,-,9,9,-,1521,631,890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4100,1817,2283,1284,574,710,1400,620,780,1416,623,793,-,-,-,-,-,-,1236,575,661
106學年,金門縣,1005,621,384,321,198,123,354,222,132,327,199,128,-,-,-,3,2,1,241,134,107,1005,621,384,321,198,123,354,222,132,327,199,128,-,-,-,3,2,1,241,134,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,332184,188184,144000,114635,65386,49249,111819,63334,48485,104863,58801,46062,133,54,79,734,609,125,103398,56668,46730,93671,56459,37212,32405,19538,12867,30581,18363,12218,30344,18272,12072,-,-,-,341,286,55,30216,17295,12921,34601,22817,11784,11714,7707,4007,11239,7426,3813,11548,7587,3961,-,-,-,100,97,3,10994,6825,4169,796,339,457,358,158,200,234,97,137,200,82,118,-,-,-,4,2,2,192,71,121,203116,108569,94547,70158,37983,32175,69765,37448,32317,62771,32860,29911,133,54,79,289,224,65,61996,32477,29519
105學年,新北市,39875,22216,17659,13751,7634,6117,13297,7421,5876,12601,7024,5577,133,54,79,93,83,10,12320,6536,5784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10306,7002,3304,3449,2309,1140,3203,2156,1047,3590,2476,1114,-,-,-,64,61,3,3131,1993,1138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29569,15214,14355,10302,5325,4977,10094,5265,4829,9011,4548,4463,133,54,79,29,22,7,9189,4543,4646
105學年,臺北市,37749,21343,16406,12950,7394,5556,12778,7221,5557,11899,6619,5280,-,-,-,122,109,13,12226,6665,5561,444,144,300,157,53,104,150,51,99,137,40,97,-,-,-,-,-,-,132,40,92,13835,9725,4110,4589,3270,1319,4539,3221,1318,4673,3200,1473,-,-,-,34,34,-,4769,3126,1643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23470,11474,11996,8204,4071,4133,8089,3949,4140,7089,3379,3710,-,-,-,88,75,13,7325,3499,3826
105學年,桃園市,36600,20093,16507,12976,7245,5731,12103,6541,5562,11487,6282,5205,-,-,-,34,25,9,10880,5673,5207,5792,3388,2404,1963,1147,816,1884,1086,798,1922,1133,789,-,-,-,23,22,1,1837,963,874,1101,446,655,371,166,205,361,131,230,368,148,220,-,-,-,1,1,-,351,127,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29707,16259,13448,10642,5932,4710,9858,5324,4534,9197,5001,4196,-,-,-,10,2,8,8692,4583,4109
105學年,臺中市,54626,29818,24808,18482,10133,8349,18250,9984,8266,17690,9537,8153,-,-,-,204,164,40,16926,9108,7818,13778,8885,4893,4654,2990,1664,4498,2898,1600,4582,2957,1625,-,-,-,44,40,4,4819,2997,1822,294,112,182,157,64,93,67,22,45,70,26,44,-,-,-,-,-,-,80,33,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40554,20821,19733,13671,7079,6592,13685,7064,6621,13038,6554,6484,-,-,-,160,124,36,12027,6078,5949
105學年,臺南市,23331,13492,9839,7909,4602,3307,8001,4644,3357,7406,4232,3174,-,-,-,15,14,1,7780,4471,3309,11490,7214,4276,4049,2519,1530,3710,2368,1342,3716,2313,1403,-,-,-,15,14,1,3887,2311,1576,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11841,6278,5563,3860,2083,1777,4291,2276,2015,3690,1919,1771,-,-,-,-,-,-,3893,2160,1733
105學年,高雄市,39310,22753,16557,13752,8031,5721,13520,7895,5625,12034,6823,5211,-,-,-,4,4,-,12021,6712,5309,5292,3136,2156,1794,1045,749,1774,1064,710,1721,1024,697,-,-,-,3,3,-,1674,916,758,9065,5532,3533,3148,1898,1250,3069,1896,1173,2847,1737,1110,-,-,-,1,1,-,2663,1546,1117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24953,14085,10868,8810,5088,3722,8677,4935,3742,7466,4062,3404,-,-,-,-,-,-,7684,4250,3434
105學年,宜蘭縣,4743,3069,1674,1659,1084,575,1546,997,549,1526,978,548,-,-,-,12,10,2,1527,962,565,4743,3069,1674,1659,1084,575,1546,997,549,1526,978,548,-,-,-,12,10,2,1527,962,565,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,5565,3367,2198,1978,1171,807,1916,1171,745,1666,1023,643,-,-,-,5,2,3,1641,970,671,789,402,387,269,138,131,258,129,129,262,135,127,-,-,-,-,-,-,257,135,122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227,91,136,76,32,44,74,29,45,73,28,45,-,-,-,4,2,2,73,22,51,4549,2874,1675,1633,1001,632,1584,1013,571,1331,860,471,-,-,-,1,-,1,1311,813,498
105學年,苗栗縣,8037,4596,3441,2820,1568,1252,2676,1545,1131,2512,1456,1056,-,-,-,29,27,2,2558,1395,1163,4618,2592,2026,1547,848,699,1509,848,661,1533,869,664,-,-,-,29,27,2,1554,806,748,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177,77,100,143,63,80,34,14,20,-,-,-,-,-,-,-,-,-,-,-,-,3242,1927,1315,1130,657,473,1133,683,450,979,587,392,-,-,-,-,-,-,1004,589,415
105學年,彰化縣,19434,11109,8325,6566,3893,2673,6456,3664,2792,6361,3507,2854,-,-,-,51,45,6,6431,3532,2899,11466,6804,4662,4003,2461,1542,3634,2122,1512,3778,2176,1602,-,-,-,51,45,6,3742,2094,1648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7968,4305,3663,2563,1432,1131,2822,1542,1280,2583,1331,1252,-,-,-,-,-,-,2689,1438,1251
105學年,南投縣,8426,4459,3967,2932,1536,1396,2876,1504,1372,2574,1395,1179,-,-,-,44,24,20,2538,1327,1211,6133,3273,2860,2096,1117,979,2077,1092,985,1916,1040,876,-,-,-,44,24,20,1950,1026,924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2293,1186,1107,836,419,417,799,412,387,658,355,303,-,-,-,-,-,-,588,301,287
105學年,雲林縣,9369,5620,3749,3267,1995,1272,3083,1834,1249,3008,1782,1226,-,-,-,11,9,2,2901,1695,1206,5188,3055,2133,1895,1104,791,1588,918,670,1694,1024,670,-,-,-,11,9,2,1688,990,698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4181,2565,1616,1372,891,481,1495,916,579,1314,758,556,-,-,-,-,-,-,1213,705,508
105學年,嘉義縣,4953,3284,1669,1731,1164,567,1699,1142,557,1523,978,545,-,-,-,-,-,-,1783,1231,552,1743,1459,284,571,483,88,607,499,108,565,477,88,-,-,-,-,-,-,587,505,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3210,1825,1385,1160,681,479,1092,643,449,958,501,457,-,-,-,-,-,-,1196,726,470
105學年,屏東縣,9664,6291,3373,3205,2069,1136,3388,2215,1173,3047,1985,1062,-,-,-,24,22,2,2938,1814,1124,5373,3772,1601,1842,1270,572,1802,1249,553,1705,1231,474,-,-,-,24,22,2,1575,1080,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4291,2519,1772,1363,799,564,1586,966,620,1342,754,588,-,-,-,-,-,-,1363,734,629
105學年,臺東縣,2519,1680,839,923,623,300,834,565,269,728,464,264,-,-,-,34,28,6,537,368,169,1496,915,581,566,347,219,505,301,204,391,239,152,-,-,-,34,28,6,242,152,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1023,765,258,357,276,81,329,264,65,337,225,112,-,-,-,-,-,-,295,216,79
105學年,花蓮縣,4074,2405,1669,1424,820,604,1318,766,552,1304,796,508,-,-,-,28,23,5,1146,676,470,3687,2166,1521,1310,756,554,1203,696,507,1146,691,455,-,-,-,28,23,5,1052,607,445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,21,10,-,10,8,-,8,3,-,3,-,-,-,-,-,-,1,-,1,366,239,127,104,64,40,107,70,37,155,105,50,-,-,-,-,-,-,93,69,24
105學年,澎湖縣,1668,969,699,617,360,257,549,319,230,494,283,211,-,-,-,8,7,1,446,226,220,1668,969,699,617,360,257,549,319,230,494,283,211,-,-,-,8,7,1,446,226,220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,6395,3621,2774,2098,1203,895,2258,1258,1000,2039,1160,879,-,-,-,-,-,-,1830,970,860,2397,1445,952,793,500,293,778,461,317,826,484,342,-,-,-,-,-,-,734,363,371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3998,2176,1822,1305,703,602,1480,797,683,1213,676,537,-,-,-,-,-,-,1096,607,489
105學年,新竹市,5783,3333,2450,2038,1189,849,1877,1080,797,1863,1062,801,-,-,-,5,2,3,1717,932,785,1734,1003,731,581,318,263,571,342,229,578,342,236,-,-,-,4,1,3,573,325,248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,371,171,200,129,63,66,118,54,64,124,54,70,-,-,-,-,-,-,118,49,69,3678,2159,1519,1328,808,520,1188,684,504,1161,666,495,-,-,-,1,1,-,1026,558,468
105學年,嘉義市,9047,4035,5012,3186,1432,1754,3058,1365,1693,2795,1230,1565,-,-,-,8,8,-,3024,1283,1741,4824,2137,2687,1668,758,910,1602,720,882,1546,651,895,-,-,-,8,8,-,1712,675,1037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4223,1898,2325,1518,674,844,1456,645,811,1249,579,670,-,-,-,-,-,-,1312,608,704
105學年,金門縣,1016,631,385,371,240,131,336,203,133,306,185,121,-,-,-,3,3,-,228,122,106,1016,631,385,371,240,131,336,203,133,306,185,121,-,-,-,3,3,-,228,122,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,337354,191058,146296,118966,68155,50811,108522,61276,47246,108685,60848,47837,657,320,337,524,459,65,112454,60913,51541,94600,56660,37940,31576,19118,12458,30927,18707,12220,31902,18659,13243,-,-,-,195,176,19,30740,17555,13185,35486,23221,12265,11592,7694,3898,11741,7732,4009,11571,7471,4100,511,256,255,71,68,3,11061,6943,4118,631,261,370,238,104,134,197,82,115,193,74,119,-,-,-,3,1,2,185,72,113,206637,110916,95721,75560,41239,34321,65657,34755,30902,65019,34644,30375,146,64,82,255,214,41,70468,36343,34125
104學年,新北市,41358,23079,18279,14669,8290,6379,13221,7393,5828,13245,7258,5987,146,64,82,77,74,3,13416,7226,6190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10502,7107,3395,3315,2236,1079,3634,2505,1129,3492,2306,1186,-,-,-,61,60,1,3236,2072,1164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30856,15972,14884,11354,6054,5300,9587,4888,4699,9753,4952,4801,146,64,82,16,14,2,10180,5154,5026
