學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,彰化縣,3397,2251,1146,1278,904,374,1034,681,353,1085,666,419,-,-,-,876,574,302,2829,1901,928,1003,726,277,855,572,283,971,603,368,-,-,-,791,516,275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,139,102,125,75,50,97,57,40,19,7,12,-,-,-,1,-,1,327,211,116,150,103,47,82,52,30,95,56,39,-,-,-,84,58,26
106學年,南投縣,679,440,239,256,179,77,204,130,74,219,131,88,-,-,-,219,116,103,648,422,226,256,179,77,204,130,74,188,113,75,-,-,-,187,98,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,18,13,-,-,-,-,-,-,31,18,13,-,-,-,32,18,14
106學年,雲林縣,667,462,205,238,179,59,235,165,70,194,118,76,-,-,-,200,121,79,246,155,91,106,78,28,70,43,27,70,34,36,-,-,-,66,34,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,9,6,421,307,114,132,101,31,165,122,43,124,84,40,-,-,-,119,78,41
106學年,嘉義縣,502,290,212,168,100,68,163,95,68,171,95,76,-,-,-,142,96,46,132,97,35,40,29,11,40,29,11,52,39,13,-,-,-,26,19,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370,193,177,128,71,57,123,66,57,119,56,63,-,-,-,116,77,39
106學年,屏東縣,1105,671,434,416,274,142,347,208,139,342,189,153,-,-,-,346,196,150,343,259,84,145,116,29,101,77,24,97,66,31,-,-,-,121,93,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,762,412,350,271,158,113,246,131,115,245,123,122,-,-,-,225,103,122
106學年,臺東縣,257,134,123,94,53,41,116,61,55,47,20,27,-,-,-,83,44,39,257,134,123,94,53,41,116,61,55,47,20,27,-,-,-,83,44,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,538,338,200,186,105,81,171,118,53,181,115,66,-,-,-,178,118,60,335,206,129,117,64,53,104,74,30,114,68,46,-,-,-,110,73,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,132,71,69,41,28,67,44,23,67,47,20,-,-,-,68,45,23
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,437,234,203,141,77,64,150,81,69,146,76,70,-,-,-,164,80,84,319,166,153,114,63,51,107,51,56,98,52,46,-,-,-,116,57,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,68,50,27,14,13,43,30,13,48,24,24,-,-,-,48,23,25
106學年,新竹市,1518,894,624,522,331,191,516,294,222,480,269,211,-,-,-,451,272,179,401,254,147,171,112,59,121,70,51,109,72,37,-,-,-,93,58,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,33,9,20,17,3,17,12,5,5,4,1,-,-,-,10,5,5,1075,607,468,331,202,129,378,212,166,366,193,173,-,-,-,348,209,139
106學年,嘉義市,693,440,253,212,139,73,255,166,89,226,135,91,-,-,-,244,151,93,341,232,109,111,76,35,122,87,35,108,69,39,-,-,-,116,83,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,352,208,144,101,63,38,133,79,54,118,66,52,-,-,-,128,68,60
106學年,金門縣,52,32,20,28,15,13,-,-,-,24,17,7,-,-,-,12,6,6,52,32,20,28,15,13,-,-,-,24,17,7,-,-,-,12,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,47321,27919,19402,16418,9997,6421,15464,8996,6468,15439,8926,6513,-,-,-,16629,9608,7021,12845,8235,4610,5292,3573,1719,4025,2498,1527,3528,2164,1364,-,-,-,4209,2476,1733,5095,3186,1909,1905,1239,666,1568,972,596,1622,975,647,-,-,-,1949,1160,789,273,171,102,138,85,53,99,61,38,36,25,11,-,-,-,29,16,13,29108,16327,12781,9083,5100,3983,9772,5465,4307,10253,5762,4491,-,-,-,10442,5956,4486
105學年,新北市,6119,3290,2829,2169,1188,981,1943,1055,888,2007,1047,960,-,-,-,2221,1219,1002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2532,1560,972,982,627,355,775,479,296,775,454,321,-,-,-,843,469,374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3587,1730,1857,1187,561,626,1168,576,592,1232,593,639,-,-,-,1378,750,628
105學年,臺北市,6294,3213,3081,1776,898,878,2118,1075,1043,2400,1240,1160,-,-,-,2541,1327,1214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,21,50,1437,968,469,504,356,148,433,281,152,500,331,169,-,-,-,663,430,233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4857,2245,2612,1272,542,730,1685,794,891,1900,909,991,-,-,-,1807,876,931
105學年,桃園市,7041,4478,2563,2279,1472,807,2393,1504,889,2369,1502,867,-,-,-,2397,1453,944,1046,763,283,438,331,107,290,221,69,318,211,107,-,-,-,331,204,127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5995,3715,2280,1841,1141,700,2103,1283,820,2051,1291,760,-,-,-,2066,1249,817
105學年,臺中市,7160,4510,2650,2492,1630,862,2329,1479,850,2339,1401,938,-,-,-,2601,1562,1039,2366,1553,813,1004,704,300,756,487,269,606,362,244,-,-,-,771,482,289,50,34,16,28,19,9,14,10,4,8,5,3,-,-,-,12,5,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4744,2923,1821,1460,907,553,1559,982,577,1725,1034,691,-,-,-,1818,1075,743
105學年,臺南市,2700,1593,1107,971,582,389,886,521,365,843,490,353,-,-,-,845,524,321,1168,708,460,463,307,156,401,224,177,304,177,127,-,-,-,380,205,175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1532,885,647,508,275,233,485,297,188,539,313,226,-,-,-,465,319,146
105學年,高雄市,4136,2332,1804,1437,828,609,1303,726,577,1396,778,618,-,-,-,1506,869,637,703,396,307,339,188,151,186,98,88,178,110,68,-,-,-,216,116,100,1076,624,452,391,237,154,346,202,144,339,185,154,-,-,-,431,256,175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2357,1312,1045,707,403,304,771,426,345,879,483,396,-,-,-,859,497,362
105學年,宜蘭縣,607,370,237,269,176,93,168,97,71,170,97,73,-,-,-,223,117,106,592,368,224,269,176,93,153,95,58,170,97,73,-,-,-,223,117,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,2,13,-,-,-,15,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,1392,856,536,540,351,189,446,264,182,406,241,165,-,-,-,429,261,168,160,81,79,71,42,29,46,22,24,43,17,26,-,-,-,49,24,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1232,775,457,469,309,160,400,242,158,363,224,139,-,-,-,380,237,143
105學年,苗栗縣,1124,564,560,344,155,189,376,195,181,404,214,190,-,-,-,421,211,210,276,123,153,113,50,63,83,43,40,80,30,50,-,-,-,63,25,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,848,441,407,231,105,126,293,152,141,324,184,140,-,-,-,358,186,172
105學年,彰化縣,3684,2448,1236,1517,1043,474,1246,796,450,921,609,312,-,-,-,1114,689,425,3095,2062,1033,1219,854,365,1053,668,385,823,540,283,-,-,-,1005,615,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202,133,69,114,69,45,79,56,23,9,8,1,-,-,-,-,-,-,387,253,134,184,120,64,114,72,42,89,61,28,-,-,-,109,74,35
105學年,南投縣,791,491,300,311,217,94,242,144,98,238,130,108,-,-,-,293,166,127,727,454,273,311,217,94,208,123,85,208,114,94,-,-,-,259,147,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,37,27,-,-,-,34,21,13,30,16,14,-,-,-,34,19,15
105學年,雲林縣,658,427,231,242,170,72,199,118,81,217,139,78,-,-,-,236,144,92,235,135,100,80,52,28,83,43,40,72,40,32,-,-,-,76,46,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,10,5,-,-,-,-,-,-,15,10,5,-,-,-,19,10,9,408,282,126,162,118,44,116,75,41,130,89,41,-,-,-,141,88,53
105學年,嘉義縣,483,300,183,163,104,59,176,101,75,144,95,49,-,-,-,121,73,48,136,101,35,54,42,12,55,41,14,27,18,9,-,-,-,43,25,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,347,199,148,109,62,47,121,60,61,117,77,40,-,-,-,78,48,30
105學年,屏東縣,1206,729,477,475,317,158,363,204,159,368,208,160,-,-,-,408,246,162,435,331,104,188,151,37,118,81,37,129,99,30,-,-,-,143,102,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,771,398,373,287,166,121,245,123,122,239,109,130,-,-,-,265,144,121
105學年,臺東縣,303,158,145,131,63,68,82,44,38,90,51,39,-,-,-,82,46,36,303,158,145,131,63,68,82,44,38,90,51,39,-,-,-,82,46,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,598,379,219,204,134,70,210,125,85,184,120,64,-,-,-,176,106,70,375,235,140,123,82,41,136,79,57,116,74,42,-,-,-,114,63,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,144,79,81,52,29,74,46,28,68,46,22,-,-,-,62,43,19
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,535,286,249,208,120,88,147,76,71,180,90,90,-,-,-,194,99,95,393,208,185,170,95,75,98,50,48,125,63,62,-,-,-,136,67,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142,78,64,38,25,13,49,26,23,55,27,28,-,-,-,58,32,26
105學年,新竹市,1677,990,687,620,373,247,556,307,249,501,310,191,-,-,-,565,314,251,412,277,135,179,123,56,128,86,42,105,68,37,-,-,-,121,76,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,26,15,24,16,8,5,3,2,12,7,5,-,-,-,10,6,4,1224,687,537,417,234,183,423,218,205,384,235,149,-,-,-,434,232,202
105學年,嘉義市,777,482,295,270,176,94,257,148,109,250,158,92,-,-,-,243,177,66,387,259,128,140,96,44,125,76,49,122,87,35,-,-,-,113,90,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,390,223,167,130,80,50,132,72,60,128,71,57,-,-,-,130,87,43
105學年,金門縣,36,23,13,-,-,-,24,17,7,12,6,6,-,-,-,13,5,8,36,23,13,-,-,-,24,17,7,12,6,6,-,-,-,13,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,52349,30997,21352,17861,10875,6986,16919,9932,6987,17569,10190,7379,-,-,-,19062,10770,8292,14439,9140,5299,5796,3875,1921,4250,2674,1576,4393,2591,1802,-,-,-,4912,2770,2142,5858,3633,2225,2030,1312,718,1821,1121,700,2007,1200,807,-,-,-,1509,904,605,91,43,48,38,13,25,25,15,10,28,15,13,-,-,-,49,19,30,31961,18181,13780,9997,5675,4322,10823,6122,4701,11141,6384,4757,-,-,-,12592,7077,5515
104學年,新北市,6816,3737,3079,2277,1273,1004,2215,1184,1031,2324,1280,1044,-,-,-,2573,1391,1182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2688,1629,1059,995,651,344,850,507,343,843,471,372,-,-,-,880,482,398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4128,2108,2020,1282,622,660,1365,677,688,1481,809,672,-,-,-,1693,909,784
104學年,臺北市,7152,3694,3458,2022,1008,1014,2391,1265,1126,2739,1421,1318,-,-,-,2650,1401,1249,71,21,50,-,-,-,-,-,-,71,21,50,-,-,-,110,42,68,1791,1175,616,525,337,188,562,384,178,704,454,250,-,-,-,213,190,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5290,2498,2792,1497,671,826,1829,881,948,1964,946,1018,-,-,-,2327,1169,1158
104學年,桃園市,7623,4855,2768,2579,1691,888,2555,1653,902,2489,1511,978,-,-,-,2766,1634,1132,1158,840,318,438,355,83,381,277,104,339,208,131,-,-,-,352,223,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6465,4015,2450,2141,1336,805,2174,1376,798,2150,1303,847,-,-,-,2414,1411,1003
104學年,臺中市,7885,4925,2960,2637,1753,884,2567,1559,1008,2681,1613,1068,-,-,-,3147,1784,1363,2501,1620,881,998,690,308,705,432,273,798,498,300,-,-,-,865,480,385,40,24,16,19,14,5,9,5,4,12,5,7,-,-,-,14,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5344,3281,2063,1620,1049,571,1853,1122,731,1871,1110,761,-,-,-,2268,1298,970
104學年,臺南市,2813,1702,1111,1012,610,402,912,539,373,889,553,336,-,-,-,982,572,410,1315,772,543,554,337,217,356,213,143,405,222,183,-,-,-,471,262,209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1498,930,568,458,273,185,556,326,230,484,331,153,-,-,-,511,310,201
104學年,高雄市,4915,2850,2065,1661,993,668,1543,859,684,1711,998,713,-,-,-,1644,889,755,730,420,310,313,180,133,197,121,76,220,119,101,-,-,-,264,132,132,1339,805,534,491,310,181,400,225,175,448,270,178,-,-,-,402,226,176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2846,1625,1221,857,503,354,946,513,433,1043,609,434,-,-,-,978,531,447
104學年,宜蘭縣,732,430,302,280,174,106,223,136,87,229,120,109,-,-,-,309,170,139,712,428,284,260,172,88,223,136,87,229,120,109,-,-,-,295,167,128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,2,18,20,2,18,-,-,-,-,-,-,-,-,-,14,3,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,1436,860,576,528,321,207,458,267,191,450,272,178,-,-,-,548,330,218,161,70,91,60,26,34,50,20,30,51,24,27,-,-,-,61,28,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1275,790,485,468,295,173,408,247,161,399,248,151,-,-,-,487,302,185
104學年,苗栗縣,1247,660,587,406,217,189,429,218,211,412,225,187,-,-,-,474,236,238,281,133,148,117,69,48,99,40,59,65,24,41,-,-,-,115,50,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,966,527,439,289,148,141,330,178,152,347,201,146,-,-,-,359,186,173
104學年,彰化縣,3975,2599,1376,1683,1132,551,1120,740,380,1172,727,445,-,-,-,1283,745,538,3570,2353,1217,1498,1031,467,1025,678,347,1047,644,403,-,-,-,1088,620,468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,405,246,159,185,101,84,95,62,33,125,83,42,-,-,-,195,125,70
104學年,南投縣,960,565,395,387,247,140,273,148,125,300,170,130,-,-,-,347,210,137,850,510,340,349,228,121,235,131,104,266,151,115,-,-,-,298,176,122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,55,55,38,19,19,38,17,21,34,19,15,-,-,-,49,34,15
104學年,雲林縣,698,421,277,241,141,100,217,129,88,240,151,89,-,-,-,235,141,94,278,154,124,119,64,55,82,43,39,77,47,30,-,-,-,105,55,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,20,14,-,-,-,15,10,5,19,10,9,-,-,-,17,7,10,386,247,139,122,77,45,120,76,44,144,94,50,-,-,-,113,79,34
104學年,嘉義縣,460,290,170,174,108,66,159,107,52,127,75,52,-,-,-,102,64,38,138,96,42,62,48,14,32,22,10,44,26,18,-,-,-,33,18,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,322,194,128,112,60,52,127,85,42,83,49,34,-,-,-,69,46,23
104學年,屏東縣,1299,778,521,440,265,175,423,244,179,436,269,167,-,-,-,467,299,168,486,355,131,174,127,47,161,120,41,151,108,43,-,-,-,140,104,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,813,423,390,266,138,128,262,124,138,285,161,124,-,-,-,327,195,132
104學年,臺東縣,329,190,139,106,56,50,127,78,49,96,56,40,-,-,-,84,45,39,329,190,139,106,56,50,127,78,49,96,56,40,-,-,-,84,45,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
