學年別,學歷別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
104學年,博士,931,519,412,19,11,8,578,313,265,323,189,134,11,6,5,344,176,168,-,-,-,236,116,120,107,59,48,1,1,-
104學年,其他,24,6,18,-,-,-,10,1,9,9,3,6,5,2,3,14,5,9,-,-,-,6,2,4,8,3,5,-,-,-
103學年,總計,98580,29083,69497,726,168,558,52708,14616,38092,43308,13960,29348,1838,339,1499,52154,16378,35776,-,-,-,28585,8415,20170,23031,7735,15296,538,228,310
103學年,專科,633,227,406,2,-,2,344,120,224,241,103,138,46,4,42,79,24,55,-,-,-,24,7,17,55,17,38,-,-,-
103學年,學士,50762,12500,38262,309,63,246,27185,6185,21000,22089,6044,16045,1179,208,971,28528,8389,20139,-,-,-,15554,4252,11302,12637,4007,8630,337,130,207
103學年,碩士,46353,15896,30457,402,98,304,24731,8075,16656,20619,7601,13018,601,122,479,23141,7776,15365,-,-,-,12732,4039,8693,10211,3641,6570,198,96,102
103學年,博士,789,445,344,13,7,6,433,231,202,333,203,130,10,4,6,380,178,202,-,-,-,266,114,152,111,62,49,3,2,1
103學年,其他,43,15,28,-,-,-,15,5,10,26,9,17,2,1,1,26,11,15,-,-,-,9,3,6,17,8,9,-,-,-
102學年,總計,97436,29178,68258,718,167,551,52350,14686,37664,42635,13997,28638,1733,328,1405,52451,16563,35888,-,-,-,28890,8518,20372,23042,7820,15222,519,225,294
102學年,專科,797,294,503,1,-,1,423,145,278,328,145,183,45,4,41,83,29,54,-,-,-,39,12,27,44,17,27,-,-,-
102學年,學士,53797,13497,40300,337,67,270,28868,6729,22139,23442,6489,16953,1150,212,938,30805,9168,21637,-,-,-,16961,4679,12282,13518,4364,9154,326,125,201
102學年,碩士,41940,14938,27002,370,96,274,22544,7582,14962,18495,7151,11344,531,109,422,21194,7186,14008,-,-,-,11675,3729,7946,9328,3359,5969,191,98,93
102學年,博士,723,391,332,10,4,6,423,202,221,285,183,102,5,2,3,272,147,125,-,-,-,172,86,86,98,59,39,2,2,-
102學年,其他,179,58,121,-,-,-,92,28,64,85,29,56,2,1,1,97,33,64,-,-,-,43,12,31,54,21,33,-,-,-
101學年,總計,97466,29626,67840,727,158,569,52982,15024,37958,42084,14123,27961,1673,321,1352,51872,16474,35398,-,-,-,28665,8467,20198,22652,7762,14890,555,245,310
101學年,專科,940,328,612,4,-,4,555,173,382,333,153,180,48,2,46,123,41,82,-,-,-,41,14,27,82,27,55,-,-,-
101學年,學士,57503,14858,42645,369,70,299,31091,7455,23636,24901,7128,17773,1142,205,937,32116,9662,22454,-,-,-,17713,4935,12778,14031,4577,9454,372,150,222
101學年,碩士,38220,14050,24170,345,84,261,20865,7178,13687,16534,6677,9857,476,111,365,19199,6598,12601,-,-,-,10633,3419,7214,8387,3086,5301,179,93,86
101學年,博士,565,332,233,9,4,5,324,183,141,226,142,84,6,3,3,208,112,96,-,-,-,136,70,66,68,40,28,4,2,2
101學年,其他,238,58,180,-,-,-,147,35,112,90,23,67,1,-,1,226,61,165,-,-,-,142,29,113,84,32,52,-,-,-
100學年,總計,98559,30233,68326,705,153,552,53812,15420,38392,42370,14355,28015,1672,305,1367,51200,16304,34896,-,-,-,28253,8350,19903,22413,7734,14679,534,220,314
100學年,專科,1175,418,757,4,1,3,702,211,491,415,203,212,54,3,51,111,43,68,-,-,-,41,16,25,70,27,43,-,-,-
100學年,學士,62765,16630,46135,380,72,308,33959,8344,25615,27244,8010,19234,1182,204,978,33926,10272,23654,-,-,-,18545,5186,13359,15009,4945,10064,372,141,231
100學年,碩士,34032,12842,21190,312,75,237,18782,6661,12121,14514,6013,8501,424,93,331,16859,5846,11013,-,-,-,9492,3063,6429,7205,2704,4501,162,79,83
100學年,博士,519,314,205,9,5,4,344,195,149,161,112,49,5,2,3,236,121,115,-,-,-,147,77,70,89,44,45,-,-,-
100學年,其他,68,29,39,-,-,-,25,9,16,36,17,19,7,3,4,68,22,46,-,-,-,28,8,20,40,14,26,-,-,-
99學年,總計,99562,30859,68703,709,155,554,15875,3982,11893,81313,26419,54894,1665,303,1362,51965,16582,35383,-,-,-,9005,2463,6542,42421,13884,28537,539,235,304
99學年,專科,1508,523,985,6,1,5,325,65,260,1105,450,655,72,7,65,145,43,102,-,-,-,19,5,14,124,38,86,2,-,2
99學年,學士,67939,18612,49327,429,84,345,9727,2124,7603,56565,16196,40369,1218,208,1010,36618,11182,25436,-,-,-,5989,1557,4432,30234,9464,20770,395,161,234
99學年,碩士,29626,11430,18196,268,67,201,5714,1732,3982,23276,9545,13731,368,86,282,14952,5248,9704,-,-,-,2891,869,2022,11919,4305,7614,142,74,68
99學年,博士,415,265,150,6,3,3,101,58,43,304,202,102,4,2,2,174,76,98,-,-,-,66,18,48,108,58,50,-,-,-
99學年,其他,74,29,45,-,-,-,8,3,5,63,26,37,3,-,3,76,33,43,-,-,-,40,14,26,36,19,17,-,-,-
98學年,總計,99155,31089,68066,673,141,532,16104,4058,12046,80780,26594,54186,1598,296,1302,51899,16672,35227,-,-,-,9017,2493,6524,42314,13932,28382,568,247,321
98學年,專科,1792,589,1203,9,2,7,402,76,326,1285,504,781,96,7,89,178,60,118,-,-,-,20,6,14,154,52,102,4,2,2
98學年,學士,71739,20112,51627,427,77,350,10512,2320,8192,59629,17503,42126,1171,212,959,38116,11682,26434,-,-,-,6269,1653,4616,31440,9870,21570,407,159,248
98學年,碩士,25208,10126,15082,235,61,174,5107,1607,3500,19543,8382,11161,323,76,247,13361,4815,8546,-,-,-,2675,810,1865,10531,3920,6611,155,85,70
98學年,博士,336,222,114,2,1,1,79,53,26,252,167,85,3,1,2,178,88,90,-,-,-,40,17,23,136,70,66,2,1,1
98學年,其他,80,40,40,-,-,-,4,2,2,71,38,33,5,-,5,66,27,39,-,-,-,13,7,6,53,20,33,-,-,-
97學年,總計,100206,31551,68655,679,144,535,16404,4111,12293,81558,27009,54549,1565,287,1278,51777,16693,35084,-,-,-,9005,2483,6522,42192,13946,28246,580,264,316
97學年,專科,2195,714,1481,22,4,18,452,86,366,1616,618,998,105,6,99,246,75,171,-,-,-,25,6,19,219,69,150,2,-,2
97學年,學士,76567,21928,54639,446,87,359,11449,2542,8907,63510,19077,44433,1162,222,940,39473,12207,27266,-,-,-,6596,1730,4866,32452,10295,22157,425,182,243
97學年,碩士,21127,8721,12406,209,52,157,4437,1440,2997,16197,7171,9026,284,58,226,11842,4322,7520,-,-,-,2356,735,1621,9336,3506,5830,150,81,69
97學年,博士,227,151,76,2,1,1,61,40,21,161,110,51,3,-,3,141,62,79,-,-,-,28,12,16,111,49,62,2,1,1
97學年,其他,90,37,53,-,-,-,5,3,2,74,33,41,11,1,10,75,27,48,-,-,-,-,-,-,74,27,47,1,-,1
""
