學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,副學士(五專)計小計,副學士(五專)計男,副學士(五專)計女,副學士(五專)國立小計,副學士(五專)國立男,副學士(五專)國立女,副學士(五專)直轄市立小計,副學士(五專)直轄市立男,副學士(五專)直轄市立女,副學士(五專)私立小計,副學士(五專)私立男,副學士(五專)私立女,副學士(二專)計小計,副學士(二專)計男,副學士(二專)計女,副學士(二專)國立小計,副學士(二專)國立男,副學士(二專)國立女,副學士(二專)直轄市立小計,副學士(二專)直轄市立男,副學士(二專)直轄市立女,副學士(二專)私立小計,副學士(二專)私立男,副學士(二專)私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女
104學年,新竹市,12906,7492,5414,7818,5082,2736,-,-,-,5088,2410,2678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7565,4009,3556,3234,1963,1271,-,-,-,4331,2046,2285,4828,3057,1771,4086,2704,1382,-,-,-,742,353,389,513,426,87,498,415,83,-,-,-,15,11,4
104學年,嘉義市,4126,1778,2348,2945,1458,1487,-,-,-,1181,320,861,563,68,495,-,-,-,-,-,-,563,68,495,26,3,23,-,-,-,-,-,-,26,3,23,2821,1366,1455,2229,1117,1112,-,-,-,592,249,343,694,333,361,694,333,361,-,-,-,-,-,-,22,8,14,22,8,14,-,-,-,-,-,-
104學年,金門縣,850,437,413,850,437,413,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,786,395,391,786,395,391,-,-,-,-,-,-,64,42,22,64,42,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,309849,148826,161023,105935,56529,49406,1578,603,975,202336,91694,110642,14414,2612,11802,1594,295,1299,-,-,-,12820,2317,10503,4428,2028,2400,949,353,596,-,-,-,3479,1675,1804,229546,109280,120266,63035,31929,31106,1004,428,576,165507,76923,88584,57461,32102,25359,37097,21618,15479,556,165,391,19808,10319,9489,4000,2804,1196,3260,2334,926,18,10,8,722,460,262
103學年,新北市,35788,16904,18884,3463,1225,2238,-,-,-,32325,15679,16646,1762,547,1215,-,-,-,-,-,-,1762,547,1215,884,445,439,-,-,-,-,-,-,884,445,439,29337,13971,15366,2625,871,1754,-,-,-,26712,13100,13612,3675,1863,1812,814,339,475,-,-,-,2861,1524,1337,130,78,52,24,15,9,-,-,-,106,63,43
103學年,臺北市,60897,27473,33424,27477,13827,13650,1578,603,975,31842,13043,18799,1629,282,1347,412,73,339,-,-,-,1217,209,1008,802,309,493,284,122,162,-,-,-,518,187,331,41566,17814,23752,14179,6525,7654,1004,428,576,26383,10861,15522,15497,8140,7357,11350,6274,5076,556,165,391,3591,1701,1890,1403,928,475,1252,833,419,18,10,8,133,85,48
103學年,桃園市,26565,13810,12755,3665,2439,1226,-,-,-,22900,11371,11529,1514,82,1432,-,-,-,-,-,-,1514,82,1432,240,144,96,-,-,-,-,-,-,240,144,96,19637,10294,9343,1677,1080,597,-,-,-,17960,9214,8746,4849,3036,1813,1799,1204,595,-,-,-,3050,1832,1218,325,254,71,189,155,34,-,-,-,136,99,37
103學年,臺中市,45028,20056,24972,12012,5743,6269,-,-,-,33016,14313,18703,973,173,800,668,106,562,-,-,-,305,67,238,415,137,278,277,54,223,-,-,-,138,83,55,36631,15895,20736,8104,3856,4248,-,-,-,28527,12039,16488,6627,3592,3035,2773,1593,1180,-,-,-,3854,1999,1855,382,259,123,190,134,56,-,-,-,192,125,67
103學年,臺南市,31189,15037,16152,7860,4298,3562,-,-,-,23329,10739,12590,1428,151,1277,333,13,320,-,-,-,1095,138,957,249,102,147,81,1,80,-,-,-,168,101,67,24234,11541,12693,3549,1886,1663,-,-,-,20685,9655,11030,4832,2900,1932,3464,2066,1398,-,-,-,1368,834,534,446,343,103,433,332,101,-,-,-,13,11,2
103學年,高雄市,34297,16604,17693,13754,7466,6288,-,-,-,20543,9138,11405,2676,501,2175,126,76,50,-,-,-,2550,425,2125,421,274,147,85,38,47,-,-,-,336,236,100,25204,12370,12834,9031,4670,4361,-,-,-,16173,7700,8473,5689,3254,2435,4273,2513,1760,-,-,-,1416,741,675,307,205,102,239,169,70,-,-,-,68,36,32
103學年,宜蘭縣,3222,1543,1679,1314,819,495,-,-,-,1908,724,1184,782,147,635,-,-,-,-,-,-,782,147,635,13,11,2,-,-,-,-,-,-,13,11,2,1896,1077,819,1059,643,416,-,-,-,837,434,403,523,306,217,254,176,78,-,-,-,269,130,139,8,2,6,1,-,1,-,-,-,7,2,5
103學年,新竹縣,3860,2228,1632,-,-,-,-,-,-,3860,2228,1632,130,61,69,-,-,-,-,-,-,130,61,69,127,58,69,-,-,-,-,-,-,127,58,69,3387,1957,1430,-,-,-,-,-,-,3387,1957,1430,216,152,64,-,-,-,-,-,-,216,152,64,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,5606,2497,3109,1809,1234,575,-,-,-,3797,1263,2534,976,185,791,-,-,-,-,-,-,976,185,791,450,108,342,-,-,-,-,-,-,450,108,342,3872,2013,1859,1631,1104,527,-,-,-,2241,909,1332,308,191,117,178,130,48,-,-,-,130,61,69,-,-,-,-,-,-,-,-,-,-,-,-
103學年,彰化縣,10135,5388,4747,2059,1053,1006,-,-,-,8076,4335,3741,-,-,-,-,-,-,-,-,-,-,-,-,56,44,12,-,-,-,-,-,-,56,44,12,7864,4280,3584,1142,577,565,-,-,-,6722,3703,3019,2129,1003,1126,868,441,427,-,-,-,1261,562,699,86,61,25,49,35,14,-,-,-,37,26,11
103學年,南投縣,2623,1506,1117,1377,662,715,-,-,-,1246,844,402,158,119,39,-,-,-,-,-,-,158,119,39,10,5,5,-,-,-,-,-,-,10,5,5,1890,1075,815,902,392,510,-,-,-,988,683,305,528,288,240,438,251,187,-,-,-,90,37,53,37,19,18,37,19,18,-,-,-,-,-,-
103學年,雲林縣,6500,3984,2516,5093,3353,1740,-,-,-,1407,631,776,-,-,-,-,-,-,-,-,-,-,-,-,160,71,89,-,-,-,-,-,-,160,71,89,4821,2886,1935,3621,2351,1270,-,-,-,1200,535,665,1460,987,473,1413,962,451,-,-,-,47,25,22,59,40,19,59,40,19,-,-,-,-,-,-
103學年,嘉義縣,6043,3325,2718,3102,1715,1387,-,-,-,2941,1610,1331,-,-,-,-,-,-,-,-,-,-,-,-,36,27,9,-,-,-,-,-,-,36,27,9,3915,2131,1784,1509,750,759,-,-,-,2406,1381,1025,2002,1102,900,1504,901,603,-,-,-,498,201,297,90,65,25,89,64,25,-,-,-,1,1,-
103學年,屏東縣,9735,3658,6077,4716,2069,2647,-,-,-,5019,1589,3430,1201,194,1007,-,-,-,-,-,-,1201,194,1007,178,80,98,-,-,-,-,-,-,178,80,98,6977,2718,4259,3553,1479,2074,-,-,-,3424,1239,2185,1349,646,703,1133,570,563,-,-,-,216,76,140,30,20,10,30,20,10,-,-,-,-,-,-
103學年,臺東縣,1366,700,666,1366,700,666,-,-,-,-,-,-,55,27,28,55,27,28,-,-,-,-,-,-,205,126,79,205,126,79,-,-,-,-,-,-,784,398,386,784,398,386,-,-,-,-,-,-,318,145,173,318,145,173,-,-,-,-,-,-,4,4,-,4,4,-,-,-,-,-,-,-
103學年,花蓮縣,4535,2077,2458,2295,1173,1122,-,-,-,2240,904,1336,237,28,209,-,-,-,-,-,-,237,28,209,121,60,61,-,-,-,-,-,-,121,60,61,3282,1501,1781,1527,737,790,-,-,-,1755,764,991,846,460,386,727,410,317,-,-,-,119,50,69,49,28,21,41,26,15,-,-,-,8,2,6
103學年,澎湖縣,706,384,322,706,384,322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,12,5,17,12,5,-,-,-,-,-,-,632,341,291,632,341,291,-,-,-,-,-,-,57,31,26,57,31,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,3468,1899,1569,2167,1530,637,-,-,-,1301,369,932,326,64,262,-,-,-,-,-,-,326,64,262,-,-,-,-,-,-,-,-,-,-,-,-,2290,1249,1041,1350,958,392,-,-,-,940,291,649,809,549,260,774,535,239,-,-,-,35,14,21,43,37,6,43,37,6,-,-,-,-,-,-
103學年,新竹市,13353,7658,5695,8003,5053,2950,-,-,-,5350,2605,2745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7868,4149,3719,3326,1934,1392,-,-,-,4542,2215,2327,4903,3060,1843,4116,2680,1436,-,-,-,787,380,407,582,449,133,561,439,122,-,-,-,21,10,11
103學年,嘉義市,4167,1697,2470,2931,1388,1543,-,-,-,1236,309,927,567,51,516,-,-,-,-,-,-,567,51,516,44,15,29,-,-,-,-,-,-,44,15,29,2756,1256,1500,2131,1013,1118,-,-,-,625,243,382,781,363,418,781,363,418,-,-,-,-,-,-,19,12,7,19,12,7,-,-,-,-,-,-
103學年,金門縣,766,398,368,766,398,368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,703,364,339,703,364,339,-,-,-,-,-,-,63,34,29,63,34,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,311041,151424,159617,107980,58617,49363,1568,613,955,201493,92194,109299,13340,2412,10928,1332,240,1092,-,-,-,12008,2172,9836,4900,2168,2732,848,271,577,-,-,-,4052,1897,2155,228762,109490,119272,63425,32647,30778,1018,421,597,164319,76422,87897,59991,34484,25507,39025,23051,15974,536,186,350,20430,11247,9183,4048,2870,1178,3350,2408,942,14,6,8,684,456,228
102學年,新北市,34216,16364,17852,3441,1330,2111,-,-,-,30775,15034,15741,1421,413,1008,-,-,-,-,-,-,1421,413,1008,783,346,437,-,-,-,-,-,-,783,346,437,28052,13467,14585,2576,936,1640,-,-,-,25476,12531,12945,3851,2075,1776,849,384,465,-,-,-,3002,1691,1311,109,63,46,16,10,6,-,-,-,93,53,40
102學年,臺北市,62746,29002,33744,27740,14111,13629,1568,613,955,33438,14278,19160,1566,346,1220,295,55,240,-,-,-,1271,291,980,960,369,591,143,33,110,-,-,-,817,336,481,42992,18753,24239,14364,6580,7784,1018,421,597,27610,11752,15858,15742,8541,7201,11598,6529,5069,536,186,350,3608,1826,1782,1486,993,493,1340,914,426,14,6,8,132,73,59
102學年,臺中市,44932,20552,24380,11940,5954,5986,-,-,-,32992,14598,18394,997,192,805,606,107,499,-,-,-,391,85,306,380,116,264,264,56,208,-,-,-,116,60,56,36130,16072,20058,7885,3897,3988,-,-,-,28245,12175,16070,7037,3899,3138,2990,1756,1234,-,-,-,4047,2143,1904,388,273,115,195,138,57,-,-,-,193,135,58
