學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,專科學校計小計,專科學校計男,專科學校計女,專科學校國立小計,專科學校國立男,專科學校國立女,專科學校直轄市立小計,專科學校直轄市立男,專科學校直轄市立女,專科學校私立小計,專科學校私立男,專科學校私立女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院國立小計,獨立學院國立男,獨立學院國立女,獨立學院直轄市立小計,獨立學院直轄市立男,獨立學院直轄市立女,獨立學院私立小計,獨立學院私立男,獨立學院私立女,大學計小計,大學計男,大學計女,大學國立小計,大學國立男,大學國立女,大學直轄市立小計,大學直轄市立男,大學直轄市立女,大學私立小計,大學私立男,大學私立女
105學年,嘉義縣,64,51,13,16,11,5,-,-,-,48,40,8,-,-,-,-,-,-,-,-,-,-,-,-,9,6,3,-,-,-,-,-,-,9,6,3,55,45,10,16,11,5,-,-,-,39,34,5
105學年,屏東縣,85,70,15,39,30,9,-,-,-,46,40,6,11,9,2,-,-,-,-,-,-,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,74,61,13,39,30,9,-,-,-,35,31,4
105學年,臺東縣,21,16,5,21,16,5,-,-,-,-,-,-,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,8,3,11,8,3,-,-,-,-,-,-
105學年,花蓮縣,68,46,22,14,9,5,-,-,-,54,37,17,-,-,-,-,-,-,-,-,-,-,-,-,22,16,6,-,-,-,-,-,-,22,16,6,46,30,16,14,9,5,-,-,-,32,21,11
105學年,澎湖縣,10,6,4,10,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,4,10,6,4,-,-,-,-,-,-
105學年,基隆市,37,26,11,13,11,2,-,-,-,24,15,9,-,-,-,-,-,-,-,-,-,-,-,-,24,15,9,-,-,-,-,-,-,24,15,9,13,11,2,13,11,2,-,-,-,-,-,-
105學年,新竹市,100,81,19,50,40,10,-,-,-,50,41,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,81,19,50,40,10,-,-,-,50,41,9
105學年,嘉義市,39,27,12,16,14,2,-,-,-,23,13,10,9,3,6,-,-,-,-,-,-,9,3,6,14,10,4,-,-,-,-,-,-,14,10,4,16,14,2,16,14,2,-,-,-,-,-,-
105學年,金門縣,15,13,2,15,13,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,13,2,15,13,2,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,2514,1925,589,827,615,212,17,13,4,1670,1297,373,129,85,44,21,14,7,-,-,-,108,71,37,227,176,51,10,6,4,-,-,-,217,170,47,2158,1664,494,796,595,201,17,13,4,1345,1056,289
104學年,新北市,285,218,67,29,19,10,-,-,-,256,199,57,11,4,7,-,-,-,-,-,-,11,4,7,71,57,14,-,-,-,-,-,-,71,57,14,203,157,46,29,19,10,-,-,-,174,138,36
104學年,臺北市,438,307,131,201,134,67,17,13,4,220,160,60,11,6,5,-,-,-,-,-,-,11,6,5,10,6,4,10,6,4,-,-,-,-,-,-,417,295,122,191,128,63,17,13,4,209,154,55
104學年,桃園市,178,140,38,27,22,5,-,-,-,151,118,33,12,10,2,-,-,-,-,-,-,12,10,2,12,9,3,-,-,-,-,-,-,12,9,3,154,121,33,27,22,5,-,-,-,127,99,28
104學年,臺中市,312,242,70,88,67,21,-,-,-,224,175,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312,242,70,88,67,21,-,-,-,224,175,49
104學年,臺南市,232,182,50,65,47,18,-,-,-,167,135,32,18,10,8,11,5,6,-,-,-,7,5,2,8,2,6,-,-,-,-,-,-,8,2,6,206,170,36,54,42,12,-,-,-,152,128,24
104學年,高雄市,302,230,72,117,88,29,-,-,-,185,142,43,29,21,8,-,-,-,-,-,-,29,21,8,29,24,5,-,-,-,-,-,-,29,24,5,244,185,59,117,88,29,-,-,-,127,97,30
104學年,宜蘭縣,49,42,7,13,12,1,-,-,-,36,30,6,10,8,2,-,-,-,-,-,-,10,8,2,14,13,1,-,-,-,-,-,-,14,13,1,25,21,4,13,12,1,-,-,-,12,9,3
104學年,新竹縣,28,22,6,-,-,-,-,-,-,28,22,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,22,6,-,-,-,-,-,-,28,22,6
104學年,苗栗縣,56,44,12,15,14,1,-,-,-,41,30,11,9,6,3,-,-,-,-,-,-,9,6,3,16,14,2,-,-,-,-,-,-,16,14,2,31,24,7,15,14,1,-,-,-,16,10,6
104學年,彰化縣,105,77,28,21,13,8,-,-,-,84,64,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,77,28,21,13,8,-,-,-,84,64,20
104學年,南投縣,37,30,7,17,11,6,-,-,-,20,19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,30,7,17,11,6,-,-,-,20,19,1
104學年,雲林縣,54,41,13,38,29,9,-,-,-,16,12,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,41,13,38,29,9,-,-,-,16,12,4
104學年,嘉義縣,68,54,14,19,12,7,-,-,-,49,42,7,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,-,-,-,-,-,-,11,9,2,57,45,12,19,12,7,-,-,-,38,33,5
104學年,屏東縣,87,75,12,39,33,6,-,-,-,48,42,6,10,8,2,-,-,-,-,-,-,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,77,67,10,39,33,6,-,-,-,38,34,4
104學年,臺東縣,21,18,3,21,18,3,-,-,-,-,-,-,10,9,1,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,11,9,2,-,-,-,-,-,-
104學年,花蓮縣,66,49,17,15,12,3,-,-,-,51,37,14,-,-,-,-,-,-,-,-,-,-,-,-,21,16,5,-,-,-,-,-,-,21,16,5,45,33,12,15,12,3,-,-,-,30,21,9
104學年,澎湖縣,10,6,4,10,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,4,10,6,4,-,-,-,-,-,-
104學年,基隆市,36,27,9,12,9,3,-,-,-,24,18,6,-,-,-,-,-,-,-,-,-,-,-,-,24,18,6,-,-,-,-,-,-,24,18,6,12,9,3,12,9,3,-,-,-,-,-,-
104學年,新竹市,100,85,15,50,44,6,-,-,-,50,41,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,85,15,50,44,6,-,-,-,50,41,9
104學年,嘉義市,36,24,12,16,13,3,-,-,-,20,11,9,9,3,6,-,-,-,-,-,-,9,3,6,11,8,3,-,-,-,-,-,-,11,8,3,16,13,3,16,13,3,-,-,-,-,-,-
104學年,金門縣,14,12,2,14,12,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,12,2,14,12,2,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,2563,1972,591,801,595,206,15,13,2,1747,1364,383,139,83,56,20,10,10,-,-,-,119,73,46,245,192,53,10,5,5,-,-,-,235,187,48,2179,1697,482,771,580,191,15,13,2,1393,1104,289
103學年,新北市,272,214,58,32,24,8,-,-,-,240,190,50,11,4,7,-,-,-,-,-,-,11,4,7,65,54,11,-,-,-,-,-,-,65,54,11,196,156,40,32,24,8,-,-,-,164,132,32
103學年,臺北市,434,312,122,187,127,60,15,13,2,232,172,60,22,10,12,-,-,-,-,-,-,22,10,12,23,17,6,10,5,5,-,-,-,13,12,1,389,285,104,177,122,55,15,13,2,197,150,47
103學年,臺中市,317,254,63,83,71,12,-,-,-,234,183,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317,254,63,83,71,12,-,-,-,234,183,51
103學年,臺南市,269,215,54,65,48,17,-,-,-,204,167,37,17,11,6,10,5,5,-,-,-,7,6,1,8,6,2,-,-,-,-,-,-,8,6,2,244,198,46,55,43,12,-,-,-,189,155,34
103學年,高雄市,318,247,71,122,94,28,-,-,-,196,153,43,29,23,6,-,-,-,-,-,-,29,23,6,24,18,6,-,-,-,-,-,-,24,18,6,265,206,59,122,94,28,-,-,-,143,112,31
103學年,宜蘭縣,50,37,13,13,8,5,-,-,-,37,29,8,11,6,5,-,-,-,-,-,-,11,6,5,14,14,-,-,-,-,-,-,-,14,14,-,25,17,8,13,8,5,-,-,-,12,9,3
103學年,桃園縣,185,143,42,24,16,8,-,-,-,161,127,34,10,6,4,-,-,-,-,-,-,10,6,4,16,13,3,-,-,-,-,-,-,16,13,3,159,124,35,24,16,8,-,-,-,135,108,27
103學年,新竹縣,32,24,8,-,-,-,-,-,-,32,24,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,24,8,-,-,-,-,-,-,32,24,8
103學年,苗栗縣,55,42,13,12,11,1,-,-,-,43,31,12,10,6,4,-,-,-,-,-,-,10,6,4,16,12,4,-,-,-,-,-,-,16,12,4,29,24,5,12,11,1,-,-,-,17,13,4
103學年,彰化縣,92,65,27,18,11,7,-,-,-,74,54,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,65,27,18,11,7,-,-,-,74,54,20
103學年,南投縣,38,32,6,18,12,6,-,-,-,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,32,6,18,12,6,-,-,-,20,20,-
103學年,雲林縣,59,41,18,39,29,10,-,-,-,20,12,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,41,18,39,29,10,-,-,-,20,12,8
103學年,嘉義縣,71,58,13,17,12,5,-,-,-,54,46,8,-,-,-,-,-,-,-,-,-,-,-,-,13,9,4,-,-,-,-,-,-,13,9,4,58,49,9,17,12,5,-,-,-,41,37,4
103學年,屏東縣,92,76,16,37,28,9,-,-,-,55,48,7,10,8,2,-,-,-,-,-,-,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,82,68,14,37,28,9,-,-,-,45,40,5
103學年,臺東縣,21,14,7,21,14,7,-,-,-,-,-,-,10,5,5,10,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,11,9,2,-,-,-,-,-,-
103學年,花蓮縣,64,49,15,13,9,4,-,-,-,51,40,11,-,-,-,-,-,-,-,-,-,-,-,-,32,26,6,-,-,-,-,-,-,32,26,6,32,23,9,13,9,4,-,-,-,19,14,5
103學年,澎湖縣,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,2,10,8,2,-,-,-,-,-,-
103學年,基隆市,36,26,10,15,11,4,-,-,-,21,15,6,-,-,-,-,-,-,-,-,-,-,-,-,21,15,6,-,-,-,-,-,-,21,15,6,15,11,4,15,11,4,-,-,-,-,-,-
103學年,新竹市,98,81,17,47,40,7,-,-,-,51,41,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,81,17,47,40,7,-,-,-,51,41,10
103學年,嘉義市,38,24,14,16,12,4,-,-,-,22,12,10,9,4,5,-,-,-,-,-,-,9,4,5,13,8,5,-,-,-,-,-,-,13,8,5,16,12,4,16,12,4,-,-,-,-,-,-
103學年,金門縣,12,10,2,12,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,10,2,12,10,2,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,2605,2033,572,844,633,211,14,11,3,1747,1389,358,142,85,57,24,12,12,-,-,-,118,73,45,314,257,57,35,24,11,-,-,-,279,233,46,2149,1691,458,785,597,188,14,11,3,1350,1083,267
102學年,新北市,254,203,51,30,24,6,-,-,-,224,179,45,11,5,6,-,-,-,-,-,-,11,5,6,73,61,12,-,-,-,-,-,-,73,61,12,170,137,33,30,24,6,-,-,-,140,113,27
102學年,臺北市,442,320,122,190,133,57,14,11,3,238,176,62,24,12,12,-,-,-,-,-,-,24,12,12,35,28,7,22,15,7,-,-,-,13,13,-,383,280,103,168,118,50,14,11,3,201,151,50
102學年,臺中市,305,243,62,84,72,12,-,-,-,221,171,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,243,62,84,72,12,-,-,-,221,171,50
102學年,臺南市,257,203,54,70,46,24,-,-,-,187,157,30,22,11,11,14,4,10,-,-,-,8,7,1,13,11,2,-,-,-,-,-,-,13,11,2,222,181,41,56,42,14,-,-,-,166,139,27
102學年,高雄市,312,245,67,119,94,25,-,-,-,193,151,42,28,18,10,-,-,-,-,-,-,28,18,10,26,22,4,-,-,-,-,-,-,26,22,4,258,205,53,119,94,25,-,-,-,139,111,28
102學年,宜蘭縣,51,38,13,15,10,5,-,-,-,36,28,8,11,7,4,-,-,-,-,-,-,11,7,4,13,12,1,-,-,-,-,-,-,13,12,1,27,19,8,15,10,5,-,-,-,12,9,3
102學年,桃園縣,191,155,36,24,16,8,-,-,-,167,139,28,8,5,3,-,-,-,-,-,-,8,5,3,16,14,2,-,-,-,-,-,-,16,14,2,167,136,31,24,16,8,-,-,-,143,120,23
102學年,新竹縣,29,23,6,-,-,-,-,-,-,29,23,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,23,6,-,-,-,-,-,-,29,23,6
102學年,苗栗縣,57,42,15,13,12,1,-,-,-,44,30,14,9,6,3,-,-,-,-,-,-,9,6,3,16,12,4,-,-,-,-,-,-,16,12,4,32,24,8,13,12,1,-,-,-,19,12,7
102學年,彰化縣,113,79,34,26,8,18,-,-,-,87,71,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,79,34,26,8,18,-,-,-,87,71,16
102學年,南投縣,36,30,6,18,13,5,-,-,-,18,17,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,30,6,18,13,5,-,-,-,18,17,1
102學年,雲林縣,77,62,15,54,47,7,-,-,-,23,15,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,62,15,54,47,7,-,-,-,23,15,8
102學年,嘉義縣,66,52,14,17,12,5,-,-,-,49,40,9,-,-,-,-,-,-,-,-,-,-,-,-,14,9,5,-,-,-,-,-,-,14,9,5,52,43,9,17,12,5,-,-,-,35,31,4
102學年,屏東縣,125,101,24,47,34,13,-,-,-,78,67,11,10,8,2,-,-,-,-,-,-,10,8,2,34,28,6,13,9,4,-,-,-,21,19,2,81,65,16,34,25,9,-,-,-,47,40,7
102學年,臺東縣,24,19,5,24,19,5,-,-,-,-,-,-,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,11,3,14,11,3,-,-,-,-,-,-
102學年,花蓮縣,67,54,13,13,10,3,-,-,-,54,44,10,-,-,-,-,-,-,-,-,-,-,-,-,34,29,5,-,-,-,-,-,-,34,29,5,33,25,8,13,10,3,-,-,-,20,15,5
102學年,澎湖縣,9,7,2,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,2,9,7,2,-,-,-,-,-,-
102學年,基隆市,41,31,10,12,9,3,-,-,-,29,22,7,-,-,-,-,-,-,-,-,-,-,-,-,29,22,7,-,-,-,-,-,-,29,22,7,12,9,3,12,9,3,-,-,-,-,-,-
102學年,新竹市,99,86,13,49,41,8,-,-,-,50,45,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,86,13,49,41,8,-,-,-,50,45,5
102學年,嘉義市,37,27,10,17,13,4,-,-,-,20,14,6,9,5,4,-,-,-,-,-,-,9,5,4,11,9,2,-,-,-,-,-,-,11,9,2,17,13,4,17,13,4,-,-,-,-,-,-
102學年,金門縣,13,13,-,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,13,13,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,2595,2047,548,820,634,186,25,14,11,1750,1399,351,137,82,55,22,14,8,-,-,-,115,68,47,380,302,78,35,24,11,12,6,6,333,272,61,2078,1663,415,763,596,167,13,8,5,1302,1059,243
101學年,新北市,255,205,50,30,25,5,-,-,-,225,180,45,10,3,7,-,-,-,-,-,-,10,3,7,74,64,10,-,-,-,-,-,-,74,64,10,171,138,33,30,25,5,-,-,-,141,113,28
101學年,臺北市,460,336,124,190,132,58,25,14,11,245,190,55,24,14,10,-,-,-,-,-,-,24,14,10,49,35,14,22,15,7,12,6,6,15,14,1,387,287,100,168,117,51,13,8,5,206,162,44
101學年,臺中市,312,253,59,86,73,13,-,-,-,226,180,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312,253,59,86,73,13,-,-,-,226,180,46
101學年,臺南市,259,207,52,74,56,18,-,-,-,185,151,34,19,12,7,12,6,6,-,-,-,7,6,1,23,20,3,-,-,-,-,-,-,23,20,3,217,175,42,62,50,12,-,-,-,155,125,30
101學年,高雄市,295,233,62,108,90,18,-,-,-,187,143,44,28,15,13,-,-,-,-,-,-,28,15,13,43,32,11,-,-,-,-,-,-,43,32,11,224,186,38,108,90,18,-,-,-,116,96,20
101學年,宜蘭縣,47,39,8,13,10,3,-,-,-,34,29,5,9,7,2,-,-,-,-,-,-,9,7,2,14,13,1,-,-,-,-,-,-,14,13,1,24,19,5,13,10,3,-,-,-,11,9,2
101學年,桃園縣,208,172,36,38,29,9,-,-,-,170,143,27,8,6,2,-,-,-,-,-,-,8,6,2,16,14,2,-,-,-,-,-,-,16,14,2,184,152,32,38,29,9,-,-,-,146,123,23
101學年,新竹縣,28,21,7,-,-,-,-,-,-,28,21,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,21,7,-,-,-,-,-,-,28,21,7
