學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
106學年,嘉義市,8,8,-,693,693,-,99,99,-,337,280,57,9996,7681,2315,3676,2838,838
106學年,金門縣,5,5,-,195,195,-,46,46,-,79,79,-,1948,1948,-,671,671,-
106學年,連江縣,5,5,-,56,56,-,27,27,-,18,18,-,227,227,-,88,88,-
105學年,總計,736,722,14,48063,47598,465,6645,6522,123,24637,22445,2192,687212,598062,89150,265886,234812,31074
105學年,新北市,62,62,-,6209,6209,-,639,639,-,3687,3308,379,106199,90504,15695,39815,34510,5305
105學年,臺北市,61,59,2,5179,5130,49,988,968,20,2576,2310,266,69178,58325,10853,26842,23218,3624
105學年,桃園市,59,57,2,5414,5392,22,638,619,19,2471,2302,169,70471,63148,7323,27044,24702,2342
105學年,臺中市,72,71,1,5776,5769,7,679,674,5,3077,2765,312,89408,75088,14320,35003,30051,4952
105學年,臺南市,60,58,2,3511,3452,59,473,461,12,1869,1612,257,53089,42891,10198,21204,17327,3877
105學年,高雄市,79,79,-,5557,5557,-,744,744,-,2764,2653,111,76167,72487,3680,30062,28550,1512
105學年,宜蘭縣,24,24,-,1208,1208,-,198,198,-,562,517,45,14783,12985,1798,5742,5108,634
105學年,新竹縣,29,28,1,1349,1331,18,195,190,5,660,600,60,18044,15724,2320,6762,5998,764
105學年,苗栗縣,30,30,-,1229,1229,-,152,152,-,637,594,43,16836,15143,1693,6389,5779,610
105學年,彰化縣,36,36,-,2610,2610,-,363,363,-,1369,1313,56,39679,36815,2864,15429,14538,891
105學年,南投縣,32,31,1,1323,1296,27,207,194,13,600,560,40,15716,14466,1250,6127,5666,461
105學年,雲林縣,33,30,3,1488,1285,203,266,236,30,787,607,180,22308,16110,6198,8661,6411,2250
105學年,嘉義縣,24,24,-,1043,1043,-,131,131,-,506,472,34,13153,11792,1361,5222,4724,498
105學年,屏東縣,35,34,1,1627,1558,69,223,212,11,886,830,56,24014,21816,2198,9415,8581,834
105學年,臺東縣,21,21,-,668,668,-,143,143,-,289,280,9,6682,6455,227,2406,2321,85
105學年,花蓮縣,23,23,-,915,915,-,159,159,-,404,371,33,10165,9073,1092,3693,3331,362
105學年,澎湖縣,14,14,-,290,290,-,50,50,-,115,115,-,2452,2452,-,982,982,-
105學年,基隆市,11,11,-,667,667,-,102,102,-,373,335,38,10279,8415,1864,4102,3453,649
105學年,新竹市,13,12,1,1024,1013,11,130,122,8,554,509,45,15683,13976,1707,5872,5320,552
105學年,嘉義市,8,8,-,721,721,-,90,90,-,352,293,59,10634,8125,2509,4280,3408,872
105學年,金門縣,5,5,-,199,199,-,48,48,-,81,81,-,2023,2023,-,764,764,-
105學年,連江縣,5,5,-,56,56,-,27,27,-,18,18,-,249,249,-,70,70,-
104學年,總計,733,720,13,50394,49929,465,6659,6543,116,26052,23811,2241,747724,655208,92516,276628,245604,31024
104學年,新北市,62,62,-,6531,6531,-,633,633,-,3896,3511,385,116039,99774,16265,41560,36101,5459
104學年,臺北市,61,59,2,5345,5296,49,995,976,19,2675,2408,267,75015,63960,11055,28131,24662,3469
104學年,桃園市,58,57,1,5516,5498,18,616,605,11,2592,2426,166,76299,69052,7247,27821,25530,2291
104學年,臺中市,72,71,1,6131,6123,8,695,688,7,3237,2928,309,97447,82683,14764,35715,30883,4832
104學年,臺南市,60,58,2,3742,3678,64,484,470,14,2025,1752,273,58160,47283,10877,22348,18380,3968
104學年,高雄市,79,79,-,5913,5913,-,733,733,-,2949,2832,117,83539,79421,4118,31806,30309,1497
104學年,宜蘭縣,24,24,-,1251,1251,-,202,202,-,598,548,50,16014,14107,1907,5897,5276,621
104學年,新竹縣,28,27,1,1395,1379,16,195,190,5,692,629,63,19150,16721,2429,6699,6023,676
104學年,苗栗縣,30,30,-,1292,1292,-,157,157,-,677,633,44,18268,16501,1767,6582,5961,621
104學年,彰化縣,36,36,-,2757,2757,-,374,374,-,1456,1402,54,42767,39926,2841,15947,15078,869
104學年,南投縣,32,31,1,1386,1360,26,215,204,11,644,598,46,17256,15894,1362,6474,5947,527
104學年,雲林縣,33,30,3,1582,1376,206,272,242,30,834,651,183,24178,17710,6468,9046,6780,2266
104學年,嘉義縣,23,23,-,1102,1102,-,128,128,-,527,492,35,14440,13032,1408,5220,4674,546
104學年,屏東縣,35,34,1,1720,1653,67,215,203,12,939,881,58,26193,23820,2373,10078,9215,863
104學年,臺東縣,21,21,-,692,692,-,141,141,-,302,293,9,7227,6980,247,2616,2536,80
104學年,花蓮縣,23,23,-,950,950,-,155,155,-,420,387,33,10861,9698,1163,3983,3614,369
104學年,澎湖縣,14,14,-,312,312,-,50,50,-,123,123,-,2670,2670,-,990,990,-
104學年,基隆市,11,11,-,713,713,-,108,108,-,409,369,40,11496,9578,1918,4569,3888,681
104學年,新竹市,13,12,1,1046,1035,11,131,124,7,582,535,47,16662,14951,1711,5795,5237,558
104學年,嘉義市,8,8,-,761,761,-,88,88,-,376,314,62,11640,9044,2596,4506,3675,831
104學年,金門縣,5,5,-,200,200,-,48,48,-,81,81,-,2144,2144,-,730,730,-
104學年,連江縣,5,5,-,57,57,-,24,24,-,18,18,-,259,259,-,115,115,-
103學年,總計,738,721,17,52154,51616,538,6717,6578,139,27251,24999,2252,803233,708894,94339,267798,238449,29349
103學年,新北市,63,62,1,6768,6744,24,614,609,5,4082,3700,382,125520,108938,16582,41675,36608,5067
103學年,臺北市,62,59,3,5488,5419,69,1007,982,25,2747,2485,262,80483,69520,10963,27826,24437,3389
103學年,臺中市,72,71,1,6412,6404,8,676,672,4,3400,3100,300,104453,89596,14857,35263,30783,4480
103學年,臺南市,60,58,2,3873,3808,65,498,484,14,2159,1877,282,63133,51643,11490,21452,17651,3801
103學年,高雄市,80,79,1,6221,6210,11,744,740,4,3116,2991,125,90837,86428,4409,30077,28605,1472
103學年,宜蘭縣,25,25,-,1305,1305,-,216,216,-,629,578,51,17140,15104,2036,5827,5217,610
103學年,桃園縣,58,57,1,5634,5617,17,621,611,10,2683,2518,165,81330,74186,7144,26750,24502,2248
103學年,新竹縣,29,28,1,1479,1456,23,203,197,6,714,653,61,20051,17743,2308,6412,5758,654
103學年,苗栗縣,29,29,-,1314,1314,-,161,161,-,707,660,47,19273,17457,1816,6133,5537,596
103學年,彰化縣,36,36,-,2830,2830,-,373,373,-,1527,1475,52,45510,42796,2714,15275,14423,852
103學年,南投縣,32,31,1,1444,1418,26,220,212,8,680,632,48,18711,17199,1512,6271,5809,462
103學年,雲林縣,33,30,3,1638,1434,204,272,240,32,868,682,186,25798,19078,6720,8375,6226,2149
103學年,嘉義縣,23,23,-,1110,1110,-,136,136,-,543,506,37,15409,13828,1581,4974,4442,532
103學年,屏東縣,35,34,1,1772,1705,67,218,206,12,992,932,60,28332,25819,2513,9402,8602,800
103學年,臺東縣,22,21,1,719,706,13,149,137,12,315,305,10,7749,7487,262,2498,2443,55
103學年,花蓮縣,23,23,-,977,977,-,154,154,-,437,405,32,11554,10407,1147,3947,3589,358
103學年,澎湖縣,14,14,-,314,314,-,50,50,-,126,126,-,2842,2842,-,923,923,-
103學年,基隆市,11,11,-,756,756,-,110,110,-,441,398,43,12820,10822,1998,4346,3746,600
103學年,新竹市,13,12,1,1061,1050,11,130,123,7,595,548,47,17314,15586,1728,5493,4996,497
103學年,嘉義市,8,8,-,784,784,-,91,91,-,391,329,62,12522,9963,2559,4123,3396,727
103學年,金門縣,5,5,-,198,198,-,49,49,-,81,81,-,2179,2179,-,662,662,-
103學年,連江縣,5,5,-,57,57,-,25,25,-,18,18,-,273,273,-,94,94,-
102學年,總計,738,721,17,52451,51932,519,6592,6484,108,27639,25415,2224,831925,738346,93579,284579,255159,29420
102學年,新北市,64,63,1,6803,6788,15,592,587,5,4128,3752,376,130301,113982,16319,44249,39223,5026
102學年,臺北市,62,59,3,5586,5523,63,1008,995,13,2812,2554,258,84453,73682,10771,29615,26194,3421
102學年,臺中市,72,71,1,6516,6512,4,659,658,1,3457,3170,287,108423,94000,14423,37067,32527,4540
102學年,臺南市,60,58,2,3880,3818,62,484,472,12,2206,1919,287,66134,54266,11868,22714,18938,3776
102學年,高雄市,80,79,1,6260,6249,11,743,741,2,3183,3057,126,94336,89765,4571,32448,30966,1482
102學年,宜蘭縣,25,25,-,1317,1317,-,208,208,-,640,590,50,17908,15859,2049,6298,5735,563
102學年,桃園縣,57,56,1,5606,5595,11,586,586,-,2696,2535,161,83418,76423,6995,28054,25880,2174
102學年,新竹縣,29,28,1,1474,1449,25,202,195,7,712,654,58,20241,18056,2185,6656,6034,622
102學年,苗栗縣,29,29,-,1291,1291,-,151,151,-,708,661,47,19546,17677,1869,6610,5925,685
102學年,彰化縣,36,36,-,2835,2835,-,374,374,-,1544,1492,52,46962,44322,2640,16041,15172,869
102學年,南投縣,32,31,1,1449,1420,29,226,216,10,695,645,50,19351,17839,1512,6654,6194,460
102學年,雲林縣,33,30,3,1637,1436,201,280,247,33,876,690,186,26393,19593,6800,8930,6727,2203
102學年,嘉義縣,23,23,-,1079,1079,-,128,128,-,535,498,37,15659,14010,1649,5397,4884,513
102學年,屏東縣,35,34,1,1822,1753,69,215,203,12,1012,950,62,29393,26886,2507,10355,9479,876
102學年,臺東縣,22,21,1,732,713,19,151,138,13,317,309,8,7940,7767,173,2777,2722,55
102學年,花蓮縣,23,23,-,983,983,-,148,148,-,451,418,33,12076,10896,1180,4230,3852,378
102學年,澎湖縣,14,14,-,322,322,-,49,49,-,130,130,-,2933,2933,-,979,979,-
102學年,基隆市,11,11,-,760,760,-,108,108,-,453,411,42,13586,11626,1960,4649,4005,644
102學年,新竹市,13,12,1,1054,1044,10,123,123,-,592,547,45,17446,15767,1679,5624,5172,452
102學年,嘉義市,8,8,-,790,790,-,86,86,-,394,335,59,12954,10525,2429,4478,3797,681
102學年,金門縣,5,5,-,197,197,-,47,47,-,80,80,-,2189,2189,-,672,672,-
102學年,連江縣,5,5,-,58,58,-,24,24,-,18,18,-,283,283,-,82,82,-
101學年,總計,740,723,17,51872,51317,555,6480,6360,120,27468,25281,2187,844884,752936,91948,309159,279829,29330
101學年,新北市,66,64,2,6876,6790,86,622,592,30,4100,3735,365,132204,116121,16083,47857,42885,4972
101學年,臺北市,62,59,3,5626,5561,65,979,967,12,2856,2602,254,86887,76370,10517,31764,28480,3284
101學年,臺中市,71,71,-,6431,6431,-,627,627,-,3435,3154,281,109952,95972,13980,40448,36003,4445
101學年,臺南市,60,58,2,3833,3769,64,464,450,14,2181,1895,286,67294,55561,11733,25003,21035,3968
101學年,高雄市,79,78,1,6121,6114,7,734,730,4,3199,3071,128,96280,91737,4543,35290,33823,1467
101學年,宜蘭縣,25,25,-,1293,1293,-,191,191,-,635,587,48,18353,16473,1880,6847,6259,588
101學年,桃園縣,57,56,1,5463,5456,7,570,570,-,2650,2492,158,83877,77073,6804,30047,27873,2174
101學年,新竹縣,29,28,1,1392,1380,12,196,196,-,686,632,54,20073,18043,2030,7322,6756,566
101學年,苗栗縣,31,31,-,1312,1312,-,151,151,-,698,650,48,19646,17680,1966,7351,6616,735
101學年,彰化縣,37,37,-,2898,2898,-,380,380,-,1515,1464,51,47591,44941,2650,17667,16835,832
101學年,南投縣,32,31,1,1400,1369,31,222,214,8,687,638,49,19731,18214,1517,7112,6627,485
101學年,雲林縣,32,29,3,1556,1365,191,268,233,35,866,679,187,26624,19835,6789,9648,7388,2260
101學年,嘉義縣,23,23,-,1055,1055,-,132,132,-,531,494,37,15740,14094,1646,5654,5193,461
101學年,屏東縣,35,34,1,1791,1721,70,215,203,12,1016,957,59,30366,27777,2589,11684,10828,856
101學年,臺東縣,22,21,1,713,699,14,139,134,5,318,309,9,8219,8030,189,2939,2839,100
101學年,花蓮縣,23,23,-,979,979,-,153,153,-,456,423,33,12461,11264,1197,4656,4262,394
101學年,澎湖縣,14,14,-,303,303,-,49,49,-,127,127,-,2907,2907,-,1081,1081,-
101學年,基隆市,11,11,-,768,768,-,108,108,-,455,414,41,13984,11999,1985,5064,4380,684
101學年,新竹市,13,12,1,1042,1034,8,121,121,-,572,529,43,17135,15543,1592,6259,5760,499
101學年,嘉義市,8,8,-,784,784,-,89,89,-,394,338,56,13206,10948,2258,4649,4089,560
101學年,金門縣,5,5,-,182,182,-,46,46,-,73,73,-,2066,2066,-,713,713,-
101學年,連江縣,5,5,-,54,54,-,24,24,-,18,18,-,288,288,-,104,104,-
100學年,總計,742,726,16,51200,50666,534,6509,6376,133,27639,25471,2168,873226,782612,90614,316906,286882,30024
100學年,新北市,66,65,1,6915,6839,76,626,601,25,4132,3763,369,136231,120517,15714,50086,44957,5129
100學年,臺北市,62,59,3,5538,5475,63,983,969,14,2900,2648,252,90149,79784,10365,32861,29523,3338
100學年,臺中市,72,71,1,6433,6421,12,608,604,4,3457,3184,273,114050,100372,13678,41363,36656,4707
100學年,臺南市,60,58,2,3731,3672,59,475,459,16,2184,1901,283,69941,58165,11776,25373,21248,4125
100學年,高雄市,79,78,1,5852,5846,6,724,720,4,3227,3097,130,99403,94893,4510,36403,34899,1504
100學年,宜蘭縣,25,25,-,1273,1273,-,191,191,-,636,589,47,19264,17365,1899,6908,6338,570
100學年,桃園縣,57,57,-,5421,5421,-,587,587,-,2633,2479,154,85800,79078,6722,30711,28540,2171
100學年,新竹縣,29,28,1,1355,1345,10,193,186,7,683,632,51,20599,18710,1889,7225,6690,535
100學年,苗栗縣,31,31,-,1271,1271,-,155,155,-,708,657,51,20408,18320,2088,7488,6727,761
100學年,彰化縣,37,37,-,2896,2896,-,385,385,-,1530,1477,53,49335,46716,2619,17441,16654,787
100學年,南投縣,32,31,1,1382,1350,32,221,213,8,690,640,50,20358,18848,1510,7427,6908,519
100學年,雲林縣,32,29,3,1526,1340,186,263,227,36,869,685,184,27267,20493,6774,9673,7344,2329
100學年,嘉義縣,23,23,-,1050,1050,-,137,137,-,537,501,36,16159,14609,1550,5671,5230,441
100學年,屏東縣,35,34,1,1788,1720,68,228,215,13,1040,981,59,32015,29428,2587,11964,11112,852
100學年,臺東縣,22,21,1,687,673,14,138,132,6,315,306,9,8518,8275,243,3036,3002,34
100學年,花蓮縣,23,23,-,969,969,-,148,148,-,460,427,33,13116,11923,1193,4767,4380,387
100學年,澎湖縣,14,14,-,291,291,-,49,49,-,129,129,-,2997,2997,-,1004,1004,-
100學年,基隆市,12,12,-,809,809,-,117,117,-,462,421,41,14379,12406,1973,5622,4901,721
100學年,新竹市,13,12,1,1014,1006,8,122,122,-,571,529,42,17517,15992,1525,6194,5734,460
100學年,嘉義市,8,8,-,776,776,-,86,86,-,387,336,51,13396,11397,1999,4838,4184,654
100學年,金門縣,5,5,-,171,171,-,49,49,-,71,71,-,2051,2051,-,753,753,-
100學年,連江縣,5,5,-,52,52,-,24,24,-,18,18,-,273,273,-,98,98,-
99學年,總計,740,724,16,51965,51426,539,6593,6458,135,28146,25957,2189,919802,828458,91344,315798,285998,29800
99學年,臺北市,62,59,3,5589,5534,55,1005,992,13,2929,2678,251,95287,84926,10361,32716,29500,3216
99學年,高雄市,36,35,1,3482,3471,11,411,406,5,1862,1760,102,60808,57054,3754,21179,19951,1228
99學年,臺北縣,64,63,1,7081,7005,76,618,593,25,4239,3866,373,144300,128604,15696,50009,45046,4963
99學年,宜蘭縣,25,25,-,1311,1311,-,195,195,-,645,601,44,20267,18432,1835,6887,6401,486
99學年,桃園縣,56,56,-,5307,5307,-,567,567,-,2669,2516,153,89460,82796,6664,30068,27971,2097
99學年,新竹縣,29,28,1,1353,1346,7,198,192,6,687,640,47,21338,19562,1776,7217,6693,524
99學年,苗栗縣,30,30,-,1288,1288,-,160,160,-,722,664,58,21692,19464,2228,7594,6838,756
99學年,臺中縣,47,47,-,4077,4077,-,394,394,-,2132,1979,153,70526,62755,7771,24023,21395,2628
99學年,彰化縣,38,38,-,2989,2989,-,397,397,-,1540,1488,52,51334,48802,2532,17350,16594,756
99學年,南投縣,32,31,1,1412,1367,45,219,210,9,701,649,52,21470,19885,1585,7420,6927,493
99學年,雲林縣,32,29,3,1546,1360,186,256,223,33,875,692,183,28417,21472,6945,9560,7183,2377
99學年,嘉義縣,23,23,-,1060,1060,-,138,138,-,542,508,34,16878,15403,1475,5682,5211,471
99學年,臺南縣,42,40,2,2027,1963,64,309,293,16,1177,1015,162,39361,32226,7135,13718,11177,2541
99學年,高雄縣,43,43,-,2506,2506,-,335,335,-,1440,1410,30,44456,43597,859,15550,15253,297
99學年,屏東縣,35,34,1,1868,1802,66,238,224,14,1084,1023,61,34337,31733,2604,12080,11240,840
99學年,臺東縣,22,21,1,710,699,11,137,132,5,320,312,8,8965,8761,204,3088,3052,36
99學年,花蓮縣,23,23,-,982,982,-,146,146,-,470,437,33,13840,12619,1221,4915,4527,388
99學年,澎湖縣,14,14,-,293,293,-,50,50,-,125,125,-,3074,3074,-,1051,1051,-
99學年,基隆市,13,13,-,827,827,-,123,123,-,484,441,43,15577,13502,2075,5496,4815,681
99學年,新竹市,13,12,1,1008,1002,6,121,116,5,569,527,42,18305,16831,1474,6122,5668,454
99學年,臺中市,25,24,1,2448,2436,12,226,222,4,1396,1268,128,49302,43053,6249,16490,14447,2043
99學年,嘉義市,8,8,-,767,767,-,85,85,-,396,345,51,14064,12126,1938,4880,4118,762
99學年,臺南市,18,18,-,1805,1805,-,191,191,-,1052,923,129,34333,29370,4963,11874,10111,1763
99學年,金門縣,5,5,-,178,178,-,50,50,-,72,72,-,2131,2131,-,730,730,-
99學年,連江縣,5,5,-,51,51,-,24,24,-,18,18,-,280,280,-,99,99,-
98學年,總計,740,723,17,51899,51331,568,6591,6441,150,28332,26154,2178,948534,856949,91585,316080,287258,28822
98學年,臺北市,62,59,3,5579,5526,53,1013,998,15,2943,2698,245,98369,88234,10135,32588,29587,3001
98學年,高雄市,36,35,1,3500,3491,9,412,410,2,1893,1789,104,63142,59365,3777,21134,19860,1274
98學年,臺北縣,64,63,1,7075,6999,76,611,586,25,4305,3954,351,149593,134046,15547,50984,46081,4903
98學年,宜蘭縣,25,25,-,1294,1294,-,197,197,-,656,612,44,20863,19070,1793,6901,6509,392
98學年,桃園縣,56,56,-,5239,5239,-,553,553,-,2656,2504,152,91272,84691,6581,30090,28200,1890
98學年,新竹縣,29,28,1,1336,1329,7,195,186,9,685,642,43,21856,20204,1652,7174,6713,461
98學年,苗栗縣,30,30,-,1267,1267,-,156,156,-,731,673,58,22624,20321,2303,7722,6919,803
98學年,臺中縣,46,46,-,4000,4000,-,399,399,-,2130,1972,158,72583,64769,7814,24068,21530,2538
98學年,彰化縣,39,39,-,3105,3105,-,407,407,-,1557,1507,50,52381,49984,2397,17342,16793,549
98學年,南投縣,32,30,2,1436,1362,74,224,206,18,706,651,55,22139,20471,1668,7583,7068,515
98學年,雲林縣,32,29,3,1517,1334,183,259,224,35,873,691,182,28971,21821,7150,9311,6984,2327
98學年,嘉義縣,23,23,-,1041,1041,-,128,128,-,541,509,32,17092,15710,1382,5663,5231,432
98學年,臺南縣,42,40,2,2018,1955,63,296,279,17,1193,1030,163,40747,33376,7371,13856,11273,2583
98學年,高雄縣,43,43,-,2491,2491,-,322,322,-,1425,1390,35,46019,45104,915,15360,15054,306
98學年,屏東縣,36,35,1,1993,1927,66,251,237,14,1105,1044,61,35987,33416,2571,11885,11066,819
98學年,臺東縣,22,21,1,689,675,14,143,135,8,313,307,6,9167,8969,198,3025,2984,41
98學年,花蓮縣,23,23,-,1018,1018,-,161,161,-,479,446,33,14470,13226,1244,4879,4478,401
98學年,澎湖縣,14,14,-,291,291,-,52,52,-,126,126,-,3146,3146,-,1068,1068,-
98學年,基隆市,13,13,-,840,840,-,124,124,-,495,450,45,16387,14253,2134,5636,4967,669
98學年,新竹市,13,12,1,990,982,8,121,117,4,567,523,44,18693,17196,1497,5897,5429,468
98學年,臺中市,24,23,1,2406,2391,15,219,216,3,1395,1266,129,50391,44138,6253,16638,14567,2071
98學年,嘉義市,8,8,-,745,745,-,84,84,-,403,350,53,14436,12451,1985,4613,3793,820
98學年,臺南市,18,18,-,1796,1796,-,192,192,-,1062,927,135,35708,30490,5218,11856,10297,1559
98學年,金門縣,5,5,-,184,184,-,50,50,-,75,75,-,2205,2205,-,709,709,-
98學年,連江縣,5,5,-,49,49,-,22,22,-,18,18,-,293,293,-,98,98,-
97學年,總計,740,722,18,51777,51197,580,6554,6405,149,28124,25970,2154,951976,859792,92184,317975,288538,29437
97學年,臺北市,62,59,3,5590,5537,53,1020,1006,14,2939,2700,239,98774,88948,9826,32754,29894,2860
97學年,高雄市,36,35,1,3476,3468,8,408,406,2,1893,1792,101,63643,59766,3877,21201,19982,1219
97學年,臺北縣,65,63,2,7256,7161,95,606,577,29,4329,3973,356,152152,136285,15867,52184,47130,5054
97學年,宜蘭縣,25,25,-,1297,1297,-,197,197,-,650,610,40,20961,19270,1691,6897,6568,329
97學年,桃園縣,57,57,-,5174,5174,-,556,556,-,2623,2483,140,91027,84689,6338,29180,27336,1844
97學年,新竹縣,28,27,1,1299,1294,5,186,183,3,663,623,40,21653,20102,1551,7034,6539,495
97學年,苗栗縣,30,30,-,1246,1246,-,151,151,-,718,664,54,22857,20517,2340,7686,6912,774
97學年,臺中縣,46,46,-,3963,3963,-,393,393,-,2116,1953,163,72695,64684,8011,24820,22110,2710
97學年,彰化縣,39,39,-,3065,3065,-,409,409,-,1537,1491,46,52021,49883,2138,17919,17322,597
97學年,南投縣,32,30,2,1426,1353,73,227,205,22,708,654,54,22530,20803,1727,7314,6999,315
97學年,雲林縣,33,29,4,1481,1287,194,268,225,43,850,668,182,28615,21287,7328,9204,6766,2438
97學年,嘉義縣,22,22,-,1011,1011,-,128,128,-,521,488,33,17016,15632,1384,5692,5238,454
97學年,臺南縣,42,40,2,2024,1960,64,298,282,16,1198,1033,165,41096,33452,7644,14134,11317,2817
97學年,高雄縣,43,43,-,2491,2491,-,318,318,-,1416,1380,36,46199,45202,997,15346,15017,329
97學年,屏東縣,36,35,1,1986,1920,66,252,240,12,1087,1027,60,36181,33595,2586,11858,11061,797
97學年,臺東縣,21,21,-,671,671,-,136,136,-,309,306,3,9151,9050,101,3071,3016,55
97學年,花蓮縣,23,23,-,1015,1015,-,149,149,-,480,447,33,14583,13325,1258,4871,4512,359
97學年,澎湖縣,14,14,-,286,286,-,52,52,-,126,126,-,3102,3102,-,1097,1097,-
97學年,基隆市,13,13,-,833,833,-,123,123,-,493,449,44,16851,14721,2130,5760,5057,703
97學年,新竹市,13,12,1,952,943,9,117,112,5,540,497,43,18247,16710,1537,5941,5487,454
97學年,臺中市,24,23,1,2485,2472,13,221,218,3,1382,1249,133,50164,43763,6401,16186,14105,2081
97學年,嘉義市,8,8,-,723,723,-,80,80,-,397,340,57,14299,12049,2250,4853,3913,940
97學年,臺南市,18,18,-,1803,1803,-,189,189,-,1059,927,132,35696,30494,5202,12165,10352,1813
97學年,金門縣,5,5,-,175,175,-,48,48,-,71,71,-,2169,2169,-,715,715,-
97學年,連江縣,5,5,-,49,49,-,22,22,-,19,19,-,294,294,-,93,93,-
""
