學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
98學年,民生學門,104456,39996,64460,6756,1983,4773,6628,2782,3846,-,-,-,5486,2033,3453,81186,31120,50066,4353,2047,2306,47,31,16
98學年,運輸服務學門,9245,4841,4404,269,177,92,186,158,28,-,-,-,565,299,266,7054,3455,3599,1039,656,383,132,96,36
98學年,環境保護學門,3286,2021,1265,-,-,-,2,2,-,-,-,-,98,70,28,2352,1394,958,799,531,268,35,24,11
98學年,軍警國防安全學門,548,492,56,-,-,-,-,-,-,-,-,-,21,17,4,512,462,50,15,13,2,-,-,-
98學年,其他學門,2256,1120,1136,-,-,-,-,-,-,-,-,-,-,-,-,2099,1054,1045,144,60,84,13,6,7
97學年,總計,1337455,683114,654341,84787,23124,61663,32866,17451,15415,-,-,-,83443,34718,48725,922659,478620,444039,180809,105470,75339,32891,23731,9160
97學年,教育學門,43179,15763,27416,-,-,-,-,-,-,-,-,-,113,12,101,22431,8196,14235,18373,6429,11944,2262,1126,1136
97學年,藝術學門,25288,6937,18351,1584,249,1335,425,196,229,-,-,-,1038,157,881,15623,4265,11358,6329,1938,4391,289,132,157
97學年,人文學門,117032,31354,85678,9691,1603,8088,766,308,458,-,-,-,4660,998,3662,85991,23087,62904,13657,4345,9312,2267,1013,1254
97學年,設計學門,39564,15404,24160,1005,267,738,818,448,370,-,-,-,2035,913,1122,32333,11968,20365,3056,1604,1452,317,204,113
97學年,社會及行為科學學門,49720,22125,27595,-,-,-,-,-,-,-,-,-,156,40,116,33745,14162,19583,14040,6810,7230,1779,1113,666
97學年,傳播學門,26233,9576,16657,-,-,-,143,90,53,-,-,-,563,240,323,22626,8103,14523,2802,1102,1700,99,41,58
97學年,商業及管理學門,249136,96847,152289,9250,2295,6955,6209,2829,3380,-,-,-,18895,6374,12521,183730,68329,115401,28179,15296,12883,2873,1724,1149
97學年,法律學門,20487,10353,10134,51,16,35,-,-,-,-,-,-,298,185,113,14820,6935,7885,5067,3019,2048,251,198,53
97學年,生命科學學門,23754,13694,10060,-,-,-,-,-,-,-,-,-,454,133,321,16393,9562,6831,4822,2676,2146,2085,1323,762
97學年,自然科學學門,23199,17437,5762,-,-,-,-,-,-,-,-,-,1,1,-,15943,12087,3856,5175,3674,1501,2080,1675,405
97學年,數學及統計學門,16366,10752,5614,-,-,-,-,-,-,-,-,-,-,-,-,13678,8970,4708,2294,1476,818,394,306,88
97學年,電算機學門,78734,50048,28686,5829,3304,2525,3883,2528,1355,-,-,-,6862,4613,2249,55757,34912,20845,5804,4253,1551,599,438,161
97學年,工程學門,316813,280414,36399,9586,8847,739,6755,6181,574,-,-,-,18186,16336,1850,220039,194428,25611,49266,42932,6334,12981,11690,1291
97學年,建築及都市規劃學門,15394,8549,6845,331,267,64,190,125,65,-,-,-,375,241,134,11212,5885,5327,2989,1822,1167,297,209,88
97學年,農業科學學門,24913,12614,12299,124,72,52,338,204,134,-,-,-,650,305,345,19278,9572,9706,3631,1874,1757,892,587,305
97學年,獸醫學門,1889,980,909,-,-,-,-,-,-,-,-,-,-,-,-,1351,671,680,374,199,175,164,110,54
97學年,醫藥衛生學門,121305,32600,88705,40927,4506,36421,2746,890,1856,-,-,-,17752,1340,16412,49983,21781,28202,6964,2445,4519,2933,1638,1295
97學年,社會服務學門,34095,3287,30808,1166,40,1126,2644,75,2569,-,-,-,4462,182,4280,23861,2635,21226,1870,322,1548,92,33,59
97學年,民生學門,94142,35399,58743,4973,1473,3500,7628,3357,4271,-,-,-,6092,2177,3915,71231,26376,44855,4167,1981,2186,51,35,16
97學年,運輸服務學門,9618,4986,4632,270,185,85,307,206,101,-,-,-,631,298,333,7242,3525,3717,1022,666,356,146,106,40
97學年,環境保護學門,3724,2464,1260,-,-,-,14,14,-,-,-,-,153,115,38,2730,1754,976,796,556,240,31,25,6
97學年,軍警國防安全學門,521,464,57,-,-,-,-,-,-,-,-,-,67,58,9,454,406,48,-,-,-,-,-,-
97學年,其他學門,2349,1067,1282,-,-,-,-,-,-,-,-,-,-,-,-,2208,1011,1197,132,51,81,9,5,4
""
