學年別,年齡別,偏遠國小總計計,偏遠國小總計男,偏遠國小總計女,偏遠國小國立計,偏遠國小國立男,偏遠國小國立女,偏遠國小直轄市立計,偏遠國小直轄市立男,偏遠國小直轄市立女,偏遠國小縣市立計,偏遠國小縣市立男,偏遠國小縣市立女,偏遠國小私立計,偏遠國小私立男,偏遠國小私立女,偏遠國中總計計,偏遠國中總計男,偏遠國中總計女,偏遠國中國立計,偏遠國中國立男,偏遠國中國立女,偏遠國中直轄市立計,偏遠國中直轄市立男,偏遠國中直轄市立女,偏遠國中縣市立計,偏遠國中縣市立男,偏遠國中縣市立女,偏遠國中私立計,偏遠國中私立男,偏遠國中私立女
102學年,50歲至未滿55歲,896,387,509,7,3,4,288,119,169,600,265,335,1,-,1,338,188,150,-,-,-,59,36,23,270,148,122,9,4,5
102學年,55歲至未滿60歲,339,156,183,-,-,-,81,29,52,258,127,131,-,-,-,135,67,68,-,-,-,22,11,11,108,54,54,5,2,3
102學年,60歲至未滿65歲,92,57,35,-,-,-,17,8,9,75,49,26,-,-,-,42,21,21,-,-,-,9,1,8,32,20,12,1,-,1
102學年,65歲以上,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,11707,5122,6585,76,17,59,3196,1322,1874,8403,3773,4630,32,10,22,5365,2150,3215,-,-,-,1163,452,711,4188,1693,2495,14,5,9
101學年,未滿25歲,150,27,123,-,-,-,51,6,45,97,21,76,2,-,2,165,30,135,-,-,-,48,8,40,117,22,95,-,-,-
101學年,25歲至未滿30歲,1062,299,763,12,2,10,374,77,297,669,216,453,7,4,3,956,272,684,-,-,-,266,71,195,689,201,488,1,-,1
101學年,30歲至未滿35歲,2382,977,1405,6,1,5,661,242,419,1703,733,970,12,1,11,1250,479,771,-,-,-,276,112,164,971,364,607,3,3,-
101學年,35歲至未滿40歲,2428,1051,1377,16,2,14,565,232,333,1839,814,1025,8,3,5,1123,485,638,-,-,-,235,101,134,884,383,501,4,1,3
101學年,40歲至未滿45歲,2636,1337,1299,15,2,13,673,354,319,1948,981,967,-,-,-,748,306,442,-,-,-,147,65,82,601,241,360,-,-,-
101學年,45歲至未滿50歲,1847,830,1017,22,8,14,550,257,293,1273,564,709,2,1,1,636,315,321,-,-,-,114,57,57,519,258,261,3,-,3
101學年,50歲至未滿55歲,803,380,423,5,2,3,240,112,128,558,266,292,-,-,-,317,169,148,-,-,-,51,28,23,265,140,125,1,1,-
101學年,55歲至未滿60歲,305,164,141,-,-,-,65,32,33,239,131,108,1,1,-,122,62,60,-,-,-,20,9,11,101,53,48,1,-,1
101學年,60歲至未滿65歲,94,57,37,-,-,-,17,10,7,77,47,30,-,-,-,47,31,16,-,-,-,6,1,5,40,30,10,1,-,1
101學年,65歲以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-
100學年,總計,11883,5260,6623,72,17,55,3225,1368,1857,8554,3865,4689,32,10,22,5259,2156,3103,-,-,-,1162,456,706,4083,1695,2388,14,5,9
100學年,未滿25歲,151,23,128,-,-,-,45,4,41,105,19,86,1,-,1,145,20,125,-,-,-,43,9,34,102,11,91,-,-,-
100學年,25歲至未滿30歲,1205,363,842,10,1,9,376,93,283,804,264,540,15,5,10,947,285,662,-,-,-,253,76,177,691,209,482,3,-,3
100學年,30歲至未滿35歲,2559,1071,1488,9,1,8,690,261,429,1851,807,1044,9,2,7,1306,497,809,-,-,-,296,102,194,1005,393,612,5,2,3
100學年,35歲至未滿40歲,2501,1116,1385,11,2,9,600,258,342,1885,854,1031,5,2,3,1029,465,564,-,-,-,231,110,121,797,354,443,1,1,-
100學年,40歲至未滿45歲,2585,1311,1274,18,3,15,694,362,332,1873,946,927,-,-,-,731,315,416,-,-,-,147,67,80,582,247,335,2,1,1
100學年,45歲至未滿50歲,1705,748,957,18,6,12,519,234,285,1167,508,659,1,-,1,604,293,311,-,-,-,115,53,62,489,240,249,-,-,-
100學年,50歲至未滿55歲,776,392,384,6,4,2,207,106,101,562,281,281,1,1,-,328,175,153,-,-,-,55,27,28,271,147,124,2,1,1
100學年,55歲至未滿60歲,316,180,136,-,-,-,79,44,35,237,136,101,-,-,-,117,68,49,-,-,-,16,9,7,101,59,42,-,-,-
100學年,60歲至未滿65歲,84,55,29,-,-,-,15,6,9,69,49,20,-,-,-,49,36,13,-,-,-,6,3,3,42,33,9,1,-,1
100學年,65歲以上,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,-,-,-
99學年,總計,10496,4686,5810,73,17,56,-,-,-,10391,4659,5732,32,10,22,4907,2024,2883,-,-,-,-,-,-,4896,2021,2875,11,3,8
99學年,未滿25歲,151,19,132,1,-,1,-,-,-,150,19,131,-,-,-,158,21,137,-,-,-,-,-,-,158,21,137,-,-,-
99學年,25歲至未滿30歲,1444,491,953,4,-,4,-,-,-,1425,488,937,15,3,12,968,315,653,-,-,-,-,-,-,966,315,651,2,-,2
99學年,30歲至未滿35歲,2261,974,1287,8,1,7,-,-,-,2243,969,1274,10,4,6,1195,450,745,-,-,-,-,-,-,1192,449,743,3,1,2
99學年,35歲至未滿40歲,2180,995,1185,14,4,10,-,-,-,2162,989,1173,4,2,2,922,410,512,-,-,-,-,-,-,921,410,511,1,-,1
99學年,40歲至未滿45歲,2152,1085,1067,21,2,19,-,-,-,2130,1083,1047,1,-,1,678,297,381,-,-,-,-,-,-,677,297,380,1,-,1
99學年,45歲至未滿50歲,1296,560,736,17,8,9,-,-,-,1278,552,726,1,-,1,531,277,254,-,-,-,-,-,-,531,277,254,-,-,-
99學年,50歲至未滿55歲,696,381,315,8,2,6,-,-,-,688,379,309,-,-,-,299,151,148,-,-,-,-,-,-,298,150,148,1,1,-
99學年,55歲至未滿60歲,246,137,109,-,-,-,-,-,-,245,136,109,1,1,-,113,73,40,-,-,-,-,-,-,110,72,38,3,1,2
99學年,60歲至未滿65歲,68,42,26,-,-,-,-,-,-,68,42,26,-,-,-,40,28,12,-,-,-,-,-,-,40,28,12,-,-,-
99學年,65歲以上,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,-,-,-
98學年,總計,10379,4670,5709,71,19,52,-,-,-,10272,4641,5631,36,10,26,4820,2023,2797,-,-,-,-,-,-,4806,2018,2788,14,5,9
98學年,未滿25歲,225,34,191,-,-,-,-,-,-,223,34,189,2,-,2,166,30,136,-,-,-,-,-,-,164,30,134,2,-,2
98學年,25歲至未滿30歲,1655,644,1011,-,-,-,-,-,-,1641,642,999,14,2,12,1027,339,688,-,-,-,-,-,-,1024,338,686,3,1,2
98學年,30歲至未滿35歲,2191,936,1255,14,3,11,-,-,-,2167,928,1239,10,5,5,1157,469,688,-,-,-,-,-,-,1154,467,687,3,2,1
98學年,35歲至未滿40歲,2243,1041,1202,14,3,11,-,-,-,2226,1037,1189,3,1,2,890,385,505,-,-,-,-,-,-,889,385,504,1,-,1
98學年,40歲至未滿45歲,1953,942,1011,24,6,18,-,-,-,1926,935,991,3,1,2,652,292,360,-,-,-,-,-,-,650,291,359,2,1,1
98學年,45歲至未滿50歲,1137,514,623,12,4,8,-,-,-,1124,510,614,1,-,1,488,261,227,-,-,-,-,-,-,488,261,227,-,-,-
98學年,50歲至未滿55歲,670,372,298,7,3,4,-,-,-,661,368,293,2,1,1,290,148,142,-,-,-,-,-,-,288,147,141,2,1,1
98學年,55歲至未滿60歲,239,139,100,-,-,-,-,-,-,238,139,99,1,-,1,110,69,41,-,-,-,-,-,-,109,69,40,1,-,1
98學年,60歲至未滿65歲,60,44,16,-,-,-,-,-,-,60,44,16,-,-,-,39,29,10,-,-,-,-,-,-,39,29,10,-,-,-
98學年,65歲以上,6,4,2,-,-,-,-,-,-,6,4,2,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-
97學年,總計,9176,4281,4895,-,-,-,-,-,-,9156,4278,4878,20,3,17,4405,1884,2521,-,-,-,-,-,-,4405,1884,2521,-,-,-
97學年,未滿25歲,267,50,217,-,-,-,-,-,-,267,50,217,-,-,-,185,46,139,-,-,-,-,-,-,185,46,139,-,-,-
97學年,25歲至未滿30歲,1811,766,1045,-,-,-,-,-,-,1801,765,1036,10,1,9,1028,352,676,-,-,-,-,-,-,1028,352,676,-,-,-
97學年,30歲至未滿35歲,1890,796,1094,-,-,-,-,-,-,1884,794,1090,6,2,4,1061,441,620,-,-,-,-,-,-,1061,441,620,-,-,-
97學年,35歲至未滿40歲,1925,969,956,-,-,-,-,-,-,1923,969,954,2,-,2,743,308,435,-,-,-,-,-,-,743,308,435,-,-,-
97學年,40歲至未滿45歲,1543,755,788,-,-,-,-,-,-,1542,755,787,1,-,1,594,273,321,-,-,-,-,-,-,594,273,321,-,-,-
97學年,45歲至未滿50歲,944,459,485,-,-,-,-,-,-,943,459,484,1,-,1,404,234,170,-,-,-,-,-,-,404,234,170,-,-,-
97學年,50歲至未滿55歲,553,328,225,-,-,-,-,-,-,553,328,225,-,-,-,253,137,116,-,-,-,-,-,-,253,137,116,-,-,-
97學年,55歲至未滿60歲,184,114,70,-,-,-,-,-,-,184,114,70,-,-,-,95,60,35,-,-,-,-,-,-,95,60,35,-,-,-
97學年,60歲至未滿65歲,57,42,15,-,-,-,-,-,-,57,42,15,-,-,-,39,31,8,-,-,-,-,-,-,39,31,8,-,-,-
97學年,65歲以上,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,-,-,-
""
