學年別,學科類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計4年級計,總計4年級男,總計4年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立4年級計,國立4年級男,國立4年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級計,直轄市立4年級男,直轄市立4年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立4年級計,縣市立4年級男,縣市立4年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立4年級計,私立4年級男,私立4年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
105學年,工業,116320,105985,10335,40486,36930,3556,39156,35722,3434,36318,32988,3330,-,-,-,360,345,15,35708,32371,3337,44229,38763,5466,15287,13373,1914,14397,12616,1781,14347,12589,1758,-,-,-,198,185,13,14052,12112,1940,20535,18392,2143,7001,6261,740,6693,5974,719,6748,6065,683,-,-,-,93,92,1,6189,5543,646,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51556,48830,2726,18198,17296,902,18066,17132,934,15223,14334,889,-,-,-,69,68,1,15467,14716,751
105學年,商業,104157,38127,66030,34831,12775,22056,35260,12951,22309,33734,12216,21518,133,54,79,199,131,68,33748,11477,22271,29805,9737,20068,10284,3413,6871,9717,3086,6631,9717,3179,6538,-,-,-,87,59,28,9947,2910,7037,11930,3693,8237,3940,1181,2759,3889,1226,2663,4097,1284,2813,-,-,-,4,2,2,4142,1101,3041,747,322,425,316,141,175,229,97,132,198,82,116,-,-,-,4,2,2,192,71,121,61675,24375,37300,20291,8040,12251,21425,8542,12883,19722,7671,12051,133,54,79,104,68,36,19467,7395,12072
105學年,家事,88532,33002,55530,31065,11790,19275,29602,10962,18640,27740,10159,17581,-,-,-,125,91,34,27344,9661,17683,8038,1523,6515,2832,546,2286,2647,549,2098,2544,421,2123,-,-,-,15,7,8,2483,355,2128,1184,263,921,402,79,323,376,91,285,406,93,313,-,-,-,-,-,-,373,67,306,49,17,32,42,17,25,5,-,5,2,-,2,-,-,-,-,-,-,-,-,-,79261,31199,48062,27789,11148,16641,26574,10322,16252,24788,9645,15143,-,-,-,110,84,26,24488,9239,15249
105學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,海事,2126,1877,249,796,698,98,693,608,85,630,564,66,-,-,-,7,7,-,604,505,99,1932,1696,236,731,638,93,630,550,80,566,503,63,-,-,-,5,5,-,530,440,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,181,13,65,60,5,63,58,5,64,61,3,-,-,-,2,2,-,74,65,9
105學年,劇藝,10517,3931,6586,3819,1403,2416,3625,1350,2275,3069,1176,1893,-,-,-,4,2,2,2606,1077,1529,444,144,300,157,53,104,150,51,99,137,40,97,-,-,-,-,-,-,132,40,92,209,93,116,73,40,33,68,25,43,68,28,40,-,-,-,-,-,-,74,34,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9864,3694,6170,3589,1310,2279,3407,1274,2133,2864,1108,1756,-,-,-,4,2,2,2400,1003,1397
104學年,總計,337354,191058,146296,118966,68155,50811,108522,61276,47246,108685,60848,47837,657,320,337,524,459,65,112454,60913,51541,94600,56660,37940,31576,19118,12458,30927,18707,12220,31902,18659,13243,-,-,-,195,176,19,30740,17555,13185,35486,23221,12265,11592,7694,3898,11741,7732,4009,11571,7471,4100,511,256,255,71,68,3,11061,6943,4118,631,261,370,238,104,134,197,82,115,193,74,119,-,-,-,3,1,2,185,72,113,206637,110916,95721,75560,41239,34321,65657,34755,30902,65019,34644,30375,146,64,82,255,214,41,70468,36343,34125
104學年,農業,10618,5260,5358,3542,1774,1768,3444,1736,1708,3611,1731,1880,-,-,-,21,19,2,3498,1611,1887,9478,4708,4770,3092,1543,1549,3095,1574,1521,3270,1572,1698,-,-,-,21,19,2,3233,1486,1747,685,326,359,214,109,105,233,120,113,238,97,141,-,-,-,-,-,-,184,78,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,455,226,229,236,122,114,116,42,74,103,62,41,-,-,-,-,-,-,81,47,34
104學年,工業,117489,107024,10465,41740,38155,3585,37359,33984,3375,37990,34500,3490,154,148,6,246,237,9,37802,34109,3693,44782,39120,5662,15012,13170,1842,14633,12851,1782,15011,12980,2031,-,-,-,126,119,7,14147,12159,1988,20870,18749,2121,6979,6234,745,6901,6210,691,6768,6090,678,154,148,6,68,67,1,6381,5653,728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51837,49155,2682,19749,18751,998,15825,14923,902,16211,15430,781,-,-,-,52,51,1,17274,16297,977
104學年,商業,106457,38918,67539,36597,13707,22890,34423,12619,21804,34806,12324,22482,503,172,331,128,96,32,38037,13028,25009,30082,9597,20485,9943,3199,6744,9833,3247,6586,10276,3130,7146,-,-,-,30,21,9,10189,3036,7153,12524,3793,8731,3941,1231,2710,4124,1281,2843,4099,1172,2927,357,108,249,3,1,2,4037,1114,2923,631,261,370,238,104,134,197,82,115,193,74,119,-,-,-,3,1,2,185,72,113,63220,25267,37953,22475,9173,13302,20269,8009,12260,20238,7948,12290,146,64,82,92,73,19,23626,8806,14820
104學年,家事,90714,34081,56633,32461,12435,20026,29404,11070,18334,28736,10483,18253,-,-,-,113,93,20,29784,10531,19253,7879,1398,6481,2704,562,2142,2608,443,2165,2562,388,2174,-,-,-,5,5,-,2471,362,2109,1191,260,931,388,93,295,414,92,322,389,75,314,-,-,-,-,-,-,383,70,313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81644,32423,49221,29369,11780,17589,26382,10535,15847,25785,10020,15765,-,-,-,108,88,20,26930,10099,16831
104學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,海事,2171,1901,270,747,662,85,685,613,72,726,614,112,-,-,-,13,12,1,622,518,104,1953,1700,253,671,591,80,620,551,69,649,546,103,-,-,-,13,12,1,575,474,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,218,201,17,76,71,5,65,62,3,77,68,9,-,-,-,-,-,-,47,44,3
104學年,劇藝,9905,3874,6031,3879,1422,2457,3207,1254,1953,2816,1196,1620,-,-,-,3,2,1,2711,1116,1595,426,137,289,154,53,101,138,41,97,134,43,91,-,-,-,-,-,-,125,38,87,216,93,123,70,27,43,69,29,40,77,37,40,-,-,-,-,-,-,76,28,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9263,3644,5619,3655,1342,2313,3000,1184,1816,2605,1116,1489,-,-,-,3,2,1,2510,1050,1460
103學年,總計,345937,194292,151645,115597,66110,49487,112228,63127,49101,116849,64282,52567,776,374,402,487,399,88,113779,61649,52130,96778,57356,39422,32205,19647,12558,32423,19015,13408,32004,18574,13430,-,-,-,146,120,26,30637,17529,13108,35325,23256,12069,11872,7967,3905,11347,7441,3906,11453,7492,3961,601,308,293,52,48,4,10631,6793,3838,1752,692,1060,591,248,343,587,229,358,574,215,359,-,-,-,-,-,-,341,122,219,212082,112988,99094,70929,38248,32681,67871,36442,31429,72818,38001,34817,175,66,109,289,231,58,72170,37205,34965
103學年,農業,10919,5327,5592,3569,1813,1756,3685,1769,1916,3642,1727,1915,-,-,-,23,18,5,3291,1466,1825,9918,4848,5070,3208,1646,1562,3337,1606,1731,3351,1578,1773,-,-,-,22,18,4,3100,1381,1719,686,321,365,240,124,116,242,101,141,203,96,107,-,-,-,1,-,1,191,85,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315,158,157,121,43,78,106,62,44,88,53,35,-,-,-,-,-,-,-,-,-
103學年,工業,119050,108123,10927,39967,36431,3536,39032,35472,3560,39620,35819,3801,229,210,19,202,191,11,39639,35519,4120,45562,39590,5972,15343,13483,1860,15283,13220,2063,14858,12814,2044,-,-,-,78,73,5,14350,12230,2120,21142,18984,2158,7192,6483,709,6804,6126,678,6866,6117,749,229,210,19,51,48,3,6406,5657,749,195,160,35,80,64,16,70,57,13,45,39,6,-,-,-,-,-,-,-,-,-,52151,49389,2762,17352,16401,951,16875,16069,806,17851,16849,1002,-,-,-,73,70,3,18883,17632,1251
103學年,商業,110977,39992,70985,35672,13302,22370,35590,12736,22854,39024,13686,25338,547,164,383,144,104,40,39067,13059,26008,30951,9751,21200,10089,3364,6725,10389,3178,7211,10447,3194,7253,-,-,-,26,15,11,10070,3057,7013,12284,3696,8588,4020,1264,2756,3905,1136,2769,3987,1198,2789,372,98,274,-,-,-,3654,978,2676,1328,433,895,441,154,287,439,135,304,448,144,304,-,-,-,-,-,-,341,122,219,66414,26112,40302,21122,8520,12602,20857,8287,12570,24142,9150,14992,175,66,109,118,89,29,25002,8902,16100
103學年,家事,93360,35012,58348,32106,12477,19629,30205,11250,18955,30951,11214,19737,-,-,-,98,71,27,28625,10038,18587,7862,1266,6596,2698,466,2232,2604,401,2203,2554,395,2159,-,-,-,6,4,2,2392,346,2046,1213,255,958,420,96,324,396,78,318,397,81,316,-,-,-,-,-,-,380,73,307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84285,33491,50794,28988,11915,17073,27205,10771,16434,28000,10738,17262,-,-,-,92,67,25,25853,9619,16234
103學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,海事,2282,1957,325,794,707,87,760,641,119,720,603,117,-,-,-,8,6,2,624,522,102,2085,1779,306,731,648,83,675,567,108,671,558,113,-,-,-,8,6,2,574,473,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197,178,19,63,59,4,85,74,11,49,45,4,-,-,-,-,-,-,50,49,1
103學年,劇藝,9349,3881,5468,3489,1380,2109,2956,1259,1697,2892,1233,1659,-,-,-,12,9,3,2533,1045,1488,400,122,278,136,40,96,135,43,92,123,35,88,-,-,-,6,4,2,151,42,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,99,130,70,30,40,78,37,41,81,32,49,-,-,-,-,-,-,-,-,-,8720,3660,5060,3283,1310,1973,2743,1179,1564,2688,1166,1522,-,-,-,6,5,1,2382,1003,1379
102學年,總計,360206,201077,159129,120404,68687,51717,120972,67101,53871,117605,64537,53068,801,408,393,424,344,80,111933,60618,51315,98252,57578,40674,33846,20042,13804,32705,19120,13585,31587,18318,13269,-,-,-,114,98,16,30309,17157,13152,35647,23347,12300,11759,7747,4012,11795,7774,4021,11419,7443,3976,628,341,287,46,42,4,10937,6970,3967,1548,595,953,618,246,372,586,225,361,344,124,220,-,-,-,-,-,-,72,36,36,224759,119557,105202,74181,40652,33529,75886,39982,35904,74255,38652,35603,173,67,106,264,204,60,70615,36455,34160
102學年,農業,10974,5196,5778,3838,1861,1977,3716,1772,1944,3403,1550,1853,-,-,-,17,13,4,3257,1471,1786,10107,4770,5337,3477,1687,1790,3416,1618,1798,3197,1452,1745,-,-,-,17,13,4,3066,1398,1668,663,303,360,249,107,142,208,98,110,206,98,108,-,-,-,-,-,-,191,73,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204,123,81,112,67,45,92,56,36,-,-,-,-,-,-,-,-,-,-,-,-
102學年,工業,124482,112543,11939,41819,38048,3771,41006,37091,3915,41214,36988,4226,270,253,17,173,163,10,39512,35539,3973,46220,39830,6390,16020,13880,2140,15263,13178,2085,14877,12718,2159,-,-,-,60,54,6,14143,12018,2125,21464,19156,2308,7070,6346,724,7132,6361,771,6952,6158,794,270,253,17,40,38,2,6566,5802,764,131,108,23,81,65,16,50,43,7,-,-,-,-,-,-,-,-,-,-,-,-,56667,53449,3218,18648,17757,891,18561,17509,1052,19385,18112,1273,-,-,-,73,71,2,18803,17719,1084
102學年,商業,117883,41888,75995,37186,13664,23522,40059,14302,25757,40019,13707,26312,531,155,376,88,60,28,38467,12331,26136,31586,9813,21773,10725,3327,7398,10609,3297,7312,10242,3181,7061,-,-,-,10,8,2,9935,2868,7067,12322,3649,8673,4029,1214,2815,4056,1234,2822,3873,1109,2764,358,88,270,6,4,2,3808,1014,2794,1253,415,838,455,142,313,454,149,305,344,124,220,-,-,-,-,-,-,72,36,36,72722,28011,44711,21977,8981,12996,24940,9622,15318,25560,9293,16267,173,67,106,72,48,24,24652,8413,16239
102學年,家事,95561,35595,59966,33467,12974,20493,32381,11984,20397,29595,10554,19041,-,-,-,118,83,35,28006,9922,18084,7744,1212,6532,2702,434,2268,2582,399,2183,2453,374,2079,-,-,-,7,5,2,2396,346,2050,1198,239,959,411,80,331,399,81,318,388,78,310,-,-,-,-,-,-,372,81,291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86619,34144,52475,30354,12460,17894,29400,11504,17896,26754,10102,16652,-,-,-,111,78,33,25238,9495,15743
102學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,海事,2376,2012,364,877,754,123,761,639,122,721,603,118,-,-,-,17,16,1,658,532,126,2175,1826,349,782,669,113,711,593,118,668,551,117,-,-,-,14,13,1,596,472,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201,186,15,95,85,10,50,46,4,53,52,1,-,-,-,3,3,-,62,60,2
102學年,劇藝,8930,3843,5087,3217,1386,1831,3049,1313,1736,2653,1135,1518,-,-,-,11,9,2,2033,823,1210,420,127,293,140,45,95,124,35,89,150,42,108,-,-,-,6,5,1,173,55,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,72,92,82,39,43,82,33,49,-,-,-,-,-,-,-,-,-,-,-,-,8346,3644,4702,2995,1302,1693,2843,1245,1598,2503,1093,1410,-,-,-,5,4,1,1860,768,1092
101學年,總計,369436,205292,164144,130655,73666,56989,122179,67624,54555,115410,63284,52126,858,434,424,334,284,50,109863,59472,50391,106334,63156,43178,37106,22341,14765,35229,20966,14263,33889,19751,14138,-,-,-,110,98,12,33043,18970,14073,27646,17563,10083,9288,5961,3327,8960,5742,3218,8724,5491,3233,663,358,305,11,11,-,8324,5177,3147,1024,396,628,599,229,370,353,131,222,72,36,36,-,-,-,-,-,-,74,33,41,234432,124177,110255,83662,45135,38527,77637,40785,36852,72725,38006,34719,195,76,119,213,175,38,68422,35292,33130
101學年,農業,10775,5087,5688,3891,1900,1991,3513,1634,1879,3361,1545,1816,-,-,-,10,8,2,3430,1525,1905,10302,4845,5457,3668,1781,1887,3384,1568,1816,3240,1488,1752,-,-,-,10,8,2,3306,1475,1831,376,181,195,126,58,68,129,66,63,121,57,64,-,-,-,-,-,-,124,50,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,61,36,97,61,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,工業,128263,115724,12539,44212,40111,4101,42761,38426,4335,40836,36764,4072,297,270,27,157,153,4,38841,34968,3873,52085,44741,7344,18142,15707,2435,17348,14869,2479,16519,14093,2426,-,-,-,76,72,4,15980,13561,2419,15767,14154,1613,5306,4775,531,5187,4654,533,4967,4445,522,297,270,27,10,10,-,4699,4242,457,52,45,7,52,45,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60359,56784,3575,20712,19584,1128,20226,18903,1323,19350,18226,1124,-,-,-,71,71,-,18162,17165,997
101學年,商業,123486,43129,80357,42315,15582,26733,41123,14339,26784,39410,12988,26422,561,164,397,77,56,21,37690,12160,25530,33406,10335,23071,11584,3671,7913,11039,3479,7560,10770,3175,7595,-,-,-,13,10,3,10534,3024,7510,10561,3061,7500,3532,1069,2463,3340,974,2366,3322,929,2393,366,88,278,1,1,-,3200,832,2368,887,316,571,462,149,313,353,131,222,72,36,36,-,-,-,-,-,-,74,33,41,78632,29417,49215,26737,10693,16044,26391,9755,16636,25246,8848,16398,195,76,119,63,45,18,23882,8271,15611
101學年,家事,96273,35811,60462,36019,13876,22143,31239,11389,19850,28938,10490,18448,-,-,-,77,56,21,27352,9500,17852,7855,1263,6592,2761,455,2306,2587,414,2173,2505,393,2112,-,-,-,2,1,1,2434,354,2080,942,167,775,324,59,265,304,48,256,314,60,254,-,-,-,-,-,-,301,53,248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87476,34381,53095,32934,13362,19572,28348,10927,17421,26119,10037,16082,-,-,-,75,55,20,24617,9093,15524
101學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,海事,2400,1996,404,875,737,138,774,646,128,746,608,138,-,-,-,5,5,-,698,567,131,2230,1834,396,826,691,135,720,593,127,679,545,134,-,-,-,5,5,-,641,514,127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,162,8,49,46,3,54,53,1,67,63,4,-,-,-,-,-,-,57,53,4
101學年,劇藝,8239,3545,4694,3343,1460,1883,2769,1190,1579,2119,889,1230,-,-,-,8,6,2,1852,752,1100,456,138,318,125,36,89,151,43,108,176,57,119,-,-,-,4,2,2,148,42,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,35,50,85,35,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7698,3372,4326,3133,1389,1744,2618,1147,1471,1943,832,1111,-,-,-,4,4,-,1704,710,994
