學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,總計4年級,國立計,國立1年級,國立2年級,國立3年級,國立4年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,直轄市立4年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,縣市立4年級,私立計,私立1年級,私立2年級,私立3年級,私立4年級
97學年,臺南縣,327,110,110,107,-,233,78,80,75,-,-,-,-,-,-,-,-,-,-,-,94,32,30,32,-
97學年,高雄縣,419,144,139,136,-,153,51,51,51,-,-,-,-,-,-,-,-,-,-,-,266,93,88,85,-
97學年,屏東縣,277,98,90,89,-,148,50,49,49,-,-,-,-,-,-,-,-,-,-,-,129,48,41,40,-
97學年,臺東縣,64,22,21,21,-,43,15,14,14,-,-,-,-,-,-,-,-,-,-,-,21,7,7,7,-
97學年,花蓮縣,168,55,55,58,-,122,40,41,41,-,-,-,-,-,-,-,-,-,-,-,46,15,14,17,-
97學年,澎湖縣,54,17,18,19,-,54,17,18,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,207,72,67,68,-,74,28,23,23,-,-,-,-,-,-,-,-,-,-,-,133,44,44,45,-
97學年,新竹市,112,40,37,35,-,49,17,16,16,-,-,-,-,-,-,-,-,-,-,-,63,23,21,19,-
97學年,臺中市,410,151,130,129,-,177,59,59,59,-,-,-,-,-,-,-,-,-,-,-,233,92,71,70,-
97學年,嘉義市,221,79,72,70,-,126,42,42,42,-,-,-,-,-,-,-,-,-,-,-,95,37,30,28,-
97學年,臺南市,341,117,113,111,-,90,30,30,30,-,-,-,-,-,-,-,-,-,-,-,251,87,83,81,-
97學年,金門縣,35,12,12,11,-,35,12,12,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
