學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
106學年,彰化縣,35163,19740,15423,8235,4182,4053,-,-,-,26928,15558,11370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29967,17120,12847,4895,2540,2355,-,-,-,25072,14580,10492,4565,2215,2350,2863,1356,1507,-,-,-,1702,859,843,631,405,226,477,286,191,-,-,-,154,119,35
106學年,南投縣,11578,6605,4973,6361,3054,3307,-,-,-,5217,3551,1666,906,730,176,-,-,-,-,-,-,906,730,176,-,-,-,-,-,-,-,-,-,-,-,-,8773,4900,3873,4675,2194,2481,-,-,-,4098,2706,1392,1553,779,774,1340,664,676,-,-,-,213,115,98,346,196,150,346,196,150,-,-,-,-,-,-
106學年,雲林縣,25198,16166,9032,19903,13637,6266,-,-,-,5295,2529,2766,-,-,-,-,-,-,-,-,-,-,-,-,242,131,111,-,-,-,-,-,-,242,131,111,20550,13109,7441,15687,10817,4870,-,-,-,4863,2292,2571,3944,2616,1328,3754,2510,1244,-,-,-,190,106,84,462,310,152,462,310,152,-,-,-,-,-,-
106學年,嘉義縣,24088,13477,10611,11512,6492,5020,-,-,-,12576,6985,5591,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18061,10087,7974,6728,3670,3058,-,-,-,11333,6417,4916,5407,2970,2437,4196,2422,1774,-,-,-,1211,548,663,620,420,200,588,400,188,-,-,-,32,20,12
106學年,屏東縣,39787,16227,23560,20150,9622,10528,-,-,-,19637,6605,13032,6893,1420,5473,-,-,-,-,-,-,6893,1420,5473,457,188,269,-,-,-,-,-,-,457,188,269,28455,12611,15844,16734,7867,8867,-,-,-,11721,4744,6977,3682,1814,1868,3116,1561,1555,-,-,-,566,253,313,300,194,106,300,194,106,-,-,-,-,-,-
106學年,臺東縣,5860,2865,2995,5860,2865,2995,-,-,-,-,-,-,587,267,320,587,267,320,-,-,-,-,-,-,657,480,177,657,480,177,-,-,-,-,-,-,3699,1810,1889,3699,1810,1889,-,-,-,-,-,-,876,294,582,876,294,582,-,-,-,-,-,-,41,14,27,41,14,27,-,-,-,-,-,-
106學年,花蓮縣,18762,8365,10397,10154,5058,5096,-,-,-,8608,3307,5301,1451,225,1226,-,-,-,-,-,-,1451,225,1226,220,101,119,-,-,-,-,-,-,220,101,119,13968,6452,7516,7659,3747,3912,-,-,-,6309,2705,3604,2667,1304,1363,2149,1087,1062,-,-,-,518,217,301,456,283,173,346,224,122,-,-,-,110,59,51
106學年,澎湖縣,3008,1718,1290,3008,1718,1290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2873,1644,1229,2873,1644,1229,-,-,-,-,-,-,135,74,61,135,74,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,15211,8312,6899,8652,5889,2763,-,-,-,6559,2423,4136,1785,515,1270,-,-,-,-,-,-,1785,515,1270,-,-,-,-,-,-,-,-,-,-,-,-,11021,6240,4781,6401,4396,2005,-,-,-,4620,1844,2776,2113,1334,779,1959,1270,689,-,-,-,154,64,90,292,223,69,292,223,69,-,-,-,-,-,-
106學年,新竹市,48359,28550,19809,30833,19552,11281,-,-,-,17526,8998,8528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30250,16693,13557,14347,8573,5774,-,-,-,15903,8120,7783,14619,9167,5452,13098,8367,4731,-,-,-,1521,800,721,3490,2690,800,3388,2612,776,-,-,-,102,78,24
106學年,嘉義市,18014,7731,10283,12399,6405,5994,-,-,-,5615,1326,4289,3706,540,3166,-,-,-,-,-,-,3706,540,3166,18,9,9,-,-,-,-,-,-,18,9,9,11816,6077,5739,9925,5300,4625,-,-,-,1891,777,1114,2293,1007,1286,2293,1007,1286,-,-,-,-,-,-,181,98,83,181,98,83,-,-,-,-,-,-
106學年,金門縣,4501,2427,2074,4501,2427,2074,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4213,2236,1977,4213,2236,1977,-,-,-,-,-,-,288,191,97,288,191,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,1309441,646866,662575,430049,235024,195025,7631,3165,4466,871761,408677,463084,88425,21859,66566,9043,2288,6755,-,-,-,79382,19571,59811,7259,3754,3505,1296,575,721,-,-,-,5963,3179,2784,1015398,508206,507192,284139,152852,131287,5193,2347,2846,726066,353007,373059,169538,93583,75955,113269,64023,49246,2183,712,1471,54086,28848,25238,28821,19464,9357,22302,15286,7016,255,106,149,6264,4072,2192
105學年,新北市,157674,76094,81580,15449,6225,9224,-,-,-,142225,69869,72356,12741,4608,8133,-,-,-,-,-,-,12741,4608,8133,1058,573,485,-,-,-,-,-,-,1058,573,485,130373,64069,66304,12144,4702,7442,-,-,-,118229,59367,58862,12219,6068,6151,3013,1347,1666,-,-,-,9206,4721,4485,1283,776,507,292,176,116,-,-,-,991,600,391
105學年,臺北市,267043,125005,142038,112137,57475,54662,7631,3165,4466,147275,64365,82910,10635,2739,7896,2072,550,1522,-,-,-,8563,2189,6374,818,308,510,44,24,20,-,-,-,774,284,490,195051,89175,105876,64154,31290,32864,5193,2347,2846,125704,55538,70166,49868,25913,23955,36809,19650,17159,2183,712,1471,10876,5551,5325,10671,6870,3801,9058,5961,3097,255,106,149,1358,803,555
105學年,桃園市,106343,56524,49819,14380,9344,5036,-,-,-,91963,47180,44783,7132,978,6154,-,-,-,-,-,-,7132,978,6154,173,102,71,-,-,-,-,-,-,173,102,71,83570,45409,38161,7854,4994,2860,-,-,-,75716,40415,35301,13042,8275,4767,5319,3466,1853,-,-,-,7723,4809,2914,2426,1760,666,1207,884,323,-,-,-,1219,876,343
105學年,臺中市,191224,89807,101417,48183,24562,23621,-,-,-,143041,65245,77796,3962,756,3206,3687,731,2956,-,-,-,275,25,250,365,101,264,166,15,151,-,-,-,199,86,113,165410,76958,88452,34958,18351,16607,-,-,-,130452,58607,71845,18771,10148,8623,8203,4657,3546,-,-,-,10568,5491,5077,2716,1844,872,1169,808,361,-,-,-,1547,1036,511
105學年,臺南市,128882,62466,66416,30471,16801,13670,-,-,-,98411,45665,52746,9734,1631,8103,1936,183,1753,-,-,-,7798,1448,6350,488,192,296,170,15,155,-,-,-,318,177,141,102624,51180,51444,16228,9326,6902,-,-,-,86396,41854,44542,13733,7868,5865,9991,5805,4186,-,-,-,3742,2063,1679,2303,1595,708,2146,1472,674,-,-,-,157,123,34
105學年,高雄市,148244,73114,75130,54354,30709,23645,-,-,-,93890,42405,51485,16376,3864,12512,725,521,204,-,-,-,15651,3343,12308,1821,1188,633,276,90,186,-,-,-,1545,1098,447,111080,57049,54031,38927,21547,17380,-,-,-,72153,35502,36651,16581,9420,7161,12560,7273,5287,-,-,-,4021,2147,1874,2386,1593,793,1866,1278,588,-,-,-,520,315,205
105學年,宜蘭縣,14458,7137,7321,5487,3581,1906,-,-,-,8971,3556,5415,4192,1250,2942,-,-,-,-,-,-,4192,1250,2942,1,1,-,-,-,-,-,-,-,1,1,-,8742,5004,3738,4802,3092,1710,-,-,-,3940,1912,2028,1458,846,612,675,480,195,-,-,-,783,366,417,65,36,29,10,9,1,-,-,-,55,27,28
105學年,新竹縣,16395,10084,6311,-,-,-,-,-,-,16395,10084,6311,946,555,391,-,-,-,-,-,-,946,555,391,212,153,59,-,-,-,-,-,-,212,153,59,14616,8904,5712,-,-,-,-,-,-,14616,8904,5712,621,472,149,-,-,-,-,-,-,621,472,149,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,20832,9813,11019,7875,5361,2514,-,-,-,12957,4452,8505,6196,1383,4813,-,-,-,-,-,-,6196,1383,4813,581,187,394,-,-,-,-,-,-,581,187,394,13329,7770,5559,7448,5058,2390,-,-,-,5881,2712,3169,717,464,253,418,294,124,-,-,-,299,170,129,9,9,-,9,9,-,-,-,-,-,-,-
105學年,彰化縣,37422,21139,16283,8192,4147,4045,-,-,-,29230,16992,12238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32237,18494,13743,4864,2518,2346,-,-,-,27373,15976,11397,4562,2250,2312,2846,1345,1501,-,-,-,1716,905,811,623,395,228,482,284,198,-,-,-,141,111,30
105學年,南投縣,12191,7059,5132,6353,3109,3244,-,-,-,5838,3950,1888,1026,818,208,-,-,-,-,-,-,1026,818,208,-,-,-,-,-,-,-,-,-,-,-,-,9171,5186,3985,4572,2168,2404,-,-,-,4599,3018,1581,1647,862,785,1434,748,686,-,-,-,213,114,99,347,193,154,347,193,154,-,-,-,-,-,-
105學年,雲林縣,25729,16313,9416,19843,13524,6319,-,-,-,5886,2789,3097,-,-,-,-,-,-,-,-,-,-,-,-,282,146,136,-,-,-,-,-,-,282,146,136,20923,13190,7733,15504,10645,4859,-,-,-,5419,2545,2874,4046,2659,1387,3861,2561,1300,-,-,-,185,98,87,478,318,160,478,318,160,-,-,-,-,-,-
105學年,嘉義縣,24448,13763,10685,11535,6542,4993,-,-,-,12913,7221,5692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18285,10273,8012,6672,3632,3040,-,-,-,11613,6641,4972,5555,3068,2487,4293,2515,1778,-,-,-,1262,553,709,608,422,186,570,395,175,-,-,-,38,27,11
105學年,屏東縣,41174,16680,24494,20220,9570,10650,-,-,-,20954,7110,13844,7495,1562,5933,-,-,-,-,-,-,7495,1562,5933,507,223,284,-,-,-,-,-,-,507,223,284,29162,12942,16220,16750,7840,8910,-,-,-,12412,5102,7310,3708,1755,1953,3168,1532,1636,-,-,-,540,223,317,302,198,104,302,198,104,-,-,-,-,-,-
105學年,臺東縣,5910,2862,3048,5910,2862,3048,-,-,-,-,-,-,623,303,320,623,303,320,-,-,-,-,-,-,640,431,209,640,431,209,-,-,-,-,-,-,3721,1819,1902,3721,1819,1902,-,-,-,-,-,-,886,294,592,886,294,592,-,-,-,-,-,-,40,15,25,40,15,25,-,-,-,-,-,-
105學年,花蓮縣,19426,8803,10623,10245,5125,5120,-,-,-,9181,3678,5503,1492,242,1250,-,-,-,-,-,-,1492,242,1250,281,135,146,-,-,-,-,-,-,281,135,146,14391,6735,7656,7597,3716,3881,-,-,-,6794,3019,3775,2787,1406,1381,2290,1186,1104,-,-,-,497,220,277,475,285,190,358,223,135,-,-,-,117,62,55
105學年,澎湖縣,3018,1695,1323,3018,1695,1323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2897,1625,1272,2897,1625,1272,-,-,-,-,-,-,121,70,51,121,70,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,15741,8560,7181,8707,5980,2727,-,-,-,7034,2580,4454,2172,623,1549,-,-,-,-,-,-,2172,623,1549,-,-,-,-,-,-,-,-,-,-,-,-,11086,6287,4799,6373,4387,1986,-,-,-,4713,1900,2813,2187,1418,769,2038,1361,677,-,-,-,149,57,92,296,232,64,296,232,64,-,-,-,-,-,-
105學年,新竹市,50315,29615,20700,30630,19562,11068,-,-,-,19685,10053,9632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32363,17765,14598,14484,8692,5792,-,-,-,17879,9073,8806,14350,9027,5323,12665,8139,4526,-,-,-,1685,888,797,3602,2823,779,3481,2731,750,-,-,-,121,92,29
105學年,嘉義市,18457,7960,10497,12545,6477,6068,-,-,-,5912,1483,4429,3703,547,3156,-,-,-,-,-,-,3703,547,3156,32,14,18,-,-,-,-,-,-,32,14,18,12118,6174,5944,9941,5252,4689,-,-,-,2177,922,1255,2413,1125,1288,2413,1125,1288,-,-,-,-,-,-,191,100,91,191,100,91,-,-,-,-,-,-
105學年,金門縣,4515,2373,2142,4515,2373,2142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4249,2198,2051,4249,2198,2051,-,-,-,-,-,-,266,175,91,266,175,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,1332445,660775,671670,428315,234656,193659,7573,3102,4471,896557,423017,473540,89143,21760,67383,9194,2307,6887,-,-,-,79949,19453,60496,8323,4230,4093,1533,598,935,-,-,-,6790,3632,3158,1035218,519902,515316,281947,151539,130408,5082,2295,2787,748189,366068,382121,170428,94884,75544,112726,64336,48390,2240,710,1530,55462,29838,25624,29333,19999,9334,22915,15876,7039,251,97,154,6167,4026,2141
104學年,新北市,161853,78786,83067,15249,6068,9181,-,-,-,146604,72718,73886,12601,4528,8073,-,-,-,-,-,-,12601,4528,8073,1536,900,636,-,-,-,-,-,-,1536,900,636,134237,66362,67875,12040,4613,7427,-,-,-,122197,61749,60448,12194,6218,5976,2937,1295,1642,-,-,-,9257,4923,4334,1285,778,507,272,160,112,-,-,-,1013,618,395
104學年,臺北市,267363,125189,142174,110531,56700,53831,7573,3102,4471,149259,65387,83872,10511,2663,7848,2061,538,1523,-,-,-,8450,2125,6325,1158,429,729,213,85,128,-,-,-,945,344,601,195535,89366,106169,62977,30674,32303,5082,2295,2787,127476,56397,71079,49459,25823,23636,36129,19344,16785,2240,710,1530,11090,5769,5321,10700,6908,3792,9151,6059,3092,251,97,154,1298,752,546
104學年,桃園市,109869,58728,51141,14323,9437,4886,-,-,-,95546,49291,46255,7392,873,6519,-,-,-,-,-,-,7392,873,6519,288,164,124,-,-,-,-,-,-,288,164,124,86384,47354,39030,7813,5048,2765,-,-,-,78571,42306,36265,13361,8537,4824,5277,3483,1794,-,-,-,8084,5054,3030,2444,1800,644,1233,906,327,-,-,-,1211,894,317
104學年,臺中市,192593,90345,102248,48554,24755,23799,-,-,-,144039,65590,78449,4243,805,3438,3825,742,3083,-,-,-,418,63,355,621,199,422,256,22,234,-,-,-,365,177,188,166024,77157,88867,34960,18296,16664,-,-,-,131064,58861,72203,18931,10298,8633,8259,4815,3444,-,-,-,10672,5483,5189,2774,1886,888,1254,880,374,-,-,-,1520,1006,514
104學年,臺南市,132736,64908,67828,30708,17095,13613,-,-,-,102028,47813,54215,9449,1541,7908,1929,174,1755,-,-,-,7520,1367,6153,574,230,344,183,16,167,-,-,-,391,214,177,106265,53285,52980,16239,9351,6888,-,-,-,90026,43934,46092,13924,8052,5872,9976,5866,4110,-,-,-,3948,2186,1762,2524,1800,724,2381,1688,693,-,-,-,143,112,31
104學年,高雄市,149988,74292,75696,54285,30793,23492,-,-,-,95703,43499,52204,16581,3870,12711,719,510,209,-,-,-,15862,3360,12502,1493,947,546,278,92,186,-,-,-,1215,855,360,112806,58252,54554,38718,21427,17291,-,-,-,74088,36825,37263,16683,9608,7075,12659,7466,5193,-,-,-,4024,2142,1882,2425,1615,810,1911,1298,613,-,-,-,514,317,197
104學年,宜蘭縣,14725,7274,7451,5488,3606,1882,-,-,-,9237,3668,5569,4344,1281,3063,-,-,-,-,-,-,4344,1281,3063,-,-,-,-,-,-,-,-,-,-,-,-,8762,5036,3726,4793,3100,1693,-,-,-,3969,1936,2033,1553,916,637,681,495,186,-,-,-,872,421,451,66,41,25,14,11,3,-,-,-,52,30,22
104學年,新竹縣,17525,10618,6907,-,-,-,-,-,-,17525,10618,6907,1136,644,492,-,-,-,-,-,-,1136,644,492,320,224,96,-,-,-,-,-,-,320,224,96,15458,9290,6168,-,-,-,-,-,-,15458,9290,6168,611,460,151,-,-,-,-,-,-,611,460,151,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,21352,10160,11192,7894,5394,2500,-,-,-,13458,4766,8692,6031,1324,4707,-,-,-,-,-,-,6031,1324,4707,600,232,368,-,-,-,-,-,-,600,232,368,13990,8141,5849,7445,5081,2364,-,-,-,6545,3060,3485,722,455,267,440,305,135,-,-,-,282,150,132,9,8,1,9,8,1,-,-,-,-,-,-
104學年,彰化縣,38990,22178,16812,8124,4162,3962,-,-,-,30866,18016,12850,-,-,-,-,-,-,-,-,-,-,-,-,13,12,1,-,-,-,-,-,-,13,12,1,33618,19418,14200,4850,2534,2316,-,-,-,28768,16884,11884,4754,2367,2387,2810,1352,1458,-,-,-,1944,1015,929,605,381,224,464,276,188,-,-,-,141,105,36
104學年,南投縣,12458,7283,5175,6139,3033,3106,-,-,-,6319,4250,2069,1088,847,241,-,-,-,-,-,-,1088,847,241,5,4,1,-,-,-,-,-,-,5,4,1,9380,5390,3990,4393,2099,2294,-,-,-,4987,3291,1696,1668,863,805,1429,755,674,-,-,-,239,108,131,317,179,138,317,179,138,-,-,-,-,-,-
104學年,雲林縣,26340,16572,9768,19924,13470,6454,-,-,-,6416,3102,3314,-,-,-,-,-,-,-,-,-,-,-,-,297,155,142,-,-,-,-,-,-,297,155,142,21357,13336,8021,15426,10490,4936,-,-,-,5931,2846,3085,4182,2737,1445,3994,2636,1358,-,-,-,188,101,87,504,344,160,504,344,160,-,-,-,-,-,-
104學年,嘉義縣,25071,14052,11019,11679,6587,5092,-,-,-,13392,7465,5927,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,18762,10470,8292,6727,3627,3100,-,-,-,12035,6843,5192,5679,3151,2528,4361,2557,1804,-,-,-,1318,594,724,627,429,198,591,403,188,-,-,-,36,26,10
104學年,屏東縣,42083,17131,24952,20201,9476,10725,-,-,-,21882,7655,14227,7708,1654,6054,-,-,-,-,-,-,7708,1654,6054,469,191,278,-,-,-,-,-,-,469,191,278,29918,13264,16654,16729,7685,9044,-,-,-,13189,5579,7610,3692,1819,1873,3176,1588,1588,-,-,-,516,231,285,296,203,93,296,203,93,-,-,-,-,-,-
104學年,臺東縣,5963,2890,3073,5963,2890,3073,-,-,-,-,-,-,660,343,317,660,343,317,-,-,-,-,-,-,603,383,220,603,383,220,-,-,-,-,-,-,3719,1831,1888,3719,1831,1888,-,-,-,-,-,-,943,317,626,943,317,626,-,-,-,-,-,-,38,16,22,38,16,22,-,-,-,-,-,-
104學年,花蓮縣,19610,9002,10608,10174,5154,5020,-,-,-,9436,3848,5588,1449,203,1246,-,-,-,-,-,-,1449,203,1246,314,144,170,-,-,-,-,-,-,314,144,170,14519,6902,7617,7477,3697,3780,-,-,-,7042,3205,3837,2849,1464,1385,2322,1226,1096,-,-,-,527,238,289,479,289,190,375,231,144,-,-,-,104,58,46
104學年,澎湖縣,2984,1644,1340,2984,1644,1340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2869,1581,1288,2869,1581,1288,-,-,-,-,-,-,115,63,52,115,63,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,16077,8649,7428,8609,5941,2668,-,-,-,7468,2708,4760,2357,665,1692,-,-,-,-,-,-,2357,665,1692,-,-,-,-,-,-,-,-,-,-,-,-,11261,6339,4922,6288,4339,1949,-,-,-,4973,2000,2973,2138,1397,741,2000,1354,646,-,-,-,138,43,95,321,248,73,321,248,73,-,-,-,-,-,-
104學年,新竹市,51748,30643,21105,30404,19600,10804,-,-,-,21344,11043,10301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33782,18681,15101,14325,8666,5659,-,-,-,19457,10015,9442,14232,8979,5253,12480,8059,4421,-,-,-,1752,920,832,3734,2983,751,3599,2875,724,-,-,-,135,108,27
104學年,嘉義市,18728,8082,10646,12693,6502,6191,-,-,-,6035,1580,4455,3593,519,3074,-,-,-,-,-,-,3593,519,3074,29,14,15,-,-,-,-,-,-,29,14,15,12435,6272,6163,10022,5225,4797,-,-,-,2413,1047,1366,2486,1186,1300,2486,1186,1300,-,-,-,-,-,-,185,91,94,185,91,94,-,-,-,-,-,-
104學年,金門縣,4389,2349,2040,4389,2349,2040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4137,2175,1962,4137,2175,1962,-,-,-,-,-,-,252,174,78,252,174,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,1339849,666128,673721,427229,233648,193581,7426,3096,4330,905194,429384,475810,89484,21456,68028,9138,2214,6924,-,-,-,80346,19242,61104,9786,4846,4940,2076,828,1248,-,-,-,7710,4018,3692,1037062,522090,514972,278883,149175,129708,4971,2275,2696,753208,370640,382568,172968,96694,76274,112986,64552,48434,2219,717,1502,57763,31425,26338,30549,21042,9507,24146,16879,7267,236,104,132,6167,4059,2108
103學年,新北市,156668,76136,80532,15016,5868,9148,-,-,-,141652,70268,71384,11083,3664,7419,-,-,-,-,-,-,11083,3664,7419,1530,747,783,-,-,-,-,-,-,1530,747,783,130494,64617,65877,11844,4432,7412,-,-,-,118650,60185,58465,12309,6346,5963,2906,1273,1633,-,-,-,9403,5073,4330,1252,762,490,266,163,103,-,-,-,986,599,387
