學年別,登記資格別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
102學年,長期代理教師,9749,1815,7934,61,12,49,4808,853,3955,4659,909,3750,221,41,180,7390,2559,4831,-,-,-,3811,1262,2549,3520,1276,2244,59,21,38
102學年,其他教師,25,17,8,-,-,-,5,2,3,19,15,4,1,-,1,45,31,14,-,-,-,32,19,13,12,11,1,1,1,-
101學年,總計,97466,29626,67840,727,158,569,52982,15024,37958,42084,14123,27961,1673,321,1352,51872,16474,35398,-,-,-,28665,8467,20198,22652,7762,14890,555,245,310
101學年,專任合格教師,88771,28025,60746,672,149,523,48394,14202,34192,38271,13388,24883,1434,286,1148,45320,14239,31081,-,-,-,25181,7351,17830,19634,6659,12975,505,229,276
101學年,長期代理教師,8609,1574,7035,55,9,46,4562,817,3745,3771,715,3056,221,33,188,6493,2203,4290,-,-,-,3469,1109,2360,2974,1078,1896,50,16,34
101學年,其他教師,86,27,59,-,-,-,26,5,21,42,20,22,18,2,16,59,32,27,-,-,-,15,7,8,44,25,19,-,-,-
100學年,總計,98559,30233,68326,705,153,552,53812,15420,38392,42370,14355,28015,1672,305,1367,51200,16304,34896,-,-,-,28253,8350,19903,22413,7734,14679,534,220,314
100學年,專任合格教師,90100,28805,61295,668,146,522,49204,14672,34532,38824,13718,25106,1404,269,1135,45306,14432,30874,-,-,-,25258,7453,17805,19550,6772,12778,498,207,291
100學年,長期代理教師,8338,1392,6946,37,7,30,4575,741,3834,3487,617,2870,239,27,212,5860,1853,4007,-,-,-,2984,893,2091,2840,947,1893,36,13,23
100學年,其他教師,121,36,85,-,-,-,33,7,26,59,20,39,29,9,20,34,19,15,-,-,-,11,4,7,23,15,8,-,-,-
99學年,總計,99562,30859,68703,709,155,554,15875,3982,11893,81313,26419,54894,1665,303,1362,51965,16582,35383,-,-,-,9005,2463,6542,42421,13884,28537,539,235,304
99學年,專任合格教師,92171,29667,62504,677,150,527,15098,3856,11242,75031,25400,49631,1365,261,1104,46048,14692,31356,-,-,-,8137,2209,5928,37406,12260,25146,505,223,282
99學年,長期代理教師,7264,1152,6112,32,5,27,777,126,651,6213,990,5223,242,31,211,5853,1858,3995,-,-,-,859,250,609,4960,1596,3364,34,12,22
99學年,其他教師,127,40,87,-,-,-,-,-,-,69,29,40,58,11,47,64,32,32,-,-,-,9,4,5,55,28,27,-,-,-
98學年,總計,99155,31089,68066,673,141,532,16104,4058,12046,80780,26594,54186,1598,296,1302,51899,16672,35227,-,-,-,9017,2493,6524,42314,13932,28382,568,247,321
98學年,專任合格教師,93700,30241,63459,630,135,495,15409,3944,11465,76348,25904,50444,1313,258,1055,46783,15021,31762,-,-,-,8252,2258,5994,37990,12526,25464,541,237,304
98學年,長期代理教師,5274,796,4478,42,5,37,690,112,578,4291,645,3646,251,34,217,4976,1582,3394,-,-,-,754,229,525,4200,1344,2856,22,9,13
98學年,其他教師,181,52,129,1,1,-,5,2,3,141,45,96,34,4,30,140,69,71,-,-,-,11,6,5,124,62,62,5,1,4
97學年,總計,100206,31551,68655,679,144,535,16404,4111,12293,81558,27009,54549,1565,287,1278,51777,16693,35084,-,-,-,9005,2483,6522,42192,13946,28246,580,264,316
97學年,專任合格教師,94958,30778,64180,655,138,517,15741,4001,11740,77297,26391,50906,1265,248,1017,47158,15182,31976,-,-,-,8337,2296,6041,38279,12639,25640,542,247,295
97學年,長期代理教師,5109,741,4368,24,6,18,661,108,553,4165,594,3571,259,33,226,4413,1422,2991,-,-,-,665,187,478,3710,1218,2492,38,17,21
97學年,其他教師,139,32,107,-,-,-,2,2,-,96,24,72,41,6,35,206,89,117,-,-,-,3,-,3,203,89,114,-,-,-
""
