學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,專科計小計,專科計男,專科計女,專科國立小計,專科國立男,專科國立女,專科直轄市立小計,專科直轄市立男,專科直轄市立女,專科私立小計,專科私立男,專科私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
106學年,彰化縣,1225,828,397,373,253,120,-,-,-,852,575,277,952,667,285,351,237,114,-,-,-,601,430,171,250,140,110,21,15,6,-,-,-,229,125,104,21,20,1,1,1,-,-,-,-,20,19,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,2,1,1
106學年,南投縣,463,332,131,268,175,93,-,-,-,195,157,38,371,262,109,254,168,86,-,-,-,117,94,23,79,60,19,12,6,6,-,-,-,67,54,13,13,10,3,2,1,1,-,-,-,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,雲林縣,875,672,203,694,560,134,-,-,-,181,112,69,690,553,137,596,492,104,-,-,-,94,61,33,168,107,61,91,63,28,-,-,-,77,44,33,12,8,4,6,4,2,-,-,-,6,4,2,4,4,-,1,1,-,-,-,-,3,3,-,1,-,1,-,-,-,-,-,-,1,-,1
106學年,嘉義縣,982,684,298,542,393,149,-,-,-,440,291,149,862,616,246,522,383,139,-,-,-,340,233,107,108,59,49,20,10,10,-,-,-,88,49,39,9,7,2,-,-,-,-,-,-,9,7,2,2,1,1,-,-,-,-,-,-,2,1,1,1,1,-,-,-,-,-,-,-,1,1,-
106學年,屏東縣,1388,769,619,737,484,253,-,-,-,651,285,366,936,602,334,650,435,215,-,-,-,286,167,119,380,148,232,77,43,34,-,-,-,303,105,198,67,16,51,9,5,4,-,-,-,58,11,47,4,2,2,-,-,-,-,-,-,4,2,2,1,1,-,1,1,-,-,-,-,-,-,-
106學年,臺東縣,256,174,82,256,174,82,-,-,-,-,-,-,202,141,61,202,141,61,-,-,-,-,-,-,49,30,19,49,30,19,-,-,-,-,-,-,5,3,2,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,999,557,442,492,315,177,-,-,-,507,242,265,826,487,339,457,294,163,-,-,-,369,193,176,157,63,94,35,21,14,-,-,-,122,42,80,11,2,9,-,-,-,-,-,-,11,2,9,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,5,-
106學年,澎湖縣,123,83,40,123,83,40,-,-,-,-,-,-,103,72,31,103,72,31,-,-,-,-,-,-,16,7,9,16,7,9,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,654,457,197,414,347,67,-,-,-,240,110,130,479,371,108,385,330,55,-,-,-,94,41,53,139,63,76,23,16,7,-,-,-,116,47,69,22,10,12,5,-,5,-,-,-,17,10,7,9,9,-,-,-,-,-,-,-,9,9,-,5,4,1,1,1,-,-,-,-,4,3,1
106學年,新竹市,2164,1543,621,1546,1166,380,-,-,-,618,377,241,1925,1408,517,1473,1121,352,-,-,-,452,287,165,212,117,95,65,40,25,-,-,-,147,77,70,20,12,8,8,5,3,-,-,-,12,7,5,2,2,-,-,-,-,-,-,-,2,2,-,5,4,1,-,-,-,-,-,-,5,4,1
106學年,嘉義市,711,420,291,515,358,157,-,-,-,196,62,134,516,350,166,462,329,133,-,-,-,54,21,33,153,59,94,45,25,20,-,-,-,108,34,74,40,9,31,8,4,4,-,-,-,32,5,27,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-
106學年,金門縣,149,108,41,149,108,41,-,-,-,-,-,-,136,98,38,136,98,38,-,-,-,-,-,-,11,8,3,11,8,3,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,48096,30958,17138,19228,13362,5866,329,178,151,28539,17418,11121,36342,24777,11565,16801,12009,4792,223,111,112,19318,12657,6661,9732,4978,4754,1905,1042,863,99,60,39,7728,3876,3852,1787,1011,776,471,273,198,7,7,-,1309,731,578,118,99,19,16,16,-,-,-,-,102,83,19,117,93,24,35,22,13,-,-,-,82,71,11
105學年,新北市,4975,3094,1881,529,324,205,-,-,-,4446,2770,1676,3512,2295,1217,416,258,158,-,-,-,3096,2037,1059,1304,693,611,94,54,40,-,-,-,1210,639,571,129,77,52,13,6,7,-,-,-,116,71,45,14,13,1,-,-,-,-,-,-,14,13,1,16,16,-,6,6,-,-,-,-,10,10,-
105學年,臺北市,10685,6767,3918,5716,3722,1994,329,178,151,4640,2867,1773,8521,5555,2966,5022,3363,1659,223,111,112,3276,2081,1195,1741,937,804,497,243,254,99,60,39,1145,634,511,383,245,138,178,102,76,7,7,-,198,136,62,8,6,2,4,4,-,-,-,-,4,2,2,32,24,8,15,10,5,-,-,-,17,14,3
105學年,桃園市,3984,2588,1396,747,577,170,-,-,-,3237,2011,1226,2980,2100,880,668,541,127,-,-,-,2312,1559,753,774,357,417,68,35,33,-,-,-,706,322,384,213,116,97,11,1,10,-,-,-,202,115,87,7,6,1,-,-,-,-,-,-,7,6,1,10,9,1,-,-,-,-,-,-,10,9,1
105學年,臺中市,6372,4128,2244,1761,1181,580,-,-,-,4611,2947,1664,4959,3343,1616,1411,1009,402,-,-,-,3548,2334,1214,1208,649,559,308,152,156,-,-,-,900,497,403,181,118,63,41,19,22,-,-,-,140,99,41,18,13,5,1,1,-,-,-,-,17,12,5,6,5,1,-,-,-,-,-,-,6,5,1
105學年,臺南市,4822,3091,1731,1778,1237,541,-,-,-,3044,1854,1190,3404,2352,1052,1497,1071,426,-,-,-,1907,1281,626,1097,541,556,150,80,70,-,-,-,947,461,486,288,175,113,116,79,37,-,-,-,172,96,76,16,14,2,3,3,-,-,-,-,13,11,2,17,9,8,12,4,8,-,-,-,5,5,-
105學年,高雄市,5313,3429,1884,2048,1503,545,-,-,-,3265,1926,1339,3835,2689,1146,1799,1345,454,-,-,-,2036,1344,692,1181,585,596,197,126,71,-,-,-,984,459,525,272,134,138,48,28,20,-,-,-,224,106,118,11,10,1,4,4,-,-,-,-,7,6,1,14,11,3,-,-,-,-,-,-,14,11,3
105學年,宜蘭縣,621,397,224,233,179,54,-,-,-,388,218,170,392,293,99,184,153,31,-,-,-,208,140,68,194,85,109,47,25,22,-,-,-,147,60,87,28,13,15,2,1,1,-,-,-,26,12,14,6,5,1,-,-,-,-,-,-,6,5,1,1,1,-,-,-,-,-,-,-,1,1,-
105學年,新竹縣,494,326,168,-,-,-,-,-,-,494,326,168,309,215,94,-,-,-,-,-,-,309,215,94,169,101,68,-,-,-,-,-,-,169,101,68,14,9,5,-,-,-,-,-,-,14,9,5,1,-,1,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,1,1,-
105學年,苗栗縣,708,408,300,292,220,72,-,-,-,416,188,228,386,266,120,222,177,45,-,-,-,164,89,75,260,115,145,61,36,25,-,-,-,199,79,120,52,19,33,8,6,2,-,-,-,44,13,31,9,7,2,1,1,-,-,-,-,8,6,2,1,1,-,-,-,-,-,-,-,1,1,-
105學年,彰化縣,1273,867,406,377,255,122,-,-,-,896,612,284,979,682,297,353,239,114,-,-,-,626,443,183,267,161,106,22,15,7,-,-,-,245,146,99,22,20,2,2,1,1,-,-,-,20,19,1,1,1,-,-,-,-,-,-,-,1,1,-,4,3,1,-,-,-,-,-,-,4,3,1
105學年,南投縣,464,333,131,266,174,92,-,-,-,198,159,39,371,261,110,253,167,86,-,-,-,118,94,24,81,62,19,13,7,6,-,-,-,68,55,13,12,10,2,-,-,-,-,-,-,12,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,882,683,199,700,567,133,-,-,-,182,116,66,694,561,133,600,499,101,-,-,-,94,62,32,173,112,61,93,63,30,-,-,-,80,49,31,10,6,4,6,4,2,-,-,-,4,2,2,4,4,-,1,1,-,-,-,-,3,3,-,1,-,1,-,-,-,-,-,-,1,-,1
105學年,嘉義縣,983,684,299,536,385,151,-,-,-,447,299,148,866,619,247,515,374,141,-,-,-,351,245,106,107,58,49,20,10,10,-,-,-,87,48,39,8,6,2,1,1,-,-,-,-,7,5,2,2,1,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,屏東縣,1422,795,627,739,488,251,-,-,-,683,307,376,952,616,336,650,438,212,-,-,-,302,178,124,402,158,244,79,44,35,-,-,-,323,114,209,62,17,45,9,5,4,-,-,-,53,12,41,4,2,2,-,-,-,-,-,-,4,2,2,2,2,-,1,1,-,-,-,-,1,1,-
105學年,臺東縣,249,169,80,249,169,80,-,-,-,-,-,-,195,138,57,195,138,57,-,-,-,-,-,-,51,30,21,51,30,21,-,-,-,-,-,-,3,1,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,997,551,446,492,311,181,-,-,-,505,240,265,814,476,338,454,288,166,-,-,-,360,188,172,161,63,98,36,21,15,-,-,-,125,42,83,17,7,10,1,1,-,-,-,-,16,6,10,3,3,-,1,1,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,2,2,-
105學年,澎湖縣,123,84,39,123,84,39,-,-,-,-,-,-,103,73,30,103,73,30,-,-,-,-,-,-,17,8,9,17,8,9,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,655,459,196,415,348,67,-,-,-,240,111,129,468,368,100,383,329,54,-,-,-,85,39,46,151,69,82,23,17,6,-,-,-,128,52,76,23,9,14,8,1,7,-,-,-,15,8,7,10,10,-,-,-,-,-,-,-,10,10,-,3,3,-,1,1,-,-,-,-,2,2,-
105學年,新竹市,2220,1576,644,1563,1171,392,-,-,-,657,405,252,1956,1431,525,1481,1123,358,-,-,-,475,308,167,235,125,110,72,41,31,-,-,-,163,84,79,22,14,8,10,7,3,-,-,-,12,7,5,2,2,-,-,-,-,-,-,-,2,2,-,5,4,1,-,-,-,-,-,-,5,4,1
105學年,嘉義市,709,421,288,519,359,160,-,-,-,190,62,128,514,346,168,463,326,137,-,-,-,51,20,31,149,62,87,47,28,19,-,-,-,102,34,68,43,10,33,9,5,4,-,-,-,34,5,29,1,1,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-
105學年,金門縣,145,108,37,145,108,37,-,-,-,-,-,-,132,98,34,132,98,34,-,-,-,-,-,-,10,7,3,10,7,3,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,48696,31428,17268,19362,13499,5863,337,178,159,28997,17751,11246,36417,24974,11443,16782,12037,4745,226,110,116,19409,12827,6582,10207,5198,5009,2020,1117,903,101,59,42,8086,4022,4064,1831,1058,773,521,311,210,10,9,1,1300,738,562,136,107,29,12,11,1,-,-,-,124,96,28,105,91,14,27,23,4,-,-,-,78,68,10
104學年,新北市,5078,3179,1899,542,335,207,-,-,-,4536,2844,1692,3527,2332,1195,426,268,158,-,-,-,3101,2064,1037,1376,729,647,94,53,41,-,-,-,1282,676,606,141,87,54,15,7,8,-,-,-,126,80,46,20,17,3,-,-,-,-,-,-,20,17,3,14,14,-,7,7,-,-,-,-,7,7,-
104學年,臺北市,10848,6891,3957,5840,3816,2024,337,178,159,4671,2897,1774,8586,5628,2958,5089,3430,1659,226,110,116,3271,2088,1183,1807,960,847,532,254,278,101,59,42,1174,647,527,415,272,143,200,117,83,10,9,1,205,146,59,8,5,3,2,2,-,-,-,-,6,3,3,32,26,6,17,13,4,-,-,-,15,13,2
104學年,桃園市,4065,2654,1411,754,584,170,-,-,-,3311,2070,1241,3021,2150,871,675,548,127,-,-,-,2346,1602,744,817,375,442,68,35,33,-,-,-,749,340,409,211,114,97,11,1,10,-,-,-,200,113,87,9,8,1,-,-,-,-,-,-,9,8,1,7,7,-,-,-,-,-,-,-,7,7,-
104學年,臺中市,6331,4106,2225,1764,1185,579,-,-,-,4567,2921,1646,4879,3300,1579,1383,996,387,-,-,-,3496,2304,1192,1234,669,565,326,165,161,-,-,-,908,504,404,192,118,74,53,22,31,-,-,-,139,96,43,19,13,6,2,2,-,-,-,-,17,11,6,7,6,1,-,-,-,-,-,-,7,6,1
104學年,臺南市,4839,3115,1724,1743,1231,512,-,-,-,3096,1884,1212,3370,2346,1024,1480,1058,422,-,-,-,1890,1288,602,1156,573,583,153,88,65,-,-,-,1003,485,518,288,178,110,110,85,25,-,-,-,178,93,85,20,13,7,-,-,-,-,-,-,20,13,7,5,5,-,-,-,-,-,-,-,5,5,-
104學年,高雄市,5385,3447,1938,2046,1497,549,-,-,-,3339,1950,1389,3844,2700,1144,1788,1333,455,-,-,-,2056,1367,689,1246,600,646,206,138,68,-,-,-,1040,462,578,270,127,143,49,23,26,-,-,-,221,104,117,12,10,2,3,3,-,-,-,-,9,7,2,13,10,3,-,-,-,-,-,-,13,10,3
104學年,宜蘭縣,635,411,224,239,184,55,-,-,-,396,227,169,402,305,97,187,156,31,-,-,-,215,149,66,203,90,113,50,27,23,-,-,-,153,63,90,24,10,14,2,1,1,-,-,-,22,9,13,5,5,-,-,-,-,-,-,-,5,5,-,1,1,-,-,-,-,-,-,-,1,1,-
104學年,新竹縣,524,347,177,-,-,-,-,-,-,524,347,177,326,230,96,-,-,-,-,-,-,326,230,96,178,103,75,-,-,-,-,-,-,178,103,75,16,10,6,-,-,-,-,-,-,16,10,6,2,2,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,2,2,-
104學年,苗栗縣,721,442,279,295,224,71,-,-,-,426,218,208,396,274,122,212,170,42,-,-,-,184,104,80,285,141,144,73,47,26,-,-,-,212,94,118,30,19,11,9,6,3,-,-,-,21,13,8,6,5,1,1,1,-,-,-,-,5,4,1,4,3,1,-,-,-,-,-,-,4,3,1
104學年,彰化縣,1299,894,405,381,255,126,-,-,-,918,639,279,1000,708,292,357,239,118,-,-,-,643,469,174,269,160,109,22,15,7,-,-,-,247,145,102,24,22,2,2,1,1,-,-,-,22,21,1,2,1,1,-,-,-,-,-,-,2,1,1,4,3,1,-,-,-,-,-,-,4,3,1
104學年,南投縣,463,335,128,262,174,88,-,-,-,201,161,40,371,264,107,252,169,83,-,-,-,119,95,24,77,59,18,8,4,4,-,-,-,69,55,14,12,10,2,-,-,-,-,-,-,12,10,2,3,2,1,2,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,889,695,194,698,573,125,-,-,-,191,122,69,688,560,128,593,497,96,-,-,-,95,63,32,186,124,62,98,70,28,-,-,-,88,54,34,9,7,2,6,5,1,-,-,-,3,2,1,5,4,1,1,1,-,-,-,-,4,3,1,1,-,1,-,-,-,-,-,-,1,-,1
104學年,嘉義縣,1013,697,316,543,392,151,-,-,-,470,305,165,896,636,260,520,380,140,-,-,-,376,256,120,108,54,54,21,10,11,-,-,-,87,44,43,8,6,2,2,2,-,-,-,-,6,4,2,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,屏東縣,1459,823,636,741,486,255,-,-,-,718,337,381,960,618,342,645,432,213,-,-,-,315,186,129,434,182,252,87,50,37,-,-,-,347,132,215,58,18,40,8,3,5,-,-,-,50,15,35,5,3,2,-,-,-,-,-,-,5,3,2,2,2,-,1,1,-,-,-,-,1,1,-
104學年,臺東縣,254,176,78,254,176,78,-,-,-,-,-,-,192,136,56,192,136,56,-,-,-,-,-,-,51,31,20,51,31,20,-,-,-,-,-,-,11,9,2,11,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,1041,575,466,509,325,184,-,-,-,532,250,282,835,494,341,470,302,168,-,-,-,365,192,173,177,67,110,37,21,16,-,-,-,140,46,94,19,5,14,1,1,-,-,-,-,18,4,14,6,5,1,1,1,-,-,-,-,5,4,1,4,4,-,-,-,-,-,-,-,4,4,-
104學年,澎湖縣,119,83,36,119,83,36,-,-,-,-,-,-,85,63,22,85,63,22,-,-,-,-,-,-,28,15,13,28,15,13,-,-,-,-,-,-,4,3,1,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-
104學年,基隆市,651,451,200,410,343,67,-,-,-,241,108,133,462,365,97,377,325,52,-,-,-,85,40,45,154,65,89,20,12,8,-,-,-,134,53,81,24,10,14,13,6,7,-,-,-,11,4,7,9,9,-,-,-,-,-,-,-,9,9,-,2,2,-,-,-,-,-,-,-,2,2,-
104學年,新竹市,2226,1578,648,1558,1169,389,-,-,-,668,409,259,1946,1430,516,1469,1120,349,-,-,-,477,310,167,250,126,124,76,38,38,-,-,-,174,88,86,26,18,8,13,11,2,-,-,-,13,7,6,3,3,-,-,-,-,-,-,-,3,3,-,1,1,-,-,-,-,-,-,-,1,1,-
104學年,嘉義市,716,421,295,524,359,165,-,-,-,192,62,130,507,339,168,458,319,139,-,-,-,49,20,29,158,66,92,57,35,22,-,-,-,101,31,70,46,12,34,9,5,4,-,-,-,37,7,30,1,1,-,-,-,-,-,-,-,1,1,-,4,3,1,-,-,-,-,-,-,4,3,1
104學年,金門縣,140,108,32,140,108,32,-,-,-,-,-,-,124,96,28,124,96,28,-,-,-,-,-,-,13,9,4,13,9,4,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,49357,31978,17379,19447,13576,5871,336,180,156,29574,18222,11352,36406,25165,11241,16715,12047,4668,221,109,112,19470,13009,6461,10753,5483,5270,2125,1172,953,105,62,43,8523,4249,4274,1933,1117,816,550,313,237,10,9,1,1373,795,578,144,117,27,19,17,2,-,-,-,125,100,25,121,96,25,38,27,11,-,-,-,83,69,14
103學年,新北市,4936,3121,1815,543,338,205,-,-,-,4393,2783,1610,3397,2269,1128,416,261,155,-,-,-,2981,2008,973,1355,734,621,106,65,41,-,-,-,1249,669,580,150,90,60,17,8,9,-,-,-,133,82,51,16,13,3,-,-,-,-,-,-,16,13,3,18,15,3,4,4,-,-,-,-,14,11,3
103學年,臺北市,11037,7036,4001,5848,3831,2017,336,180,156,4853,3025,1828,8557,5654,2903,5028,3410,1618,221,109,112,3308,2135,1173,1989,1057,932,585,282,303,105,62,43,1299,713,586,446,289,157,214,122,92,10,9,1,222,158,64,13,10,3,4,4,-,-,-,-,9,6,3,32,26,6,17,13,4,-,-,-,15,13,2
103學年,臺中市,6473,4200,2273,1804,1201,603,-,-,-,4669,2999,1670,4884,3332,1552,1390,1002,388,-,-,-,3494,2330,1164,1330,714,616,341,170,171,-,-,-,989,544,445,233,137,96,69,27,42,-,-,-,164,110,54,20,13,7,4,2,2,-,-,-,16,11,5,6,4,2,-,-,-,-,-,-,6,4,2
103學年,臺南市,5017,3247,1770,1760,1244,516,-,-,-,3257,2003,1254,3456,2417,1039,1487,1064,423,-,-,-,1969,1353,616,1235,611,624,153,86,67,-,-,-,1082,525,557,288,193,95,104,85,19,-,-,-,184,108,76,17,12,5,1,1,-,-,-,-,16,11,5,21,14,7,15,8,7,-,-,-,6,6,-
103學年,高雄市,5448,3497,1951,2080,1521,559,-,-,-,3368,1976,1392,3821,2702,1119,1782,1334,448,-,-,-,2039,1368,671,1301,631,670,238,155,83,-,-,-,1063,476,587,295,138,157,54,26,28,-,-,-,241,112,129,17,14,3,5,5,-,-,-,-,12,9,3,14,12,2,1,1,-,-,-,-,13,11,2
103學年,宜蘭縣,653,428,225,240,182,58,-,-,-,413,246,167,406,312,94,184,153,31,-,-,-,222,159,63,214,99,115,53,27,26,-,-,-,161,72,89,29,14,15,3,2,1,-,-,-,26,12,14,3,2,1,-,-,-,-,-,-,3,2,1,1,1,-,-,-,-,-,-,-,1,1,-
103學年,桃園縣,4146,2711,1435,754,588,166,-,-,-,3392,2123,1269,3047,2183,864,670,547,123,-,-,-,2377,1636,741,871,394,477,72,39,33,-,-,-,799,355,444,209,117,92,12,2,10,-,-,-,197,115,82,12,11,1,-,-,-,-,-,-,12,11,1,7,6,1,-,-,-,-,-,-,7,6,1
103學年,新竹縣,543,360,183,-,-,-,-,-,-,543,360,183,321,227,94,-,-,-,-,-,-,321,227,94,199,118,81,-,-,-,-,-,-,199,118,81,19,11,8,-,-,-,-,-,-,19,11,8,2,2,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,2,2,-
103學年,苗栗縣,789,482,307,293,226,67,-,-,-,496,256,240,443,309,134,221,181,40,-,-,-,222,128,94,306,146,160,60,37,23,-,-,-,246,109,137,31,19,12,11,7,4,-,-,-,20,12,8,8,7,1,1,1,-,-,-,-,7,6,1,1,1,-,-,-,-,-,-,-,1,1,-
103學年,彰化縣,1319,912,407,379,256,123,-,-,-,940,656,284,1002,719,283,351,238,113,-,-,-,651,481,170,282,163,119,24,16,8,-,-,-,258,147,111,23,21,2,4,2,2,-,-,-,19,19,-,4,4,-,-,-,-,-,-,-,4,4,-,8,5,3,-,-,-,-,-,-,8,5,3
103學年,南投縣,469,341,128,265,178,87,-,-,-,204,163,41,372,266,106,252,169,83,-,-,-,120,97,23,81,62,19,11,8,3,-,-,-,70,54,16,15,12,3,2,1,1,-,-,-,13,11,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-
