學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,專科學校計小計,專科學校計男,專科學校計女,專科學校國立小計,專科學校國立男,專科學校國立女,專科學校直轄市立小計,專科學校直轄市立男,專科學校直轄市立女,專科學校私立小計,專科學校私立男,專科學校私立女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院國立小計,獨立學院國立男,獨立學院國立女,獨立學院直轄市立小計,獨立學院直轄市立男,獨立學院直轄市立女,獨立學院私立小計,獨立學院私立男,獨立學院私立女,大學計小計,大學計男,大學計女,大學國立小計,大學國立男,大學國立女,大學直轄市立小計,大學直轄市立男,大學直轄市立女,大學私立小計,大學私立男,大學私立女
106學年,彰化縣,180,132,48,42,31,11,-,-,-,138,101,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,132,48,42,31,11,-,-,-,138,101,37
106學年,南投縣,54,44,10,38,32,6,-,-,-,16,12,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,44,10,38,32,6,-,-,-,16,12,4
106學年,雲林縣,80,59,21,58,46,12,-,-,-,22,13,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,59,21,58,46,12,-,-,-,22,13,9
106學年,嘉義縣,125,101,24,50,40,10,-,-,-,75,61,14,-,-,-,-,-,-,-,-,-,-,-,-,16,11,5,-,-,-,-,-,-,16,11,5,109,90,19,50,40,10,-,-,-,59,50,9
106學年,屏東縣,151,110,41,96,71,25,-,-,-,55,39,16,9,5,4,-,-,-,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,142,105,37,96,71,25,-,-,-,46,34,12
106學年,臺東縣,36,29,7,36,29,7,-,-,-,-,-,-,10,9,1,10,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,20,6,26,20,6,-,-,-,-,-,-
106學年,花蓮縣,105,73,32,54,41,13,-,-,-,51,32,19,-,-,-,-,-,-,-,-,-,-,-,-,17,12,5,-,-,-,-,-,-,17,12,5,88,61,27,54,41,13,-,-,-,34,20,14
106學年,澎湖縣,16,13,3,16,13,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,13,3,16,13,3,-,-,-,-,-,-
106學年,基隆市,73,53,20,48,37,11,-,-,-,25,16,9,-,-,-,-,-,-,-,-,-,-,-,-,11,6,5,-,-,-,-,-,-,11,6,5,62,47,15,48,37,11,-,-,-,14,10,4
106學年,新竹市,269,209,60,191,154,37,-,-,-,78,55,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,209,60,191,154,37,-,-,-,78,55,23
106學年,嘉義市,75,45,30,55,42,13,-,-,-,20,3,17,10,-,10,-,-,-,-,-,-,10,-,10,10,3,7,-,-,-,-,-,-,10,3,7,55,42,13,55,42,13,-,-,-,-,-,-
106學年,金門縣,25,22,3,25,22,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,22,3,25,22,3,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,4799,3544,1255,2045,1564,481,40,25,15,2714,1955,759,94,42,52,13,9,4,-,-,-,81,33,48,241,171,70,6,2,4,-,-,-,235,169,66,4464,3331,1133,2026,1553,473,40,25,15,2398,1753,645
105學年,新北市,481,348,133,69,48,21,-,-,-,412,300,112,5,3,2,-,-,-,-,-,-,5,3,2,80,60,20,-,-,-,-,-,-,80,60,20,396,285,111,69,48,21,-,-,-,327,237,90
105學年,臺北市,1019,724,295,526,379,147,40,25,15,453,320,133,8,4,4,-,-,-,-,-,-,8,4,4,6,2,4,6,2,4,-,-,-,-,-,-,1005,718,287,520,377,143,40,25,15,445,316,129
105學年,桃園市,356,271,85,94,72,22,-,-,-,262,199,63,9,2,7,-,-,-,-,-,-,9,2,7,18,10,8,-,-,-,-,-,-,18,10,8,329,259,70,94,72,22,-,-,-,235,187,48
105學年,臺中市,615,471,144,193,158,35,-,-,-,422,313,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,615,471,144,193,158,35,-,-,-,422,313,109
105學年,臺南市,424,304,120,161,122,39,-,-,-,263,182,81,9,2,7,4,1,3,-,-,-,5,1,4,4,2,2,-,-,-,-,-,-,4,2,2,411,300,111,157,121,36,-,-,-,254,179,75
105學年,高雄市,529,380,149,240,182,58,-,-,-,289,198,91,19,7,12,-,-,-,-,-,-,19,7,12,30,23,7,-,-,-,-,-,-,30,23,7,480,350,130,240,182,58,-,-,-,240,168,72
105學年,宜蘭縣,72,62,10,27,25,2,-,-,-,45,37,8,7,4,3,-,-,-,-,-,-,7,4,3,15,14,1,-,-,-,-,-,-,15,14,1,50,44,6,27,25,2,-,-,-,23,19,4
105學年,新竹縣,44,32,12,-,-,-,-,-,-,44,32,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,32,12,-,-,-,-,-,-,44,32,12
105學年,苗栗縣,86,64,22,35,29,6,-,-,-,51,35,16,13,7,6,-,-,-,-,-,-,13,7,6,21,15,6,-,-,-,-,-,-,21,15,6,52,42,10,35,29,6,-,-,-,17,13,4
105學年,彰化縣,184,146,38,47,38,9,-,-,-,137,108,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184,146,38,47,38,9,-,-,-,137,108,29
105學年,南投縣,57,46,11,37,28,9,-,-,-,20,18,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,46,11,37,28,9,-,-,-,20,18,2
105學年,雲林縣,76,60,16,55,45,10,-,-,-,21,15,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,60,16,55,45,10,-,-,-,21,15,6
105學年,嘉義縣,121,91,30,51,41,10,-,-,-,70,50,20,-,-,-,-,-,-,-,-,-,-,-,-,14,9,5,-,-,-,-,-,-,14,9,5,107,82,25,51,41,10,-,-,-,56,41,15
105學年,屏東縣,139,101,38,87,64,23,-,-,-,52,37,15,9,5,4,-,-,-,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,130,96,34,87,64,23,-,-,-,43,32,11
105學年,臺東縣,39,29,10,39,29,10,-,-,-,-,-,-,9,8,1,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,21,9,30,21,9,-,-,-,-,-,-
105學年,花蓮縣,105,73,32,55,41,14,-,-,-,50,32,18,-,-,-,-,-,-,-,-,-,-,-,-,17,14,3,-,-,-,-,-,-,17,14,3,88,59,29,55,41,14,-,-,-,33,18,15
105學年,澎湖縣,15,12,3,15,12,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,12,3,15,12,3,-,-,-,-,-,-
105學年,基隆市,71,54,17,46,37,9,-,-,-,25,17,8,-,-,-,-,-,-,-,-,-,-,-,-,25,17,8,-,-,-,-,-,-,25,17,8,46,37,9,46,37,9,-,-,-,-,-,-
105學年,新竹市,266,207,59,185,150,35,-,-,-,81,57,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266,207,59,185,150,35,-,-,-,81,57,24
105學年,嘉義市,74,47,27,57,42,15,-,-,-,17,5,12,6,-,6,-,-,-,-,-,-,6,-,6,11,5,6,-,-,-,-,-,-,11,5,6,57,42,15,57,42,15,-,-,-,-,-,-
105學年,金門縣,26,22,4,26,22,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,22,4,26,22,4,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,4759,3556,1203,2009,1541,468,40,24,16,2710,1991,719,97,39,58,13,9,4,-,-,-,84,30,54,252,178,74,6,2,4,-,-,-,246,176,70,4410,3339,1071,1990,1530,460,40,24,16,2380,1785,595
104學年,新北市,489,355,134,73,51,22,-,-,-,416,304,112,6,3,3,-,-,-,-,-,-,6,3,3,76,53,23,-,-,-,-,-,-,76,53,23,407,299,108,73,51,22,-,-,-,334,248,86
104學年,臺北市,976,691,285,496,352,144,40,24,16,440,315,125,8,3,5,-,-,-,-,-,-,8,3,5,6,2,4,6,2,4,-,-,-,-,-,-,962,686,276,490,350,140,40,24,16,432,312,120
104學年,桃園市,362,277,85,91,71,20,-,-,-,271,206,65,11,2,9,-,-,-,-,-,-,11,2,9,24,15,9,-,-,-,-,-,-,24,15,9,327,260,67,91,71,20,-,-,-,236,189,47
104學年,臺中市,607,481,126,194,159,35,-,-,-,413,322,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,607,481,126,194,159,35,-,-,-,413,322,91
104學年,臺南市,421,307,114,158,122,36,-,-,-,263,185,78,9,2,7,4,1,3,-,-,-,5,1,4,3,2,1,-,-,-,-,-,-,3,2,1,409,303,106,154,121,33,-,-,-,255,182,73
104學年,高雄市,538,380,158,243,179,64,-,-,-,295,201,94,19,5,14,-,-,-,-,-,-,19,5,14,36,26,10,-,-,-,-,-,-,36,26,10,483,349,134,243,179,64,-,-,-,240,170,70
104學年,宜蘭縣,73,61,12,27,24,3,-,-,-,46,37,9,7,4,3,-,-,-,-,-,-,7,4,3,16,13,3,-,-,-,-,-,-,16,13,3,50,44,6,27,24,3,-,-,-,23,20,3
104學年,新竹縣,44,32,12,-,-,-,-,-,-,44,32,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,32,12,-,-,-,-,-,-,44,32,12
104學年,苗栗縣,84,65,19,32,27,5,-,-,-,52,38,14,13,6,7,-,-,-,-,-,-,13,6,7,18,18,-,-,-,-,-,-,-,18,18,-,53,41,12,32,27,5,-,-,-,21,14,7
104學年,彰化縣,180,154,26,47,42,5,-,-,-,133,112,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,154,26,47,42,5,-,-,-,133,112,21
104學年,南投縣,56,42,14,35,24,11,-,-,-,21,18,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,42,14,35,24,11,-,-,-,21,18,3
104學年,雲林縣,80,67,13,57,49,8,-,-,-,23,18,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,67,13,57,49,8,-,-,-,23,18,5
104學年,嘉義縣,123,88,35,53,39,14,-,-,-,70,49,21,-,-,-,-,-,-,-,-,-,-,-,-,19,11,8,-,-,-,-,-,-,19,11,8,104,77,27,53,39,14,-,-,-,51,38,13
104學年,屏東縣,145,106,39,89,67,22,-,-,-,56,39,17,9,5,4,-,-,-,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,136,101,35,89,67,22,-,-,-,47,34,13
104學年,臺東縣,36,26,10,36,26,10,-,-,-,-,-,-,9,8,1,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,18,9,27,18,9,-,-,-,-,-,-
104學年,花蓮縣,102,75,27,54,40,14,-,-,-,48,35,13,-,-,-,-,-,-,-,-,-,-,-,-,18,15,3,-,-,-,-,-,-,18,15,3,84,60,24,54,40,14,-,-,-,30,20,10
104學年,澎湖縣,15,13,2,15,13,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,13,2,15,13,2,-,-,-,-,-,-
104學年,基隆市,68,56,12,44,39,5,-,-,-,24,17,7,-,-,-,-,-,-,-,-,-,-,-,-,24,17,7,-,-,-,-,-,-,24,17,7,44,39,5,44,39,5,-,-,-,-,-,-
104學年,新竹市,260,210,50,183,154,29,-,-,-,77,56,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260,210,50,183,154,29,-,-,-,77,56,21
104學年,嘉義市,73,47,26,55,40,15,-,-,-,18,7,11,6,1,5,-,-,-,-,-,-,6,1,5,12,6,6,-,-,-,-,-,-,12,6,6,55,40,15,55,40,15,-,-,-,-,-,-
104學年,金門縣,27,23,4,27,23,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,23,4,27,23,4,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,4780,3591,1189,1936,1482,454,33,20,13,2811,2089,722,109,56,53,13,9,4,-,-,-,96,47,49,274,180,94,7,3,4,-,-,-,267,177,90,4397,3355,1042,1916,1470,446,33,20,13,2448,1865,583
103學年,新北市,445,337,108,56,41,15,-,-,-,389,296,93,7,4,3,-,-,-,-,-,-,7,4,3,68,48,20,-,-,-,-,-,-,68,48,20,370,285,85,56,41,15,-,-,-,314,244,70
103學年,臺北市,970,682,288,500,354,146,33,20,13,437,308,129,17,8,9,-,-,-,-,-,-,17,8,9,22,14,8,7,3,4,-,-,-,15,11,4,931,660,271,493,351,142,33,20,13,405,289,116
103學年,臺中市,591,464,127,182,145,37,-,-,-,409,319,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,591,464,127,182,145,37,-,-,-,409,319,90
103學年,臺南市,498,371,127,176,140,36,-,-,-,322,231,91,9,1,8,4,-,4,-,-,-,5,1,4,12,6,6,-,-,-,-,-,-,12,6,6,477,364,113,172,140,32,-,-,-,305,224,81
103學年,高雄市,580,432,148,229,173,56,-,-,-,351,259,92,20,8,12,-,-,-,-,-,-,20,8,12,36,24,12,-,-,-,-,-,-,36,24,12,524,400,124,229,173,56,-,-,-,295,227,68
103學年,宜蘭縣,68,56,12,24,21,3,-,-,-,44,35,9,7,4,3,-,-,-,-,-,-,7,4,3,17,15,2,-,-,-,-,-,-,17,15,2,44,37,7,24,21,3,-,-,-,20,16,4
103學年,桃園縣,380,299,81,79,66,13,-,-,-,301,233,68,11,7,4,-,-,-,-,-,-,11,7,4,24,15,9,-,-,-,-,-,-,24,15,9,345,277,68,79,66,13,-,-,-,266,211,55
103學年,新竹縣,46,33,13,-,-,-,-,-,-,46,33,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,33,13,-,-,-,-,-,-,46,33,13
103學年,苗栗縣,92,67,25,34,26,8,-,-,-,58,41,17,14,8,6,-,-,-,-,-,-,14,8,6,18,15,3,-,-,-,-,-,-,18,15,3,60,44,16,34,26,8,-,-,-,26,18,8
103學年,彰化縣,158,135,23,35,33,2,-,-,-,123,102,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158,135,23,35,33,2,-,-,-,123,102,21
103學年,南投縣,57,43,14,36,25,11,-,-,-,21,18,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,43,14,36,25,11,-,-,-,21,18,3
103學年,雲林縣,80,71,9,58,52,6,-,-,-,22,19,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,71,9,58,52,6,-,-,-,22,19,3
103學年,嘉義縣,102,72,30,45,33,12,-,-,-,57,39,18,-,-,-,-,-,-,-,-,-,-,-,-,16,8,8,-,-,-,-,-,-,16,8,8,86,64,22,45,33,12,-,-,-,41,31,10
103學年,屏東縣,141,101,40,85,64,21,-,-,-,56,37,19,9,5,4,-,-,-,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,132,96,36,85,64,21,-,-,-,47,32,15
103學年,臺東縣,36,28,8,36,28,8,-,-,-,-,-,-,9,9,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,19,8,27,19,8,-,-,-,-,-,-
103學年,花蓮縣,102,67,35,54,33,21,-,-,-,48,34,14,-,-,-,-,-,-,-,-,-,-,-,-,24,14,10,-,-,-,-,-,-,24,14,10,78,53,25,54,33,21,-,-,-,24,20,4
103學年,澎湖縣,19,19,-,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,-,19,19,-,-,-,-,-,-,-
103學年,基隆市,65,51,14,43,36,7,-,-,-,22,15,7,-,-,-,-,-,-,-,-,-,-,-,-,22,15,7,-,-,-,-,-,-,22,15,7,43,36,7,43,36,7,-,-,-,-,-,-
103學年,新竹市,255,196,59,171,134,37,-,-,-,84,62,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,255,196,59,171,134,37,-,-,-,84,62,22
103學年,嘉義市,71,47,24,50,39,11,-,-,-,21,8,13,6,2,4,-,-,-,-,-,-,6,2,4,15,6,9,-,-,-,-,-,-,15,6,9,50,39,11,50,39,11,-,-,-,-,-,-
103學年,金門縣,24,20,4,24,20,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,20,4,24,20,4,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,4783,3601,1182,1965,1529,436,41,14,27,2777,2058,719,107,55,52,13,8,5,-,-,-,94,47,47,326,236,90,32,21,11,-,-,-,294,215,79,4350,3310,1040,1920,1500,420,41,14,27,2389,1796,593
102學年,新北市,462,351,111,68,47,21,-,-,-,394,304,90,8,4,4,-,-,-,-,-,-,8,4,4,74,62,12,-,-,-,-,-,-,74,62,12,380,285,95,68,47,21,-,-,-,312,238,74
102學年,臺北市,998,685,313,526,369,157,41,14,27,431,302,129,16,7,9,-,-,-,-,-,-,16,7,9,34,23,11,18,11,7,-,-,-,16,12,4,948,655,293,508,358,150,41,14,27,399,283,116
102學年,臺中市,594,466,128,198,161,37,-,-,-,396,305,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,594,466,128,198,161,37,-,-,-,396,305,91
102學年,臺南市,474,355,119,170,136,34,-,-,-,304,219,85,8,1,7,4,-,4,-,-,-,4,1,3,14,9,5,-,-,-,-,-,-,14,9,5,452,345,107,166,136,30,-,-,-,286,209,77
102學年,高雄市,576,438,138,231,182,49,-,-,-,345,256,89,19,9,10,-,-,-,-,-,-,19,9,10,39,30,9,-,-,-,-,-,-,39,30,9,518,399,119,231,182,49,-,-,-,287,217,70
102學年,宜蘭縣,62,50,12,24,21,3,-,-,-,38,29,9,6,4,2,-,-,-,-,-,-,6,4,2,11,8,3,-,-,-,-,-,-,11,8,3,45,38,7,24,21,3,-,-,-,21,17,4
102學年,桃園縣,357,279,78,75,65,10,-,-,-,282,214,68,11,8,3,-,-,-,-,-,-,11,8,3,24,13,11,-,-,-,-,-,-,24,13,11,322,258,64,75,65,10,-,-,-,247,193,54
102學年,新竹縣,44,36,8,-,-,-,-,-,-,44,36,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,36,8,-,-,-,-,-,-,44,36,8
102學年,苗栗縣,90,67,23,36,31,5,-,-,-,54,36,18,14,6,8,-,-,-,-,-,-,14,6,8,19,16,3,-,-,-,-,-,-,19,16,3,57,45,12,36,31,5,-,-,-,21,14,7
102學年,彰化縣,159,126,33,44,39,5,-,-,-,115,87,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,126,33,44,39,5,-,-,-,115,87,28
102學年,南投縣,51,38,13,30,23,7,-,-,-,21,15,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,38,13,30,23,7,-,-,-,21,15,6
102學年,雲林縣,79,70,9,57,51,6,-,-,-,22,19,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,70,9,57,51,6,-,-,-,22,19,3
102學年,嘉義縣,116,85,31,45,34,11,-,-,-,71,51,20,-,-,-,-,-,-,-,-,-,-,-,-,14,8,6,-,-,-,-,-,-,14,8,6,102,77,25,45,34,11,-,-,-,57,43,14
102學年,屏東縣,161,117,44,84,62,22,-,-,-,77,55,22,9,5,4,-,-,-,-,-,-,9,5,4,35,25,10,14,10,4,-,-,-,21,15,6,117,87,30,70,52,18,-,-,-,47,35,12
102學年,臺東縣,30,23,7,30,23,7,-,-,-,-,-,-,9,8,1,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,15,6,21,15,6,-,-,-,-,-,-
102學年,花蓮縣,99,67,32,49,34,15,-,-,-,50,33,17,-,-,-,-,-,-,-,-,-,-,-,-,24,13,11,-,-,-,-,-,-,24,13,11,75,54,21,49,34,15,-,-,-,26,20,6
102學年,澎湖縣,20,18,2,20,18,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,18,2,20,18,2,-,-,-,-,-,-
102學年,基隆市,70,62,8,42,38,4,-,-,-,28,24,4,-,-,-,-,-,-,-,-,-,-,-,-,28,24,4,-,-,-,-,-,-,28,24,4,42,38,4,42,38,4,-,-,-,-,-,-
102學年,新竹市,243,193,50,155,128,27,-,-,-,88,65,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243,193,50,155,128,27,-,-,-,88,65,23
102學年,嘉義市,71,55,16,54,47,7,-,-,-,17,8,9,7,3,4,-,-,-,-,-,-,7,3,4,10,5,5,-,-,-,-,-,-,10,5,5,54,47,7,54,47,7,-,-,-,-,-,-
102學年,金門縣,27,20,7,27,20,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,20,7,27,20,7,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,4824,3666,1158,1990,1540,450,35,24,11,2799,2102,697,111,53,58,13,8,5,-,-,-,98,45,53,384,280,104,32,19,13,15,10,5,337,251,86,4329,3333,996,1945,1513,432,20,14,6,2364,1806,558
101學年,新北市,447,347,100,58,47,11,-,-,-,389,300,89,8,3,5,-,-,-,-,-,-,8,3,5,77,67,10,-,-,-,-,-,-,77,67,10,362,277,85,58,47,11,-,-,-,304,230,74
101學年,臺北市,1048,743,305,586,416,170,35,24,11,427,303,124,15,5,10,-,-,-,-,-,-,15,5,10,47,32,15,18,10,8,15,10,5,14,12,2,986,706,280,568,406,162,20,14,6,398,286,112
101學年,臺中市,571,450,121,173,136,37,-,-,-,398,314,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,571,450,121,173,136,37,-,-,-,398,314,84
101學年,臺南市,488,369,119,173,139,34,-,-,-,315,230,85,9,3,6,4,-,4,-,-,-,5,3,2,40,28,12,-,-,-,-,-,-,40,28,12,439,338,101,169,139,30,-,-,-,270,199,71
101學年,高雄市,568,439,129,240,186,54,-,-,-,328,253,75,21,9,12,-,-,-,-,-,-,21,9,12,47,33,14,-,-,-,-,-,-,47,33,14,500,397,103,240,186,54,-,-,-,260,211,49
101學年,宜蘭縣,62,48,14,25,19,6,-,-,-,37,29,8,8,4,4,-,-,-,-,-,-,8,4,4,11,10,1,-,-,-,-,-,-,11,10,1,43,34,9,25,19,6,-,-,-,18,15,3
101學年,桃園縣,340,263,77,70,59,11,-,-,-,270,204,66,10,6,4,-,-,-,-,-,-,10,6,4,24,14,10,-,-,-,-,-,-,24,14,10,306,243,63,70,59,11,-,-,-,236,184,52
101學年,新竹縣,43,35,8,-,-,-,-,-,-,43,35,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,35,8,-,-,-,-,-,-,43,35,8
