學年別,縣市別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
97學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,20,2,6,5,1,-,-,-,3,3,-,13,12,1,7,5,2,4,3,1,-,-,-,-,-,-,3,2,1
97學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,2,3,2,1,-,-,-,1,1,-,4,3,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-
97學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,4,4,-,-,-,-,2,2,-,3,3,-,7,6,1,3,3,-,-,-,-,-,-,-,4,3,1
97學年,臺中縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,19,3,4,4,-,-,-,-,5,5,-,13,10,3,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-
97學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,2,5,4,1,-,-,-,2,1,1,3,3,-,11,9,2,9,8,1,-,-,-,-,-,-,2,1,1
97學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,4,4,-,-,-,-,1,1,-,3,3,-,6,6,-,5,5,-,-,-,-,-,-,-,1,1,-
97學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,3,3,-,-,-,-,2,2,-,7,7,-,7,5,2,5,4,1,-,-,-,-,-,-,2,1,1
97學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,2,2,-,-,-,-,1,1,-,2,2,-,4,4,-,1,1,-,-,-,-,-,-,-,3,3,-
97學年,臺南縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,17,1,8,7,1,-,-,-,2,2,-,8,8,-,11,10,1,8,7,1,-,-,-,-,-,-,3,3,-
97學年,高雄縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,10,4,4,4,-,-,-,-,6,3,3,4,3,1,8,8,-,3,3,-,-,-,-,-,-,-,5,5,-
97學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,2,4,3,1,-,-,-,3,3,-,4,3,1,8,6,2,5,5,-,-,-,-,-,-,-,3,1,2
97學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,3,3,-,-,-,-,1,-,1,1,1,-,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
97學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,2,3,2,1,-,-,-,1,1,-,3,2,1,6,6,-,4,4,-,-,-,-,-,-,-,2,2,-
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,2,2,-,-,-,-,3,3,-,2,2,-,4,4,-,2,2,-,-,-,-,-,-,-,2,2,-
97學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,4,3,3,-,-,-,-,3,1,2,4,2,2,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-
97學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,11,3,4,3,1,-,-,-,3,3,-,7,5,2,4,4,-,3,3,-,-,-,-,-,-,-,1,1,-
97學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,3,2,1,1,-,-,-,-,-,-,6,4,2,6,6,-,4,4,-,-,-,-,-,-,-,2,2,-
97學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,12,3,4,3,1,-,-,-,2,2,-,9,7,2,5,5,-,2,2,-,-,-,-,-,-,-,3,3,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
