學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,彰化縣,4270,1657,2613,1283,487,796,1447,557,890,1531,609,922,9,4,5,1503,619,884,3126,1170,1956,993,346,647,1020,374,646,1104,446,658,9,4,5,1099,460,639,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1144,487,657,290,141,149,427,183,244,427,163,264,-,-,-,404,159,245
106學年,南投縣,623,304,319,201,99,102,214,99,115,190,95,95,18,11,7,288,120,168,623,304,319,201,99,102,214,99,115,190,95,95,18,11,7,288,120,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,雲林縣,1577,738,839,428,207,221,457,207,250,686,320,366,6,4,2,633,294,339,635,341,294,171,103,68,146,86,60,312,148,164,6,4,2,300,149,151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,942,397,545,257,104,153,311,121,190,374,172,202,-,-,-,333,145,188
106學年,嘉義縣,495,237,258,144,59,85,155,79,76,196,99,97,-,-,-,150,77,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495,237,258,144,59,85,155,79,76,196,99,97,-,-,-,150,77,73
106學年,屏東縣,964,326,638,296,99,197,313,112,201,355,115,240,-,-,-,361,144,217,964,326,638,296,99,197,313,112,201,355,115,240,-,-,-,361,144,217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺東縣,2635,1269,1366,816,392,424,892,432,460,927,445,482,-,-,-,851,363,488,2352,1139,1213,740,359,381,803,391,412,809,389,420,-,-,-,756,339,417,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,36,17,22,15,7,18,13,5,13,8,5,-,-,-,6,6,-,230,94,136,54,18,36,71,28,43,105,48,57,-,-,-,89,18,71
106學年,花蓮縣,2185,1087,1098,668,331,337,719,385,334,798,371,427,-,-,-,701,351,350,48,26,22,-,-,-,-,-,-,48,26,22,-,-,-,22,8,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2137,1061,1076,668,331,337,719,385,334,750,345,405,-,-,-,679,343,336
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,349,149,200,120,59,61,122,54,68,107,36,71,-,-,-,135,47,88,349,149,200,120,59,61,122,54,68,107,36,71,-,-,-,135,47,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹市,3397,1406,1991,1054,472,582,1188,459,729,1142,469,673,13,6,7,1149,475,674,929,455,474,315,157,158,306,143,163,302,151,151,6,4,2,283,141,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2468,951,1517,739,315,424,882,316,566,840,318,522,7,2,5,866,334,532
106學年,嘉義市,1371,560,811,395,168,227,426,170,256,548,220,328,2,2,-,484,201,283,989,384,605,283,120,163,288,111,177,416,151,265,2,2,-,410,164,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382,176,206,112,48,64,138,59,79,132,69,63,-,-,-,74,37,37
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,304,177,127,95,55,40,87,46,41,122,76,46,-,-,-,98,53,45,304,177,127,95,55,40,87,46,41,122,76,46,-,-,-,98,53,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,50737,23846,26891,15758,7388,8370,17247,8094,9153,17597,8274,9323,135,90,45,20587,9649,10938,22041,10066,11975,6760,3072,3688,7479,3424,4055,7712,3511,4201,90,59,31,8705,3823,4882,9075,4710,4365,2936,1473,1463,2889,1496,1393,3209,1713,1496,41,28,13,3049,1502,1547,1291,556,735,304,115,189,521,250,271,466,191,275,-,-,-,560,267,293,18330,8514,9816,5758,2728,3030,6358,2924,3434,6210,2859,3351,4,3,1,8273,4057,4216
105學年,新北市,5791,2683,3108,2050,958,1092,1944,866,1078,1763,837,926,34,22,12,1865,889,976,1535,680,855,527,235,292,511,228,283,497,217,280,-,-,-,510,237,273,2541,1223,1318,885,424,461,811,372,439,811,405,406,34,22,12,706,341,365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1715,780,935,638,299,339,622,266,356,455,215,240,-,-,-,649,311,338
105學年,臺北市,4659,2378,2281,1511,739,772,1607,815,792,1536,820,716,5,4,1,1594,729,865,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3675,2156,1519,1221,661,560,1224,732,492,1225,759,466,5,4,1,1227,652,575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,984,222,762,290,78,212,383,83,300,311,61,250,-,-,-,367,77,290
105學年,桃園市,3393,1786,1607,1041,561,480,1188,642,546,1163,582,581,1,1,-,1830,1059,771,1846,939,907,614,312,302,614,341,273,618,286,332,-,-,-,639,289,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1547,847,700,427,249,178,574,301,273,545,296,249,1,1,-,1191,770,421
105學年,臺中市,2042,919,1123,686,316,370,681,308,373,675,295,380,-,-,-,1657,749,908,1431,587,844,484,204,280,471,199,272,476,184,292,-,-,-,507,184,323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,611,332,279,202,112,90,210,109,101,199,111,88,-,-,-,1150,565,585
105學年,臺南市,5324,2424,2900,1464,659,805,1784,826,958,2069,935,1134,7,4,3,2159,867,1292,4323,2013,2310,1257,577,680,1516,714,802,1543,718,825,7,4,3,1574,734,840,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1001,411,590,207,82,125,268,112,156,526,217,309,-,-,-,585,133,452
105學年,高雄市,4683,2412,2271,1351,711,640,1520,786,734,1810,913,897,2,2,-,1945,1004,941,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2859,1331,1528,830,388,442,854,392,462,1173,549,624,2,2,-,1116,509,607,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1824,1081,743,521,323,198,666,394,272,637,364,273,-,-,-,829,495,334
105學年,宜蘭縣,1399,743,656,468,255,213,459,238,221,461,244,217,11,6,5,426,166,260,1281,689,592,425,239,186,414,214,200,431,230,201,11,6,5,391,147,244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,54,64,43,16,27,45,24,21,30,14,16,-,-,-,35,19,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,1803,934,869,476,257,219,602,323,279,725,354,371,-,-,-,1362,691,671,445,221,224,145,79,66,143,69,74,157,73,84,-,-,-,691,315,376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1358,713,645,331,178,153,459,254,205,568,281,287,-,-,-,671,376,295
105學年,苗栗縣,1852,850,1002,504,218,286,700,343,357,648,289,359,-,-,-,724,364,360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1130,469,661,242,85,157,462,217,245,426,167,259,-,-,-,513,239,274,722,381,341,262,133,129,238,126,112,222,122,100,-,-,-,211,125,86
105學年,彰化縣,4550,1829,2721,1441,549,892,1543,616,927,1565,664,901,1,-,1,1612,705,907,3289,1327,1962,1017,372,645,1111,450,661,1160,505,655,1,-,1,1154,500,654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1261,502,759,424,177,247,432,166,266,405,159,246,-,-,-,458,205,253
105學年,南投縣,739,340,399,217,99,118,193,96,97,287,119,168,42,26,16,322,127,195,739,340,399,217,99,118,193,96,97,287,119,168,42,26,16,322,127,195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,1810,843,967,466,208,258,689,322,367,648,306,342,7,7,-,597,292,305,766,393,373,131,77,54,314,149,165,314,160,154,7,7,-,293,150,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1044,450,594,335,131,204,375,173,202,334,146,188,-,-,-,304,142,162
105學年,嘉義縣,519,268,251,168,89,79,201,102,99,150,77,73,-,-,-,145,81,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,519,268,251,168,89,79,201,102,99,150,77,73,-,-,-,145,81,64
105學年,屏東縣,1091,405,686,311,109,202,361,115,246,406,174,232,13,7,6,510,201,309,1091,405,686,311,109,202,361,115,246,406,174,232,13,7,6,510,201,309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺東縣,2847,1369,1478,910,453,457,963,467,496,965,440,525,9,9,-,1072,479,593,2466,1204,1262,809,402,407,822,399,423,826,394,432,9,9,-,993,453,540,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,33,10,19,14,5,14,9,5,10,10,-,-,-,-,12,9,3,338,132,206,82,37,45,127,59,68,129,36,93,-,-,-,67,17,50
105學年,花蓮縣,2404,1212,1192,795,419,376,855,409,446,754,384,370,-,-,-,893,455,438,86,50,36,-,-,-,51,31,20,35,19,16,-,-,-,134,68,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2318,1162,1156,795,419,376,804,378,426,719,365,354,-,-,-,759,387,372
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,383,145,238,127,55,72,110,38,72,146,52,94,-,-,-,134,42,92,383,145,238,127,55,72,110,38,72,146,52,94,-,-,-,134,42,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹市,3649,1519,2130,1249,514,735,1167,481,686,1230,522,708,3,2,1,1060,463,597,907,448,459,311,147,164,302,151,151,294,150,144,-,-,-,316,139,177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2742,1071,1671,938,367,571,865,330,535,936,372,564,3,2,1,744,324,420
105學年,嘉義市,1475,596,879,431,168,263,554,222,332,490,206,284,-,-,-,596,234,362,1129,434,695,293,114,179,420,151,269,416,169,247,-,-,-,453,185,268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346,162,184,138,54,84,134,71,63,74,37,37,-,-,-,143,49,94
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,324,191,133,92,51,41,126,79,47,106,61,45,-,-,-,84,52,32,324,191,133,92,51,41,126,79,47,106,61,45,-,-,-,84,52,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,57481,27447,30034,17678,8356,9322,18017,8537,9480,21653,10453,11200,133,101,32,23686,10986,12700,24738,11405,13333,7535,3462,4073,7829,3602,4227,9264,4256,5008,110,85,25,9970,4612,5358,9526,4972,4554,2931,1507,1424,3265,1748,1517,3313,1705,1608,17,12,5,3097,1590,1507,1603,731,872,527,248,279,485,194,291,591,289,302,-,-,-,423,176,247,21614,10339,11275,6685,3139,3546,6438,2993,3445,8485,4203,4282,6,4,2,10196,4608,5588
104學年,新北市,5773,2726,3047,2012,900,1112,1794,858,936,1954,960,994,13,8,5,1789,874,915,1568,720,848,518,226,292,502,221,281,548,273,275,-,-,-,536,245,291,2445,1196,1249,850,397,453,829,417,412,753,374,379,13,8,5,549,270,279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1760,810,950,644,277,367,463,220,243,653,313,340,-,-,-,704,359,345
104學年,臺北市,4892,2456,2436,1641,814,827,1561,829,732,1685,808,877,5,5,-,2079,935,1144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3802,2228,1574,1248,734,514,1235,763,472,1315,727,588,4,4,-,1371,780,591,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1090,228,862,393,80,313,326,66,260,370,81,289,1,1,-,708,155,553
104學年,桃園市,4300,2383,1917,1197,643,554,1181,598,583,1912,1132,780,10,10,-,2167,1244,923,1934,966,968,615,338,277,626,293,333,686,328,358,7,7,-,796,401,395,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2366,1417,949,582,305,277,555,305,250,1226,804,422,3,3,-,1371,843,528
104學年,臺中市,3027,1358,1669,685,308,377,676,294,382,1666,756,910,-,-,-,1672,779,893,1462,572,890,474,199,275,477,186,291,511,187,324,-,-,-,519,212,307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1565,786,779,211,109,102,199,108,91,1155,569,586,-,-,-,1153,567,586
104學年,臺南市,6146,2719,3427,1791,831,960,2104,957,1147,2230,912,1318,21,19,2,2189,827,1362,4722,2233,2489,1502,704,798,1565,734,831,1634,776,858,21,19,2,1531,724,807,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1424,486,938,289,127,162,539,223,316,596,136,460,-,-,-,658,103,555
104學年,高雄市,5499,2871,2628,1549,813,736,1861,947,914,2089,1111,978,-,-,-,2465,1162,1303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,102,131,3279,1548,1731,833,376,457,1201,568,633,1245,604,641,-,-,-,1177,540,637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2220,1323,897,716,437,279,660,379,281,844,507,337,-,-,-,1055,520,535
104學年,宜蘭縣,1471,738,733,483,248,235,474,251,223,508,234,274,6,5,1,490,198,292,1350,677,673,442,229,213,440,236,204,462,207,255,6,5,1,458,183,275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,61,60,41,19,22,34,15,19,46,27,19,-,-,-,32,15,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,2763,1421,1342,630,342,288,734,357,377,1399,722,677,-,-,-,1661,808,853,1027,487,540,140,65,75,159,75,84,728,347,381,-,-,-,696,329,367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1736,934,802,490,277,213,575,282,293,671,375,296,-,-,-,965,479,486
104學年,苗栗縣,2136,1042,1094,735,370,365,659,295,364,742,377,365,-,-,-,807,400,407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1425,636,789,470,219,251,428,168,260,527,249,278,-,-,-,376,151,225,711,406,305,265,151,114,231,127,104,215,128,87,-,-,-,424,243,181
104學年,彰化縣,4790,2049,2741,1532,615,917,1580,675,905,1676,757,919,2,2,-,1696,737,959,3482,1512,1970,1100,453,647,1166,508,658,1214,549,665,2,2,-,1187,527,660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1308,537,771,432,162,270,414,167,247,462,208,254,-,-,-,509,210,299
104學年,南投縣,870,385,485,205,101,104,289,122,167,343,144,199,33,18,15,719,343,376,870,385,485,205,101,104,289,122,167,343,144,199,33,18,15,719,343,376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,1971,946,1025,696,324,372,658,313,345,613,306,307,4,3,1,699,353,346,933,470,463,303,140,163,318,163,155,308,164,144,4,3,1,340,189,151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1038,476,562,393,184,209,340,150,190,305,142,163,-,-,-,359,164,195
104學年,嘉義縣,515,273,242,217,115,102,151,77,74,147,81,66,-,-,-,172,98,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,515,273,242,217,115,102,151,77,74,147,81,66,-,-,-,172,98,74
104學年,屏東縣,1381,566,815,357,117,240,424,191,233,585,246,339,15,12,3,621,271,350,1381,566,815,357,117,240,424,191,233,585,246,339,15,12,3,621,271,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺東縣,3224,1549,1675,1028,520,508,995,460,535,1179,550,629,22,19,3,1264,596,668,2782,1351,1431,850,421,429,845,406,439,1066,505,561,21,19,2,1114,546,568,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,34,8,12,10,2,14,11,3,16,13,3,-,-,-,12,10,2,400,164,236,166,89,77,136,43,93,97,32,65,1,-,1,138,40,98
